ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
866232.55,13.94,0.35,181382.31,2.92
866285.25,13.95,0.35,181382.37,2.92
866149.28,13.95,0.35,181387.23,2.92
866013.3,13.95,0.35,181386.92,2.92
865877.32,13.95,0.35,181377.02,2.92
865930.02,13.95,0.35,181377.08,2.92
866258.49,13.96,0.36,181105.22,2.92
866448.95,13.96,0.36,181104.91,2.92
866490.83,13.96,0.37,180664.65,2.91
866944.4,13.97,0.37,180664.34,2.91
866997.1,13.97,0.38,180664.34,2.91
866861.12,13.97,0.38,180654.44,2.91
867717.54,13.99,0.39,181000.77,2.92
868021.72,13.99,0.4,181000.46,2.92
868021.72,13.99,0.4,180923.46,2.92
867885.74,13.99,0.4,180923.15,2.92
868189.91,14.0,0.4,180922.84,2.92
868494.08,14.01,0.41,180922.53,2.92
867888.88,14.0,0.4,180202.25,2.91
867752.9,14.0,0.4,180201.94,2.91
867752.9,14.0,0.4,180207.17,2.91
868048.92,14.01,0.41,180317.35,2.91
868048.92,14.01,0.41,180238.04,2.91
868114.24,14.01,0.41,179814.78,2.9
868504.81,14.01,0.42,179814.47,2.9
868504.81,14.01,0.42,179731.72,2.9
868368.83,14.01,0.42,179731.72,2.9
868232.85,14.01,0.42,179731.41,2.9
868285.55,14.02,0.42,179731.47,2.9
