name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0260,,G2,96,8,412316860416,20000,9,2924,412316860416,0,0,0,0,0,0,0,0,0,0,1000,20000,530,10600,190,3800,1720,34400
0001-openb-node-0858,,G2,96,8,412316860416,20000,10,3224,412316860416,0,0,0,0,350,7000,530,10600,0,0,0,0,680,13600,90,1800,1650,33000
0002-openb-node-0619,,G2,96,8,412316860416,20000,11,26388,412316860416,0,0,0,0,0,0,0,0,0,0,160,3200,160,3200,190,3800,510,10200
0003-openb-node-0582,,G2,96,8,412316860416,20000,8,5924,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,0,0,190,3800
0004-openb-node-0882,,T4,104,2,549755813888,15109,4,46538,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0005-openb-node-1135,,G2,96,8,412316860416,20000,8,1530,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,20000,1000,20000
0006-openb-node-0431,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0007-openb-node-1096,,T4,104,2,549755813888,15109,3,41384,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-1052,,P100,16,2,128849018880,16280,3,1696,128849018880,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0009-openb-node-0985,,P100,16,2,128849018880,16280,2,940,128849018880,530,8628,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,720,11721
0010-openb-node-1151,,T4,104,2,549755813888,15109,3,77032,549755813888,60,906,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,250,3776
0011-openb-node-1171,,G2,96,8,412316860416,20000,12,2680,412316860416,0,0,190,3800,190,3800,0,0,30,600,70,1400,210,4200,530,10600,1220,24400
0012-openb-node-0016,,P100,64,2,274877906944,16280,5,27696,274877906944,0,0,130,2116,0,0,0,0,0,0,0,0,0,0,0,0,130,2116
0013-openb-node-0003,,P100,64,2,274877906944,16280,3,28800,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0014-openb-node-0877,,T4,104,2,549755813888,15109,5,40300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015-openb-node-0256,,V100M32,96,8,824633720832,32510,10,654,824633720832,0,0,0,0,0,0,0,0,0,0,190,6176,0,0,120,3901,310,10077
0016-openb-node-0382,,G2,96,8,412316860416,20000,11,2732,412316860416,0,0,0,0,0,0,190,3800,350,7000,350,7000,0,0,360,7200,1250,25000
0017-openb-node-0280,,G2,96,8,412316860416,20000,1,8000,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0018-openb-node-0080,,G2,96,8,412316860416,20000,11,13628,412316860416,0,0,0,0,0,0,70,1400,30,600,190,3800,190,3800,190,3800,670,13400
0019-openb-node-0320,,G3,128,8,824633720832,30000,10,46792,824633720832,190,5700,0,0,0,0,0,0,190,5700,0,0,0,0,0,0,380,11400
0020-openb-node-1170,,G3,128,8,824633720832,30000,10,27540,824633720832,0,0,0,0,0,0,60,1800,0,0,0,0,60,1800,190,5700,310,9300
0021-openb-node-0764,,G2,96,8,412316860416,20000,10,184,412316860416,0,0,0,0,0,0,90,1800,530,10600,0,0,190,3800,190,3800,1000,20000
0022-openb-node-0717,,T4,104,2,549755813888,15109,7,1448,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
