ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,2,1000,6212,1000
2,4,2000,6212,2000
3,12,2470,6212,2470
4,14,3280,6212,3280
5,22,3280,6212,3280
6,24,3750,6212,3750
7,32,5750,6212,5750
8,34,6560,6212,6560
9,42,7560,6212,7560
10,50,8560,6212,8560
11,58,8560,6212,8560
12,66,9560,6212,9560
13,74,9560,6212,9560
14,76,10560,6212,10560
15,84,11560,6212,11560
16,86,11560,6212,11560
17,88,12560,6212,12560
18,96,12560,6212,12560
19,104,13370,6212,13370
20,106,14370,6212,14370
21,114,14960,6212,14960
22,116,15770,6212,15770
23,120,16770,6212,16770
23,120,17090,6212,17090
24,128,17550,6212,17550
25,136,18020,6212,18020
26,138,18020,6212,18020
27,146,19020,6212,19020
28,148,19340,6212,19340
29,156,19990,6212,19990
30,158,19990,6212,19990
31,166,20990,6212,20990
32,168,21990,6212,21990
33,176,22990,6212,22990
34,184,22990,6212,22990
35,192,23990,6212,23990
36,194,24150,6212,24150
37,202,25150,6212,25150
38,210,26150,6212,26150
39,212,27150,6212,27150
40,214,27620,6212,27620
41,216,28430,6212,28430
42,224,28900,6212,28900
42,224,29900,6212,29900
43,226,30370,6212,30370
44,234,31180,6212,31180
45,236,32180,6212,32180
46,238,32180,6212,32180
47,246,32180,6212,32180
47,246,33180,6212,33180
48,254,34180,6212,34180
49,262,34990,6212,34990
50,264,35800,6212,35800
51,266,36260,6212,36260
52,274,37260,6212,37260
53,282,38070,6212,38070
54,284,39070,6212,39070
55,292,39720,6212,39720
56,296,40190,6212,40190
57,298,40510,6212,40510
58,300,41320,6212,41320
59,308,41320,6212,41320
60,312,41320,6212,41320
61,320,42320,6212,42320
62,328,43320,6212,43320
63,336,44320,6212,44320
64,344,45130,6212,45130
65,346,45450,6212,45450
66,348,46260,6212,46260
67,356,47260,6212,47260
68,364,47260,6212,47260
69,366,48070,6212,48070
70,368,49070,6212,49070
70,368,50070,6212,50070
71,370,51070,6212,51070
72,378,52070,6212,52070
73,386,52540,6212,52540
74,388,53350,6212,53350
75,396,54350,6212,54350
76,404,54350,6212,54350
77,412,55350,6212,55350
78,414,55820,6212,55820
79,422,56820,6212,56820
80,430,57820,6212,57820
81,438,58820,6212,58820
82,440,59820,6212,59820
82,440,60630,6212,60630
82,440,61440,6212,61440
83,442,62090,6212,62090
84,450,62560,6212,62560
85,458,62560,6212,62560
86,466,63560,6212,63560
87,468,64560,6212,64560
88,476,65560,6212,65560
89,484,66560,6212,66560
90,492,67030,6212,67030
91,494,68030,6212,68030
92,496,69030,6212,69030
93,504,70030,6212,70030
94,512,71030,6212,71030
95,520,71490,6212,71490
96,522,72490,6212,72490
97,524,73490,6212,73490
98,532,74490,6212,74490
99,534,74960,6212,74960
100,536,75960,6212,75960
101,538,76440,6212,76440
102,540,77090,6212,77090
103,542,77740,6212,77740
104,550,78740,6212,78740
105,552,79210,6212,79210
106,554,79680,6212,79680
107,556,80680,6212,80680
108,558,81140,6212,81140
109,566,82140,6212,82140
110,570,83140,6212,83140
111,578,83610,6212,83610
112,580,83930,6212,83930
113,588,84930,6212,84930
114,596,85930,6212,85930
115,598,86930,6212,86930
116,600,87930,6212,87930
117,608,88400,6212,88400
118,610,88720,6212,88720
118,610,89720,6212,89720
119,618,90720,6212,90720
120,626,91530,6212,91530
121,628,92530,6212,92530
122,636,92530,6212,92530
123,638,93530,6212,93530
124,640,94340,6212,94340
125,648,95340,6212,95340
126,650,95340,6212,95340
127,652,95340,6212,95340
128,660,95450,6212,95450
129,668,96450,6212,96450
130,670,96450,6212,96450
131,678,97260,6212,97260
131,678,98260,6212,98260
132,686,99260,6212,99260
133,688,99730,6212,99730
134,690,100730,6212,100730
135,692,101100,6212,101100
136,694,101100,6212,101100
137,702,102100,6212,102100
138,704,102470,6212,102470
139,712,103280,6212,103280
140,714,104280,6212,104280
141,716,105280,6212,105280
142,720,106280,6212,106280
143,722,107090,6212,107090
144,724,107310,6212,107310
145,732,108310,6212,108310
146,740,109310,6212,109310
147,742,110120,6212,110120
148,750,110930,6212,110930
149,758,111930,6212,111930
150,760,112250,6212,112250
151,768,113060,6212,113060
152,776,117060,6212,117060
153,778,118060,6212,118060
154,786,119060,6212,119060
155,794,120060,6212,120060
156,802,128060,6212,128060
157,810,129060,6212,129060
157,810,129870,6212,129870
158,818,130460,6212,130460
159,826,131270,6212,131270
160,834,131820,6212,131820
161,842,132820,6212,132820
162,843,133050,6212,133050
163,851,133510,6212,133510
164,859,134320,6212,134320
165,861,135320,6212,135320
166,865,136130,6212,136130
166,865,137130,6212,137130
167,873,137940,6212,137940
168,881,138750,6212,138750
169,885,139750,6212,139750
170,893,140750,6212,140750
171,901,141220,6212,141220
172,903,142030,6212,142030
173,911,143030,6212,143030
174,919,143350,6212,143350
175,921,143670,6212,143670
175,921,144670,6212,144670
176,923,145670,6212,145670
177,931,146670,6212,146670
178,933,147140,6212,147140
179,935,147140,6212,147140
180,943,147140,6212,147140
181,951,148140,6212,148140
181,951,148950,6212,148950
182,953,149950,6212,149950
183,961,150950,6212,150950
184,963,151950,6212,151950
185,965,151950,6212,151950
186,973,152950,6212,152950
187,975,153500,6212,153500
188,983,153970,6212,153970
189,987,154970,6212,154970
190,995,155970,6212,155970
