ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
866096.57,13.94,0.35,181372.72,2.92
866434.72,13.95,0.35,181192.58,2.92
866730.74,13.96,0.36,181192.27,2.92
866783.44,13.96,0.36,181297.97,2.92
866783.44,13.96,0.36,181303.2,2.92
867079.46,13.97,0.37,181413.39,2.92
866807.5,13.97,0.37,181414.87,2.92
866860.21,13.97,0.37,181525.95,2.93
866724.23,13.97,0.37,181526.1,2.93
866588.25,13.97,0.37,181525.8,2.93
866588.25,13.97,0.37,181531.02,2.93
866452.27,13.97,0.37,181530.72,2.93
866452.27,13.97,0.37,181530.43,2.93
866316.3,13.97,0.37,181520.53,2.93
866180.32,13.97,0.37,181520.22,2.93
866180.32,13.97,0.37,181443.23,2.93
866044.34,13.97,0.37,181449.46,2.93
866044.34,13.97,0.37,181454.68,2.93
866097.04,13.97,0.37,181454.75,2.93
865961.07,13.97,0.37,181460.97,2.93
866205.1,13.98,0.38,181460.97,2.93
866257.8,13.98,0.38,181572.05,2.93
866121.83,13.98,0.38,181572.05,2.93
866506.49,13.99,0.39,181929.48,2.94
866810.66,13.99,0.4,181929.16,2.94
867106.68,14.0,0.4,181928.85,2.94
867957.83,14.01,0.42,182480.38,2.95
867821.85,14.01,0.42,182480.08,2.95
868206.51,14.02,0.42,182764.77,2.95
868396.96,14.02,0.43,182764.46,2.95
868396.96,14.02,0.43,182685.15,2.95
868260.99,14.02,0.43,182685.31,2.95
868599.13,14.03,0.43,182505.17,2.95
868463.15,14.03,0.43,182504.86,2.95
868463.15,14.03,0.43,182510.08,2.95
868327.17,14.03,0.43,182509.78,2.95
868717.73,14.04,0.44,182718.1,2.95
868581.76,14.04,0.44,182717.79,2.95
868445.78,14.04,0.44,182717.94,2.95
868309.8,14.04,0.44,182639.98,2.95
868605.82,14.05,0.45,182750.17,2.96
868658.53,14.05,0.45,182861.25,2.96
868954.55,14.05,0.46,182860.94,2.96
868818.57,14.05,0.46,182860.47,2.96
869114.59,14.06,0.46,182966.37,2.96
869167.29,14.06,0.46,182966.43,2.96
869505.43,14.07,0.47,182786.29,2.96
871146.17,14.1,0.5,183850.73,2.98
871146.17,14.1,0.5,183850.42,2.98
871010.2,14.1,0.5,183850.42,2.98
870874.22,14.1,0.5,183850.42,2.98
870926.92,14.1,0.5,183850.48,2.98
870979.62,14.1,0.5,183771.17,2.98
871283.79,14.11,0.51,183758.69,2.98
871147.82,14.11,0.51,183758.38,2.98
871200.52,14.11,0.51,183758.45,2.98
871446.46,14.12,0.52,183404.26,2.97
871636.91,14.12,0.52,183403.95,2.97
871965.39,14.13,0.53,183686.83,2.98
872350.05,14.14,0.54,183971.53,2.98
872415.37,14.14,0.54,183548.26,2.97
872415.37,14.14,0.54,183547.95,2.97
872589.97,14.14,0.54,184041.65,2.98
872454.0,14.14,0.54,184041.34,2.98
872318.02,14.14,0.54,184041.02,2.98
872182.04,14.14,0.54,184040.71,2.98
872234.74,14.14,0.55,184040.78,2.98
873056.05,14.16,0.56,184189.51,2.99
873108.75,14.16,0.56,184300.59,2.99
872972.78,14.16,0.56,184300.28,2.99
872972.78,14.16,0.56,184299.97,2.99
873025.48,14.16,0.57,184411.05,2.99
872889.5,14.16,0.57,184331.74,2.99
872753.52,14.16,0.57,184326.33,2.99
872617.55,14.16,0.57,184311.54,2.99
872481.57,14.16,0.57,184311.22,2.99
872777.59,14.17,0.57,184310.91,2.99
872842.91,14.17,0.57,183887.65,2.99
872706.93,14.17,0.57,183887.65,2.99
872706.93,14.17,0.57,183887.34,2.99
872570.96,14.17,0.58,183887.03,2.99
873427.37,14.19,0.59,184233.36,2.99
873291.4,14.19,0.59,184233.05,2.99
873155.42,14.19,0.59,184232.74,2.99
873019.44,14.19,0.59,184232.9,2.99
872883.47,14.19,0.59,184239.12,2.99
872387.79,14.18,0.58,183677.23,2.99
871880.39,14.18,0.58,183111.81,2.98
872567.26,14.19,0.59,183216.26,2.98
872863.28,14.19,0.6,183215.95,2.98
872863.28,14.19,0.6,183215.67,2.98
872727.3,14.19,0.6,183215.83,2.98
872591.33,14.19,0.6,183222.06,2.98
872455.35,14.19,0.6,183221.74,2.98
872319.37,14.19,0.6,183221.9,2.98
872615.39,14.2,0.6,183221.59,2.98
872492.04,14.2,0.6,182605.73,2.97
872356.06,14.2,0.6,182606.72,2.97
872220.08,14.2,0.6,182606.41,2.97
872084.1,14.2,0.6,182606.1,2.97
872388.28,14.21,0.61,182605.79,2.97
872252.3,14.21,0.61,182595.89,2.97
872116.32,14.21,0.61,182585.99,2.97
871980.34,14.21,0.61,182585.68,2.97
872276.36,14.21,0.62,182695.87,2.98
872140.39,14.21,0.62,182616.56,2.98
872428.26,14.22,0.62,182862.05,2.98
873115.13,14.23,0.63,182966.5,2.98
