ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-arrived_gpu_milli
1,1,1000,6212,1000
2,3,2000,6212,2000
3,5,2470,6212,2470
3,5,3280,6212,3280
4,9,3280,6212,3280
5,11,3750,6212,3750
6,13,5750,6212,5750
7,14,6560,6212,6560
8,16,7560,6212,7560
9,18,8560,6212,8560
10,22,8560,6212,8560
11,24,9560,6212,9560
12,26,9560,6212,9560
12,26,10560,6212,10560
13,28,11560,6212,11560
14,30,11560,6212,11560
15,32,12560,6212,12560
16,36,12560,6212,12560
16,36,13370,6212,13370
17,38,14370,6212,14370
17,38,14960,6212,14960
17,38,15770,6212,15770
18,40,16770,6212,16770
18,40,17090,6212,17090
19,41,17550,6212,17550
20,43,18020,6212,18020
21,45,18020,6212,18020
22,47,19020,6212,19020
23,49,19340,6212,19340
24,51,19990,6212,19990
25,53,19990,6212,19990
26,55,20990,6212,20990
27,57,21990,6212,21990
28,59,22990,6212,22990
29,63,22990,6212,22990
30,65,23990,6212,23990
30,65,24150,6212,24150
31,69,25150,6212,25150
32,71,26150,6212,26150
32,71,27150,6212,27150
33,73,27620,6212,27620
33,73,28430,6212,28430
34,74,28900,6212,28900
35,76,29900,6212,29900
36,77,30370,6212,30370
36,77,31180,6212,31180
37,79,32180,6212,32180
38,81,32180,6212,32180
39,83,32180,6212,32180
40,85,33180,6212,33180
41,89,34180,6212,34180
41,89,34990,6212,34990
41,89,35800,6212,35800
41,89,36260,6212,36260
42,93,37260,6212,37260
42,93,38070,6212,38070
43,94,39070,6212,39070
44,96,39720,6212,39720
45,98,40190,6212,40190
45,98,40510,6212,40510
45,98,41320,6212,41320
46,100,41320,6212,41320
47,102,41320,6212,41320
48,103,42320,6212,42320
48,103,43320,6212,43320
49,107,44320,6212,44320
49,107,45130,6212,45130
50,109,45450,6212,45450
50,109,46260,6212,46260
51,111,47260,6212,47260
51,111,47260,6212,47260
51,111,48070,6212,48070
52,112,49070,6212,49070
53,114,50070,6212,50070
53,114,51070,6212,51070
54,118,52070,6212,52070
54,118,52540,6212,52540
54,118,53350,6212,53350
55,119,54350,6212,54350
56,121,54350,6212,54350
57,123,55350,6212,55350
58,125,55820,6212,55820
59,127,56820,6212,56820
60,129,57820,6212,57820
61,131,58820,6212,58820
62,133,59820,6212,59820
62,133,60630,6212,60630
62,133,61440,6212,61440
63,135,62090,6212,62090
63,135,62560,6212,62560
64,139,62560,6212,62560
65,141,63560,6212,63560
66,143,64560,6212,64560
67,145,65560,6212,65560
68,147,66560,6212,66560
69,149,67030,6212,67030
69,149,68030,6212,68030
70,151,69030,6212,69030
71,155,70030,6212,70030
72,157,71030,6212,71030
73,158,71490,6212,71490
73,158,72490,6212,72490
73,158,73490,6212,73490
73,158,74490,6212,74490
74,159,74960,6212,74960
75,163,75960,6212,75960
75,163,76440,6212,76440
76,165,77090,6212,77090
77,167,77740,6212,77740
77,167,78740,6212,78740
78,168,79210,6212,79210
79,170,79680,6212,79680
80,172,80680,6212,80680
81,173,81140,6212,81140
82,175,82140,6212,82140
82,175,83140,6212,83140
83,176,83610,6212,83610
83,176,83930,6212,83930
83,176,84930,6212,84930
83,176,85930,6212,85930
83,176,86930,6212,86930
84,178,87930,6212,87930
85,180,88400,6212,88400
85,180,88720,6212,88720
86,182,89720,6212,89720
87,184,90720,6212,90720
87,184,91530,6212,91530
88,186,92530,6212,92530
88,186,92530,6212,92530
89,188,93530,6212,93530
89,188,94340,6212,94340
90,190,95340,6212,95340
91,194,95340,6212,95340
92,198,95340,6212,95340
92,198,95450,6212,95450
93,200,96450,6212,96450
94,202,96450,6212,96450
94,202,97260,6212,97260
95,204,98260,6212,98260
96,206,99260,6212,99260
97,208,99730,6212,99730
98,210,100730,6212,100730
98,210,101100,6212,101100
99,212,101100,6212,101100
100,214,102100,6212,102100
100,214,102470,6212,102470
100,214,103280,6212,103280
101,216,104280,6212,104280
102,218,105280,6212,105280
103,220,106280,6212,106280
103,220,107090,6212,107090
103,220,107310,6212,107310
103,220,108310,6212,108310
103,220,109310,6212,109310
103,220,110120,6212,110120
103,220,110930,6212,110930
104,222,111930,6212,111930
104,222,112250,6212,112250
104,222,113060,6212,113060
105,226,117060,6212,117060
106,228,118060,6212,118060
107,230,119060,6212,119060
108,232,120060,6212,120060
109,240,128060,6212,128060
110,242,129060,6212,129060
110,242,129870,6212,129870
110,242,130460,6212,130460
110,242,131270,6212,131270
110,242,131820,6212,131820
111,244,132820,6212,132820
111,244,133050,6212,133050
111,244,133510,6212,133510
111,244,134320,6212,134320
112,245,135320,6212,135320
112,245,136130,6212,136130
113,247,137130,6212,137130
113,247,137940,6212,137940
113,247,138750,6212,138750
114,249,139750,6212,139750
115,250,140750,6212,140750
116,252,141220,6212,141220
116,252,142030,6212,142030
116,252,143030,6212,143030
116,252,143350,6212,143350
116,252,143670,6212,143670
117,254,144670,6212,144670
118,258,145670,6212,145670
119,260,146670,6212,146670
119,260,147140,6212,147140
119,260,147140,6212,147140
120,262,147140,6212,147140
121,264,148140,6212,148140
121,264,148950,6212,148950
121,264,149950,6212,149950
122,266,150950,6212,150950
123,268,151950,6212,151950
124,270,151950,6212,151950
125,274,152950,6212,152950
125,274,153500,6212,153500
126,275,153970,6212,153970
127,276,154970,6212,154970
127,276,155970,6212,155970
128,278,156970,6212,156970
128,278,157780,6212,157780
129,280,158780,6212,158780
130,282,159780,6212,159780
131,284,160430,6212,160430
131,284,161430,6212,161430
132,286,162430,6212,162430
133,288,162900,6212,162900
134,290,163900,6212,163900
134,290,164270,6212,164270
135,294,164270,6212,164270
135,294,165270,6212,165270
135,294,166080,6212,166080
136,296,167080,6212,167080
137,298,168080,6212,168080
137,298,168310,6212,168310
137,298,169310,6212,169310
138,300,170310,6212,170310
139,302,171310,6212,171310
140,306,171310,6212,171310
141,308,172310,6212,172310
141,308,172860,6212,172860
142,310,173860,6212,173860
142,310,174020,6212,174020
142,310,174340,6212,174340
142,310,175150,6212,175150
143,312,176150,6212,176150
143,312,176960,6212,176960
144,316,180960,6212,180960
145,318,181960,6212,181960
146,320,182960,6212,182960
147,324,182960,6212,182960
148,326,182960,6212,182960
149,330,183960,6212,183960
149,330,184430,6212,184430
150,331,185240,6212,185240
151,335,185240,6212,185240
152,337,186240,6212,186240
153,341,187240,6212,187240
154,342,187710,6212,187710
154,342,188710,6212,188710
154,342,189520,6212,189520
155,346,190520,6212,190520
156,350,190520,6212,190520
157,351,190840,6212,190840
157,351,191650,6212,191650
157,351,191650,6212,191650
158,353,192650,6212,192650
158,353,193650,6212,193650
159,354,194650,6212,194650
159,354,195460,6212,195460
159,354,196110,6212,196110
160,356,197110,6212,197110
160,356,198110,6212,198110
161,364,206110,6212,206110
162,368,206430,6212,206430
163,370,207430,6212,207430
163,370,207750,6212,207750
164,372,208750,6212,208750
164,372,209070,6212,209070
164,372,209880,6212,209880
164,372,209880,6212,209880
164,372,210880,6212,210880
164,372,211350,6212,211350
164,372,212160,6212,212160
164,372,213160,6212,213160
164,372,214160,6212,214160
164,372,214160,6212,214160
165,376,215160,6212,215160
166,378,216160,6212,216160
166,378,217160,6212,217160
167,382,217630,6212,217630
167,382,218630,6212,218630
168,384,219630,6212,219630
168,384,219850,6212,219850
168,384,220850,6212,220850
168,384,221500,6212,221500
168,384,222500,6212,222500
168,384,222970,6212,222970
168,384,223780,6212,223780
168,384,224780,6212,224780
168,384,225100,6212,225100
169,386,226100,6212,226100
169,386,227100,6212,227100
170,387,228100,6212,228100
171,391,228570,6212,228570
172,393,229570,6212,229570
172,393,230570,6212,230570
172,393,230570,6212,230570
172,393,231380,6212,231380
172,393,231380,6212,231380
172,393,232380,6212,232380
172,393,232380,6212,232380
172,393,232380,6212,232380
172,393,233190,6212,233190
172,393,234190,6212,234190
172,393,235190,6212,235190
173,395,236190,6212,236190
173,395,236190,6212,236190
173,395,237190,6212,237190
173,395,237190,6212,237190
173,395,237650,6212,237650
173,395,237700,6212,237700
174,397,238700,6212,238700
174,397,238700,6212,238700
174,397,238700,6212,238700
174,397,239700,6212,239700
174,397,240700,6212,240700
175,399,241700,6212,241700
175,399,242700,6212,242700
175,399,243510,6212,243510
175,399,243670,6212,243670
175,399,244480,6212,244480
176,403,244950,6212,244950
177,405,245950,6212,245950
177,405,246320,6212,246320
177,405,246790,6212,246790
177,405,247160,6212,247160
177,405,247630,6212,247630
177,405,248630,6212,248630
178,409,249630,6212,249630
178,409,250630,6212,250630
178,409,250630,6212,250630
178,409,251280,6212,251280
179,411,252280,6212,252280
179,411,253090,6212,253090
179,411,254090,6212,254090
179,411,254460,6212,254460
180,413,255460,6212,255460
180,413,256270,6212,256270
180,413,257080,6212,257080
180,413,258080,6212,258080
180,413,258400,6212,258400
181,417,259400,6212,259400
182,418,260400,6212,260400
182,418,261400,6212,261400
182,418,262400,6212,262400
182,418,263400,6212,263400
183,420,264400,6212,264400
183,420,265400,6212,265400
183,420,265630,6212,265630
184,422,266630,6212,266630
184,422,267630,6212,267630
185,426,268100,6212,268100
185,426,268750,6212,268750
185,426,269750,6212,269750
185,426,270560,6212,270560
186,428,271560,6212,271560
186,428,272560,6212,272560
186,428,273560,6212,273560
187,430,274560,6212,274560
187,430,275030,6212,275030
187,430,275490,6212,275490
188,432,276490,6212,276490
188,432,277490,6212,277490
189,434,278490,6212,278490
189,434,278960,6212,278960
189,434,279190,6212,279190
190,436,280190,6212,280190
190,436,281000,6212,281000
190,436,282000,6212,282000
191,438,283000,6212,283000
191,438,284000,6212,284000
191,438,285000,6212,285000
192,442,286000,6212,286000
192,442,287000,6212,287000
192,442,287590,6212,287590
192,442,288400,6212,288400
192,442,289210,6212,289210
193,444,290210,6212,290210
193,444,291210,6212,291210
194,448,292210,6212,292210
194,448,293020,6212,293020
194,448,294020,6212,294020
194,448,295020,6212,295020
195,450,296020,6212,296020
195,450,296020,6212,296020
195,450,297020,6212,297020
196,452,299020,6212,299020
196,452,299020,6212,299020
196,452,299830,6212,299830
197,454,300830,6212,300830
197,454,301830,6212,301830
197,454,301830,6212,301830
198,458,302300,6212,302300
198,458,302890,6212,302890
198,458,302890,6212,302890
198,458,303210,6212,303210
198,458,304210,6212,304210
198,458,305210,6212,305210
198,458,306210,6212,306210
199,460,307210,6212,307210
199,460,308210,6212,308210
200,462,308680,6212,308680
200,462,309680,6212,309680
201,464,310680,6212,310680
201,464,311490,6212,311490
201,464,312300,6212,312300
202,472,320300,6212,320300
203,474,321300,6212,321300
203,474,322300,6212,322300
203,474,322530,6212,322530
203,474,323000,6212,323000
204,476,323810,6212,323810
204,476,324810,6212,324810
205,478,325810,6212,325810
205,478,325810,6212,325810
205,478,325810,6212,325810
205,478,326810,6212,326810
206,480,327810,6212,327810
206,480,328280,6212,328280
206,480,328280,6212,328280
206,480,328600,6212,328600
206,480,328600,6212,328600
206,480,329250,6212,329250
207,482,329720,6212,329720
207,482,330530,6212,330530
208,484,331530,6212,331530
208,484,332000,6212,332000
208,484,333000,6212,333000
209,486,334000,6212,334000
209,486,335000,6212,335000
210,488,336000,6212,336000
210,488,336000,6212,336000
210,488,336470,6212,336470
211,490,337470,6212,337470
211,490,338470,6212,338470
212,492,339470,6212,339470
212,492,340470,6212,340470
213,494,341470,6212,341470
213,494,341930,6212,341930
213,494,342400,6212,342400
213,494,342630,6212,342630
214,496,343630,6212,343630
214,496,344630,6212,344630
215,498,344950,6212,344950
215,498,344950,6212,344950
215,498,345950,6212,345950
216,500,346950,6212,346950
216,500,346950,6212,346950
216,500,346950,6212,346950
216,500,346950,6212,346950
216,500,347950,6212,347950
217,502,348950,6212,348950
217,502,348950,6212,348950
217,502,348950,6212,348950
217,502,349410,6212,349410
217,502,350410,6212,350410
218,504,351410,6212,351410
218,504,352410,6212,352410
219,506,353410,6212,353410
219,506,354410,6212,354410
220,508,355410,6212,355410
220,508,356410,6212,356410
221,510,357220,6212,357220
221,510,358220,6212,358220
222,512,359220,6212,359220
222,512,359690,6212,359690
223,514,360340,6212,360340
223,514,360660,6212,360660
223,514,360660,6212,360660
223,514,361660,6212,361660
224,518,362130,6212,362130
