ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-bellman_ratio
865627.35,13.94,0.34,180653.5,2.91
865965.49,13.94,0.35,180473.36,2.91
866821.91,13.96,0.36,180819.69,2.91
866314.51,13.95,0.36,180254.26,2.9
869770.6,14.01,0.41,183279.09,2.95
870090.2,14.02,0.42,183321.99,2.95
869730.94,14.01,0.42,182386.43,2.94
869314.42,14.01,0.41,181854.82,2.93
869652.56,14.02,0.42,181674.68,2.93
869990.7,14.02,0.43,181482.45,2.93
873446.79,14.08,0.48,184507.28,2.97
873784.93,14.09,0.49,184315.04,2.97
875425.67,14.11,0.52,185379.47,2.99
874728.27,14.11,0.51,184624.05,2.98
875085.47,14.11,0.52,184404.94,2.97
875936.61,14.13,0.53,184956.47,2.98
876274.76,14.13,0.54,184776.33,2.98
879730.85,14.19,0.59,187801.16,3.03
879223.45,14.18,0.59,187247.83,3.02
879561.59,14.19,0.59,187067.69,3.02
879285.91,14.19,0.59,186725.8,3.01
878778.51,14.18,0.58,186172.47,3.0
879135.71,14.19,0.59,185978.98,3.0
879605.31,14.2,0.6,186171.88,3.01
879540.1,14.2,0.6,185991.6,3.0
880396.52,14.21,0.62,186337.93,3.01
881247.67,14.23,0.63,186889.46,3.02
881585.81,14.24,0.64,186697.22,3.01
881970.47,14.24,0.64,186981.91,3.02
882657.34,14.25,0.66,187086.37,3.02
884298.08,14.28,0.68,188150.8,3.04
884636.22,14.29,0.69,187970.66,3.04
884974.37,14.3,0.7,187790.52,3.03
885297.05,14.3,0.71,187536.91,3.03
888753.14,14.36,0.76,190561.73,3.08
889091.29,14.37,0.77,190369.5,3.08
889720.88,14.38,0.78,190722.4,3.08
891222.81,14.41,0.81,192083.39,3.1
