ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-bellman_ratio
865627.35,13.94,0.34,180653.5,2.91
865491.37,13.94,0.34,180538.54,2.91
865787.39,13.94,0.35,180800.47,2.91
865370.87,13.94,0.34,180268.87,2.9
865370.87,13.94,0.34,180274.09,2.9
864998.87,13.93,0.34,179957.2,2.9
864726.92,13.93,0.34,179877.89,2.9
864310.39,13.93,0.33,179346.29,2.89
864648.53,13.94,0.34,179166.15,2.89
864512.56,13.94,0.34,179156.25,2.89
864512.56,13.94,0.34,179224.85,2.89
864376.58,13.94,0.34,179155.43,2.89
864725.79,13.94,0.34,185763.04,2.99
864028.4,13.93,0.33,185007.62,2.98
863892.42,13.93,0.34,184928.31,2.98
867254.77,13.99,0.39,185536.03,2.99
867118.79,13.99,0.39,185536.03,2.99
867118.79,13.99,0.39,185541.26,2.99
866702.27,13.98,0.38,185009.65,2.98
866566.29,13.98,0.38,185015.88,2.99
866810.32,13.99,0.39,185306.16,2.99
866393.8,13.98,0.38,184774.56,2.98
866257.82,13.98,0.38,184751.87,2.98
865967.81,13.98,0.38,184466.05,2.98
866271.98,13.98,0.39,184849.72,2.98
865901.83,13.98,0.38,184479.43,2.98
869102.45,14.03,0.43,185189.96,2.99
868966.47,14.03,0.43,185180.06,2.99
869351.14,14.04,0.44,185643.7,3.0
868860.5,14.03,0.43,185140.65,2.99
868860.5,14.03,0.43,185135.11,2.99
869198.64,14.04,0.44,184954.97,2.99
869536.78,14.05,0.45,184774.83,2.99
869400.8,14.05,0.45,184695.52,2.98
869750.02,14.05,0.46,191377.27,3.09
869614.04,14.05,0.46,191377.27,3.09
869848.84,14.06,0.46,191496.98,3.09
869712.86,14.06,0.46,191417.67,3.09
869576.88,14.06,0.46,191417.67,3.09
868879.48,14.05,0.45,190662.25,3.08
869175.5,14.05,0.46,190772.43,3.08
868668.1,14.05,0.45,190207.01,3.08
868296.11,14.04,0.45,190017.51,3.07
868160.13,14.04,0.45,190077.51,3.07
868084.93,14.04,0.45,190026.13,3.07
867668.4,14.04,0.44,189494.53,3.07
867532.43,14.04,0.44,189500.76,3.07
874095.39,14.14,0.55,190819.01,3.09
874095.39,14.14,0.55,190818.7,3.09
873959.42,14.14,0.55,190733.16,3.09
873823.44,14.14,0.55,190653.85,3.09
873876.14,14.15,0.55,190838.84,3.09
873460.94,14.14,0.54,190308.55,3.08
873395.74,14.14,0.54,190128.27,3.08
873259.76,14.14,0.54,190048.96,3.08
873312.46,14.15,0.55,190233.95,3.08
872707.26,14.14,0.54,189513.66,3.07
872897.71,14.14,0.54,189581.29,3.07
873193.73,14.15,0.55,190031.97,3.08
872897.3,14.14,0.55,189894.54,3.08
872480.78,14.14,0.54,189362.94,3.07
872480.78,14.14,0.54,189362.94,3.07
872480.78,14.14,0.54,189716.36,3.07
871875.58,14.13,0.53,188996.08,3.06
871270.37,14.12,0.53,188275.79,3.05
871134.4,14.12,0.53,188195.61,3.05
871187.1,14.13,0.53,188375.76,3.05
870963.64,14.12,0.53,188121.27,3.05
870547.12,14.12,0.52,187728.57,3.04
871187.86,14.13,0.53,187793.0,3.05
871187.86,14.13,0.53,187875.12,3.05
870771.33,14.13,0.53,187343.52,3.04
870166.13,14.12,0.52,186623.24,3.03
870806.87,14.13,0.53,186687.67,3.03
870670.9,14.13,0.53,186677.78,3.03
870534.92,14.13,0.53,186608.36,3.03
870459.72,14.13,0.53,186556.98,3.03
870043.19,14.13,0.53,186025.38,3.02
869437.99,14.12,0.52,185305.09,3.01
869437.99,14.12,0.52,184913.04,3.0
869302.01,14.12,0.52,184903.14,3.0
869598.04,14.13,0.53,185193.66,3.01
869462.06,14.13,0.53,185114.35,3.01
869326.08,14.13,0.53,185114.35,3.01
869190.1,14.13,0.53,185120.58,3.01
869054.13,14.13,0.53,185035.04,3.01
868637.6,14.12,0.52,184503.44,3.0
868221.08,14.12,0.52,183971.83,2.99
868411.53,14.12,0.52,184039.46,2.99
868039.53,14.12,0.52,183739.53,2.99
868388.75,14.12,0.52,190150.35,3.09
868252.77,14.12,0.52,190282.24,3.09
868116.79,14.12,0.52,190288.47,3.1
867980.82,14.12,0.52,190202.93,3.09
867844.84,14.12,0.52,190209.16,3.1
868140.86,14.13,0.53,190483.55,3.1
867627.85,14.12,0.52,189693.86,3.09
867965.99,14.13,0.53,189513.72,3.09
867830.02,14.13,0.53,189434.41,3.08
867694.04,14.13,0.53,189434.41,3.08
867332.04,14.12,0.53,189144.47,3.08
866634.64,14.12,0.52,188447.08,3.07
866498.66,14.12,0.52,188437.18,3.07
865801.27,14.11,0.51,187681.75,3.06
866097.29,14.11,0.51,187972.27,3.06
865961.31,14.11,0.51,187892.96,3.06
865579.31,14.11,0.51,187583.03,3.06
865769.76,14.11,0.51,187902.8,3.06
866456.64,14.12,0.53,188007.25,3.06
866794.78,14.13,0.53,187827.11,3.06
867499.2,14.15,0.55,188013.44,3.07
