ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_ratio
865627.35,13.94,0.34,180653.5,2.91
865965.49,13.94,0.35,180473.36,2.91
866821.91,13.96,0.36,180819.69,2.91
866314.51,13.95,0.36,180254.26,2.9
869770.6,14.01,0.41,183279.09,2.95
869695.4,14.01,0.41,183088.81,2.95
869336.14,14.01,0.41,182153.24,2.93
868919.62,14.0,0.4,181621.64,2.93
869257.76,14.01,0.41,181441.5,2.92
869595.9,14.02,0.42,181249.26,2.92
869595.9,14.02,0.42,181294.14,2.92
869934.04,14.03,0.43,181101.91,2.92
871574.78,14.05,0.45,182166.34,2.94
870877.38,14.04,0.45,181410.92,2.93
871234.58,14.05,0.45,181191.81,2.92
871629.38,14.06,0.46,181471.53,2.93
871967.52,14.07,0.47,181291.39,2.92
873695.56,14.09,0.5,183160.16,2.95
873188.17,14.09,0.49,182606.83,2.95
873526.31,14.09,0.5,182426.69,2.94
873219.85,14.09,0.49,182120.23,2.94
872712.45,14.08,0.49,181566.91,2.93
873069.65,14.09,0.49,181373.41,2.93
873144.45,14.09,0.5,181333.13,2.93
873079.24,14.09,0.5,181152.85,2.92
873935.66,14.11,0.51,181499.18,2.93
874330.46,14.12,0.52,181917.79,2.94
874668.6,14.12,0.53,181725.56,2.93
874348.6,14.12,0.52,181405.56,2.93
875035.47,14.13,0.53,181510.01,2.93
876676.22,14.16,0.56,182574.45,2.95
877014.36,14.17,0.57,182394.31,2.95
877352.5,14.17,0.58,182214.17,2.94
877675.19,14.18,0.58,181960.55,2.94
881131.28,14.24,0.64,184985.38,2.99
881469.42,14.24,0.65,184793.14,2.99
881627.47,14.25,0.65,184951.19,2.99
883129.4,14.27,0.68,186312.18,3.01
