ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-bellman_ratio
865627.35,13.94,0.34,180653.5,2.91
865491.37,13.94,0.34,180653.66,2.91
865787.39,13.94,0.35,180653.19,2.91
865370.87,13.94,0.34,180121.58,2.9
865370.87,13.94,0.34,180121.58,2.9
864998.87,13.93,0.34,182040.04,2.93
864639.61,13.93,0.33,181104.48,2.92
864223.09,13.93,0.33,180572.87,2.91
864087.11,13.93,0.33,180573.03,2.91
863951.14,13.93,0.33,180572.56,2.91
863951.14,13.93,0.33,180572.56,2.91
863815.16,13.93,0.33,182424.23,2.94
863815.16,13.93,0.33,182423.95,2.94
863209.96,13.92,0.32,181703.66,2.93
863073.98,13.92,0.32,181703.64,2.93
863073.98,13.92,0.32,181207.46,2.92
862938.0,13.92,0.32,181365.88,2.93
862938.0,13.92,0.32,182729.7,2.95
862521.48,13.91,0.32,182198.09,2.94
862385.5,13.91,0.32,182204.32,2.94
862164.11,13.91,0.31,181867.85,2.93
861747.59,13.91,0.31,181475.15,2.93
861611.61,13.91,0.31,181389.61,2.93
861686.41,13.91,0.31,181349.33,2.93
861621.21,13.91,0.31,181169.05,2.92
861917.23,13.92,0.32,181168.73,2.92
861917.23,13.92,0.32,181168.73,2.92
861781.25,13.92,0.32,181168.73,2.93
861487.44,13.91,0.31,180874.92,2.92
861677.89,13.92,0.32,180950.78,2.92
861677.89,13.92,0.32,180950.78,2.92
861541.91,13.92,0.32,180971.56,2.92
861405.93,13.92,0.32,181029.47,2.92
861269.96,13.92,0.32,181710.43,2.94
861269.96,13.92,0.32,181710.43,2.94
861133.98,13.92,0.32,181710.12,2.94
861017.86,13.91,0.32,181905.41,2.94
860881.89,13.91,0.32,181905.41,2.94
860745.91,13.91,0.32,182203.37,2.95
860140.71,13.91,0.31,181483.09,2.93
859946.92,13.91,0.31,181771.59,2.94
859530.4,13.9,0.3,181239.99,2.93
859455.19,13.9,0.3,181049.7,2.93
859319.22,13.9,0.3,181047.08,2.93
859244.01,13.9,0.3,180856.8,2.93
858827.49,13.9,0.3,180325.19,2.92
858691.51,13.9,0.3,180299.72,2.92
858691.51,13.9,0.3,180299.72,2.92
858691.51,13.9,0.3,180220.4,2.92
858555.54,13.9,0.3,180336.0,2.92
858419.56,13.9,0.3,180220.4,2.92
858003.04,13.89,0.29,179827.7,2.91
857587.83,13.89,0.29,179297.42,2.9
857522.63,13.89,0.29,179117.14,2.9
857386.65,13.89,0.29,179116.83,2.9
856970.13,13.88,0.28,178724.12,2.89
856364.93,13.87,0.28,178003.84,2.88
856555.38,13.88,0.28,178003.84,2.88
856851.4,13.88,0.29,178257.78,2.89
856554.97,13.88,0.28,178254.04,2.89
856138.45,13.87,0.28,177722.44,2.88
856138.45,13.87,0.28,177722.44,2.88
856138.45,13.87,0.28,177722.44,2.88
855533.25,13.87,0.27,177002.15,2.87
854928.05,13.86,0.26,176281.87,2.86
854792.07,13.86,0.26,176421.78,2.86
854467.74,13.86,0.26,175768.47,2.85
854244.28,13.85,0.26,175536.7,2.85
853738.2,13.85,0.25,175082.91,2.84
853602.23,13.85,0.25,175082.59,2.84
853602.23,13.85,0.25,175082.59,2.84
853277.9,13.84,0.25,174429.29,2.83
853141.92,13.84,0.25,174429.29,2.83
853005.95,13.84,0.25,174540.32,2.83
852869.97,13.84,0.25,174533.04,2.83
852733.99,13.84,0.25,174532.73,2.83
853030.01,13.85,0.25,174439.61,2.83
852523.94,13.84,0.24,173985.82,2.83
852387.96,13.84,0.25,174502.99,2.83
852387.96,13.84,0.25,174502.99,2.83
852262.8,13.84,0.25,174436.25,2.83
852343.93,13.85,0.25,174585.85,2.84
852207.95,13.85,0.25,174684.34,2.84
852071.97,13.85,0.25,174619.54,2.84
851936.0,13.85,0.25,174586.52,2.84
851800.02,13.85,0.25,175673.85,2.86
851388.77,13.84,0.24,175311.44,2.85
851441.48,13.84,0.25,174558.89,2.84
851631.93,13.85,0.25,174626.52,2.84
851927.95,13.85,0.26,175077.2,2.85
851927.95,13.85,0.26,175229.94,2.85
851791.97,13.85,0.26,175236.17,2.85
851655.99,13.85,0.26,175150.63,2.85
851520.02,13.85,0.26,175071.32,2.85
851384.04,13.85,0.26,175071.32,2.85
851012.04,13.85,0.25,174647.59,2.84
850876.06,13.85,0.25,174647.59,2.84
850740.09,13.85,0.25,174647.59,2.84
850604.11,13.85,0.25,174647.59,2.84
850468.13,13.85,0.25,174649.2,2.84
850772.3,13.86,0.26,174647.59,2.84
850636.33,13.86,0.26,174647.59,2.84
850500.35,13.86,0.26,174990.08,2.85
850364.37,13.86,0.26,175046.05,2.85
849994.22,13.85,0.25,174717.59,2.85
849858.24,13.85,0.25,174717.28,2.85
850178.56,13.86,0.26,175526.53,2.86
850369.02,13.86,0.26,175526.53,2.86
850559.47,13.87,0.27,175767.41,2.87
850423.49,13.87,0.27,175774.37,2.87
850281.04,13.86,0.27,175841.7,2.87
850577.06,13.87,0.27,175786.54,2.87
850441.08,13.87,0.27,175786.23,2.87
850079.08,13.87,0.27,177302.34,2.89
849943.1,13.87,0.27,177302.34,2.89
849743.13,13.86,0.27,176781.94,2.88
850039.15,13.87,0.27,176781.94,2.88
849742.72,13.87,0.27,176545.3,2.88
849606.74,13.87,0.27,176585.07,2.88
849470.77,13.87,0.27,176550.22,2.88
849334.79,13.87,0.27,176545.3,2.88
849198.81,13.87,0.27,176921.09,2.89
848826.81,13.86,0.26,176664.46,2.88
848562.83,13.86,0.26,176100.4,2.88
848426.86,13.86,0.26,176041.23,2.88
848290.88,13.86,0.26,175961.92,2.87
848365.21,13.86,0.26,175797.53,2.87
848229.24,13.86,0.26,175797.53,2.87
848229.24,13.86,0.26,175797.53,2.87
848093.26,13.86,0.26,175718.22,2.87
848135.14,13.86,0.27,176197.44,2.88
847988.35,13.86,0.27,175981.05,2.88
847988.35,13.86,0.27,175981.05,2.88
847988.35,13.86,0.27,175981.05,2.88
847880.99,13.86,0.26,175882.75,2.88
847745.02,13.86,0.26,175882.75,2.88
847745.02,13.86,0.26,175882.75,2.88
847819.35,13.87,0.27,175399.44,2.87
847683.37,13.87,0.27,175399.13,2.87
847547.4,13.87,0.27,175399.13,2.87
847843.42,13.87,0.27,175532.6,2.87
847707.44,13.87,0.27,175522.51,2.87
847434.33,13.87,0.27,175399.13,2.87
847434.33,13.87,0.27,175399.13,2.87
847298.35,13.87,0.27,175978.7,2.88
847696.4,13.87,0.28,178001.34,2.91
847738.29,13.88,0.28,177577.13,2.91
847594.14,13.88,0.28,177776.65,2.91
847458.16,13.88,0.28,177697.34,2.91
847322.18,13.88,0.28,177697.34,2.91
847387.5,13.88,0.28,177274.08,2.9
847289.58,13.88,0.28,178187.75,2.92
847053.68,13.88,0.28,177864.13,2.91
846930.32,13.88,0.28,177248.26,2.9
846883.1,13.88,0.28,177112.71,2.9
846935.8,13.88,0.28,176768.42,2.9
846799.83,13.88,0.28,176689.11,2.9
846698.01,13.88,0.28,176073.6,2.89
846750.71,13.88,0.29,176050.06,2.89
846206.8,13.88,0.29,176073.28,2.89
846070.82,13.88,0.29,176400.26,2.89
845934.85,13.88,0.29,176400.26,2.9
845798.87,13.88,0.29,176386.89,2.9
844711.05,13.88,0.29,176386.58,2.9
844575.07,13.88,0.29,176376.42,2.9
844627.77,13.89,0.29,176686.83,2.91
844871.81,13.89,0.29,176850.95,2.91
844924.51,13.9,0.3,176962.03,2.91
845205.62,13.9,0.3,177371.68,2.92
845069.64,13.9,0.3,177377.91,2.92
844868.38,13.9,0.3,177268.97,2.92
845172.55,13.9,0.31,177623.72,2.92
845225.25,13.91,0.31,177734.8,2.92
845089.28,13.91,0.31,177729.4,2.92
845141.98,13.91,0.31,177840.48,2.93
845006.0,13.91,0.31,177835.08,2.93
845071.32,13.91,0.32,177411.81,2.92
845024.1,13.91,0.32,177267.82,2.92
844888.12,13.91,0.32,177267.51,2.92
844752.14,13.91,0.32,177267.5,2.92
844381.99,13.91,0.31,176897.21,2.91
844434.7,13.91,0.31,176897.21,2.91
844298.72,13.91,0.31,176903.37,2.91
844011.63,13.91,0.31,176577.59,2.91
844396.29,13.91,0.32,176571.43,2.91
844260.32,13.91,0.32,176571.43,2.91
844124.34,13.91,0.32,177179.66,2.92
843988.36,13.91,0.32,177151.73,2.92
843676.26,13.91,0.31,176970.32,2.92
843676.26,13.91,0.31,176970.32,2.92
843676.26,13.91,0.31,176970.32,2.92
843540.28,13.91,0.31,176970.01,2.92
843592.99,13.91,0.32,176970.01,2.92
843457.01,13.91,0.32,176970.01,2.92
843321.03,13.91,0.32,176994.69,2.92
843185.05,13.91,0.32,176977.39,2.92
843185.05,13.91,0.32,176977.39,2.92
843049.08,13.91,0.32,177051.78,2.92
843330.19,13.92,0.32,177051.47,2.92
843637.02,13.93,0.33,177717.1,2.93
843490.23,13.93,0.33,177539.41,2.93
843354.25,13.93,0.33,177539.41,2.93
843218.28,13.93,0.33,177544.31,2.93
843270.98,13.93,0.33,177542.52,2.93
843135.0,13.93,0.33,177544.48,2.93
842999.02,13.93,0.33,177539.41,2.93
843189.47,13.93,0.34,178460.03,2.95
843053.5,13.93,0.34,178355.54,2.95
842917.52,13.93,0.34,178355.7,2.95
842546.84,13.93,0.33,178035.98,2.94
842410.87,13.93,0.33,178035.51,2.94
842073.78,13.92,0.33,177809.75,2.94
842073.78,13.92,0.33,177809.75,2.94
841937.8,13.92,0.33,177809.75,2.94
841990.5,13.93,0.33,177831.16,2.94
841854.52,13.93,0.33,177810.62,2.94
841718.55,13.93,0.33,177809.75,2.94
841512.12,13.92,0.33,177568.2,2.94
841376.14,13.92,0.33,177864.68,2.94
841240.16,13.92,0.33,177738.14,2.94
841104.19,13.92,0.33,177739.13,2.94
841104.19,13.92,0.33,177739.13,2.94
840968.21,13.92,0.33,177651.8,2.94
841249.32,13.93,0.33,176911.76,2.93
841113.34,13.93,0.33,176901.86,2.93
840954.66,13.93,0.33,176743.6,2.93
840700.02,13.92,0.33,177792.17,2.94
840765.35,13.93,0.33,177368.91,2.94
840530.77,13.93,0.33,177046.61,2.93
840572.65,13.93,0.33,176485.96,2.92
840028.74,13.93,0.33,176509.18,2.93
839892.76,13.93,0.33,176439.77,2.93
839756.79,13.93,0.33,176360.45,2.93
839756.79,13.93,0.33,176360.45,2.93
839756.79,13.93,0.33,176360.45,2.93
839620.81,13.93,0.33,176360.45,2.93
839916.83,13.93,0.34,176346.04,2.93
839991.55,13.94,0.34,175938.93,2.92
839991.55,13.94,0.34,175938.93,2.92
839811.92,13.94,0.34,176131.87,2.92
839675.95,13.94,0.34,176122.75,2.92
839303.95,13.93,0.33,176644.74,2.93
839167.97,13.93,0.33,176644.44,2.93
839231.49,13.93,0.34,176497.07,2.93
839086.01,13.93,0.34,176372.45,2.93
839086.01,13.93,0.34,176372.45,2.93
839470.68,13.94,0.34,176372.44,2.93
839523.38,13.94,0.35,176387.48,2.93
839523.38,13.94,0.35,176387.48,2.93
839387.4,13.94,0.35,176382.54,2.93
839251.42,13.94,0.35,176372.44,2.93
839115.45,13.94,0.35,176633.47,2.94
839168.15,13.95,0.35,176814.34,2.94
838677.51,13.94,0.34,176372.44,2.93
838541.53,13.94,0.34,176777.66,2.94
838405.55,13.94,0.34,176777.35,2.94
837317.73,13.94,0.34,176777.04,2.94
837702.4,13.95,0.35,176788.98,2.94
837566.42,13.95,0.35,176779.34,2.94
837381.54,13.95,0.35,176777.04,2.94
837245.56,13.95,0.35,177003.15,2.95
836949.8,13.94,0.34,176904.07,2.95
837002.5,13.95,0.35,176777.04,2.95
837002.5,13.95,0.35,176777.04,2.95
836866.53,13.95,0.35,177426.1,2.96
837162.55,13.95,0.35,177426.1,2.96
