workload,sc_policy,tune,seed,total_gpus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
openb_pod_list_default,01-Random,1.3,42,6212,0.25,1.04,2.01,3.01,3.98,5.06,5.98,7.02,8.03,8.99,10.03,11.03,12.0,13.03,14.01,14.99,15.97,16.98,17.99,19.01,19.98,20.98,21.9,23.03,24.02,24.98,25.97,27.02,28.01,28.97,30.02,31.0,32.05,33.02,33.97,34.96,36.0,36.98,38.01,39.0,39.99,41.05,42.0,43.04,44.0,45.01,45.98,47.0,47.94,49.05,49.95,51.01,51.97,53.03,53.99,54.97,55.97,57.01,57.99,58.98,59.98,61.0,62.01,63.02,63.94,64.86,65.83,66.78,67.74,68.73,69.55,70.3,71.23,72.16,73.02,73.99,74.8,75.7,76.7,77.72,78.7,79.64,80.57,81.52,82.42,83.36,83.91,84.41,84.71,84.9,85.04,85.17,85.28,85.44,85.58,85.73,85.85,86.01,86.15,86.29,86.38,86.43,86.47,86.52,86.59,86.66,86.73,86.77,86.81,86.85,86.89,86.94,86.98,86.99,87.05,87.07,87.11,87.16,87.19,87.24,87.3,87.32,87.37,87.42,87.44,87.45,87.46,87.47,87.48,87.49,87.49
openb_pod_list_default,01-Random,1.3,43,6212,0.26,0.98,2.0,2.98,3.98,5.02,5.98,7.0,8.0,9.0,10.06,11.07,12.03,13.0,14.01,15.02,15.93,17.02,18.0,18.98,19.99,21.01,21.99,22.98,23.96,24.93,25.97,26.97,27.99,28.98,30.03,30.99,32.0,32.98,34.02,35.0,36.03,37.02,37.99,39.06,40.01,40.95,42.03,43.09,43.97,45.03,45.98,47.04,48.0,49.0,50.0,51.04,51.95,52.89,53.85,54.87,55.85,56.81,57.73,58.62,59.37,60.24,61.23,62.15,63.06,63.88,64.85,65.87,66.84,67.86,68.76,69.74,70.73,71.65,72.58,73.54,74.32,75.19,76.24,77.15,78.07,79.06,80.09,81.08,82.06,82.98,83.82,84.35,84.88,85.3,85.62,85.79,85.95,86.07,86.19,86.33,86.45,86.6,86.67,86.73,86.79,86.86,86.96,87.02,87.06,87.11,87.18,87.22,87.27,87.32,87.36,87.41,87.44,87.48,87.52,87.55,87.57,87.61,87.65,87.67,87.7,87.71,87.73,87.74,87.78,87.8,87.82,87.84,87.85,87.87,87.88
openb_pod_list_default,02-DotProd,1.3,42,6212,0.25,1.04,2.01,3.01,3.98,5.06,5.98,7.02,8.03,8.99,10.03,11.03,12.0,13.03,14.01,14.99,15.97,16.98,17.99,19.01,19.98,20.98,21.9,23.03,24.02,24.98,25.97,27.02,28.01,28.97,30.02,31.0,32.05,33.02,33.97,34.96,36.0,36.98,38.01,39.0,39.99,41.05,42.0,43.04,44.0,45.01,45.98,47.0,47.94,49.05,49.95,51.01,51.97,53.03,53.99,54.97,55.97,57.01,57.99,58.98,59.98,61.0,62.01,63.02,63.94,64.99,65.96,67.04,68.0,68.99,70.08,71.01,72.0,73.06,74.04,75.02,76.06,76.99,77.99,79.01,79.99,80.97,81.99,83.0,83.98,85.04,86.0,86.98,88.03,89.0,89.95,90.25,90.26,90.27,90.27,90.27,90.29,90.32,90.33,90.33,90.34,90.34,90.35,90.35,90.35,90.35,90.36,90.36,90.38,90.39,90.39,90.4,90.4,90.4,90.4,90.4,90.4,90.42,90.43,90.44,90.46,90.46,90.48,90.51,90.52,90.52,90.53,90.53,90.53,90.54,90.54
openb_pod_list_default,02-DotProd,1.3,43,6212,0.26,0.98,2.0,2.98,3.98,5.02,5.98,7.0,8.0,9.0,10.06,11.07,12.03,13.0,14.01,15.02,15.93,17.02,18.0,18.98,19.99,21.01,21.99,22.98,23.96,24.93,25.97,26.97,27.99,28.98,30.03,30.99,32.0,32.98,34.02,35.0,36.03,37.02,37.99,39.06,40.01,40.95,42.03,43.09,43.97,45.03,45.98,47.04,48.0,49.0,50.0,51.04,51.97,53.02,53.98,55.0,55.98,56.96,57.98,59.07,60.01,61.02,62.0,63.05,63.96,65.01,66.0,67.03,68.0,69.02,70.01,71.03,72.02,73.06,74.0,74.98,76.01,76.99,78.04,79.01,80.0,80.99,82.02,83.01,83.99,85.05,86.05,87.01,88.0,88.99,90.01,90.49,90.5,90.5,90.51,90.52,90.53,90.53,90.54,90.56,90.56,90.58,90.61,90.61,90.61,90.62,90.62,90.63,90.64,90.65,90.65,90.67,90.68,90.68,90.68,90.69,90.69,90.69,90.71,90.72,90.73,90.74,90.75,90.76,90.79,90.81,90.81,90.83,90.83,90.84,90.84
openb_pod_list_default,03-GpuClustering,1.3,42,6212,0.25,1.04,2.01,3.01,3.98,5.06,5.98,7.02,8.03,8.99,10.03,11.03,12.0,13.03,14.01,14.99,15.97,16.98,17.99,19.01,19.98,20.98,21.9,23.03,24.02,24.98,25.97,27.02,28.01,28.97,30.02,31.0,32.05,33.02,33.97,34.96,36.0,36.98,38.01,39.0,39.99,41.05,42.0,43.04,44.0,45.01,45.98,47.0,47.94,49.05,49.95,51.01,51.97,53.03,53.99,54.97,55.97,57.01,57.99,58.98,59.98,61.0,62.01,63.02,63.94,64.99,65.96,67.04,68.0,68.99,70.08,71.01,72.0,73.06,74.04,75.02,76.06,76.99,77.99,79.01,79.99,80.97,81.99,83.0,83.98,85.04,86.0,86.98,88.03,89.0,89.98,90.95,91.25,91.25,91.25,91.26,91.28,91.31,91.32,91.33,91.33,91.33,91.34,91.35,91.35,91.35,91.36,91.36,91.37,91.38,91.39,91.39,91.39,91.39,91.39,91.39,91.39,91.42,91.42,91.44,91.45,91.45,91.47,91.5,91.51,91.51,91.52,91.53,91.53,91.53,91.53
openb_pod_list_default,03-GpuClustering,1.3,43,6212,0.26,0.98,2.0,2.98,3.98,5.02,5.98,7.0,8.0,9.0,10.06,11.07,12.03,13.0,14.01,15.02,15.93,17.02,18.0,18.98,19.99,21.01,21.99,22.98,23.96,24.93,25.97,26.97,27.99,28.98,30.03,30.99,32.0,32.98,34.02,35.0,36.03,37.02,37.99,39.06,40.01,40.95,42.03,43.09,43.97,45.03,45.98,47.04,48.0,49.0,50.0,51.04,51.97,53.02,53.98,55.0,55.98,56.96,57.98,59.07,60.01,61.02,62.0,63.05,63.96,65.01,66.0,67.03,68.0,69.02,70.01,71.03,72.02,73.06,74.0,74.98,76.01,76.99,78.04,79.01,80.0,80.99,82.02,83.01,83.99,85.05,86.05,87.01,88.0,88.99,90.01,91.03,91.6,91.62,91.63,91.64,91.65,91.66,91.67,91.68,91.69,91.71,91.73,91.73,91.73,91.74,91.75,91.75,91.76,91.77,91.77,91.79,91.8,91.8,91.8,91.81,91.81,91.81,91.83,91.85,91.86,91.86,91.88,91.88,91.91,91.93,91.94,91.96,91.96,91.97,91.97
openb_pod_list_default,04-GpuPacking,1.3,42,6212,0.25,1.04,2.01,3.01,3.98,5.06,5.98,7.02,8.03,8.99,10.03,11.03,12.0,13.03,14.01,14.99,15.97,16.98,17.99,19.01,19.98,20.98,21.9,23.03,24.02,24.98,25.97,27.02,28.01,28.97,30.02,31.0,32.05,33.02,33.97,34.96,36.0,36.98,38.01,39.0,39.99,41.05,42.0,43.04,44.0,45.01,45.98,47.0,47.94,49.05,49.95,51.01,51.97,53.03,53.99,54.97,55.97,57.01,57.99,58.98,59.98,61.0,62.01,63.02,63.94,64.99,65.96,67.04,68.0,68.99,70.08,71.01,72.0,73.06,74.04,75.02,76.06,76.99,77.99,79.01,79.99,80.97,81.99,83.0,83.98,85.04,86.0,86.98,88.03,89.0,89.98,90.95,91.29,91.29,91.3,91.3,91.32,91.35,91.36,91.36,91.37,91.37,91.38,91.39,91.39,91.39,91.4,91.4,91.41,91.42,91.42,91.43,91.43,91.43,91.43,91.43,91.43,91.46,91.46,91.48,91.49,91.49,91.51,91.54,91.55,91.55,91.56,91.57,91.57,91.57,91.57
openb_pod_list_default,04-GpuPacking,1.3,43,6212,0.26,0.98,2.0,2.98,3.98,5.02,5.98,7.0,8.0,9.0,10.06,11.07,12.03,13.0,14.01,15.02,15.93,17.02,18.0,18.98,19.99,21.01,21.99,22.98,23.96,24.93,25.97,26.97,27.99,28.98,30.03,30.99,32.0,32.98,34.02,35.0,36.03,37.02,37.99,39.06,40.01,40.95,42.03,43.09,43.97,45.03,45.98,47.04,48.0,49.0,50.0,51.04,51.97,53.02,53.98,55.0,55.98,56.96,57.98,59.07,60.01,61.02,62.0,63.05,63.96,65.01,66.0,67.03,68.0,69.02,70.01,71.03,72.02,73.06,74.0,74.98,76.01,76.99,78.04,79.01,80.0,80.99,82.02,83.01,83.99,85.05,86.05,87.01,88.0,88.99,90.01,91.03,91.69,91.72,91.72,91.73,91.74,91.75,91.76,91.77,91.78,91.8,91.82,91.82,91.82,91.83,91.84,91.84,91.85,91.86,91.86,91.88,91.89,91.89,91.89,91.9,91.9,91.9,91.92,91.94,91.95,91.95,91.97,91.97,92.0,92.02,92.03,92.04,92.05,92.05,92.06
openb_pod_list_default,05-BestFit,1.3,42,6212,0.25,1.04,2.01,3.01,3.98,5.06,5.98,7.02,8.03,8.99,10.03,11.03,12.0,13.03,14.01,14.99,15.97,16.98,17.99,19.01,19.98,20.98,21.9,23.03,24.02,24.98,25.97,27.02,28.01,28.97,30.02,31.0,32.05,33.02,33.97,34.96,36.0,36.98,38.01,39.0,39.99,41.05,42.0,43.04,44.0,45.01,45.98,47.0,47.94,49.05,49.95,51.01,51.97,53.03,53.99,54.97,55.97,57.01,57.99,58.98,59.98,61.0,62.01,63.02,63.94,64.99,65.96,67.04,68.0,68.99,70.08,71.01,72.0,73.06,74.04,75.02,76.06,76.99,77.99,79.01,79.99,80.97,81.99,83.0,83.98,85.04,86.0,86.98,88.03,89.0,89.98,90.98,92.02,92.79,92.87,92.87,92.89,92.92,92.93,92.94,92.94,92.95,92.96,92.96,92.96,92.96,92.97,92.97,92.99,93.0,93.0,93.0,93.0,93.0,93.0,93.01,93.01,93.03,93.04,93.05,93.07,93.07,93.08,93.1,93.11,93.11,93.12,93.12,93.12,93.13,93.13
openb_pod_list_default,05-BestFit,1.3,43,6212,0.26,0.98,2.0,2.98,3.98,5.02,5.98,7.0,8.0,9.0,10.06,11.07,12.03,13.0,14.01,15.02,15.93,17.02,18.0,18.98,19.99,21.01,21.99,22.98,23.96,24.93,25.97,26.97,27.99,28.98,30.03,30.99,32.0,32.98,34.02,35.0,36.03,37.02,37.99,39.06,40.01,40.95,42.03,43.09,43.97,45.03,45.98,47.04,48.0,49.0,50.0,51.04,51.97,53.02,53.98,55.0,55.98,56.96,57.98,59.07,60.01,61.02,62.0,63.05,63.96,65.01,66.0,67.03,68.0,69.02,70.01,71.03,72.02,73.06,74.0,74.98,76.01,76.99,78.04,79.01,80.0,80.99,82.02,83.01,83.99,85.05,86.05,87.01,88.0,88.99,90.01,91.03,92.0,92.79,92.89,92.93,92.94,92.94,92.95,92.96,92.97,92.99,93.01,93.01,93.01,93.02,93.03,93.03,93.05,93.05,93.05,93.08,93.08,93.09,93.09,93.09,93.09,93.09,93.11,93.13,93.14,93.14,93.16,93.16,93.19,93.21,93.22,93.24,93.24,93.25,93.25
