ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,8,810,6212,810
2,10,1810,6212,1810
3,12,2280,6212,2280
4,20,2510,6212,2510
5,22,2510,6212,2510
6,30,2990,6212,2990
7,38,3990,6212,3990
8,46,4990,6212,4990
9,54,5990,6212,5990
10,62,6990,6212,6990
11,70,7990,6212,7990
12,78,8990,6212,8990
13,82,9990,6212,9990
14,90,10800,6212,10800
15,98,11800,6212,11800
16,106,12800,6212,12800
17,114,12800,6212,12800
18,122,13800,6212,13800
19,124,14800,6212,14800
20,132,14800,6212,14800
21,133,15270,6212,15270
22,141,16270,6212,16270
23,149,16270,6212,16270
24,153,16920,6212,16920
25,161,17920,6212,17920
26,163,18290,6212,18290
27,165,19290,6212,19290
28,167,19520,6212,19520
29,169,20520,6212,20520
30,173,20990,6212,20990
31,175,21640,6212,21640
32,183,22640,6212,22640
33,191,23110,6212,23110
34,193,24110,6212,24110
35,195,25110,6212,25110
36,203,26110,6212,26110
37,211,27110,6212,27110
37,211,27920,6212,27920
38,219,28390,6212,28390
39,227,29390,6212,29390
40,229,29850,6212,29850
41,237,30070,6212,30070
42,245,32070,6212,32070
43,247,33070,6212,33070
44,249,33880,6212,33880
45,257,33880,6212,33880
46,265,34340,6212,34340
47,273,34990,6212,34990
47,273,35990,6212,35990
48,275,36990,6212,36990
49,277,37800,6212,37800
50,279,38800,6212,38800
51,283,39800,6212,39800
52,285,40270,6212,40270
53,287,41080,6212,41080
54,289,42080,6212,42080
55,297,42730,6212,42730
56,299,43730,6212,43730
57,307,44730,6212,44730
58,315,45050,6212,45050
59,323,45280,6212,45280
60,331,45750,6212,45750
61,339,46750,6212,46750
62,341,47560,6212,47560
63,349,48560,6212,48560
64,357,49030,6212,49030
65,361,49680,6212,49680
66,363,50490,6212,50490
66,363,50960,6212,50960
67,371,51960,6212,51960
68,379,52610,6212,52610
69,381,53080,6212,53080
70,383,54080,6212,54080
71,391,54890,6212,54890
72,393,55890,6212,55890
73,397,56210,6212,56210
74,405,57210,6212,57210
75,413,58210,6212,58210
76,421,59210,6212,59210
77,429,60210,6212,60210
77,429,61020,6212,61020
78,437,61830,6212,61830
79,439,62300,6212,62300
80,447,63300,6212,63300
81,451,63770,6212,63770
82,459,64770,6212,64770
83,467,65420,6212,65420
84,469,66230,6212,66230
85,471,67230,6212,67230
86,473,67710,6212,67710
87,475,68030,6212,68030
88,477,68840,6212,68840
89,479,69490,6212,69490
90,487,69960,6212,69960
91,495,70960,6212,70960
92,503,71960,6212,71960
93,511,72960,6212,72960
94,513,73960,6212,73960
95,521,74960,6212,74960
96,529,75960,6212,75960
97,537,76430,6212,76430
98,545,76900,6212,76900
99,553,77370,6212,77370
100,555,78370,6212,78370
101,563,79370,6212,79370
102,565,80370,6212,80370
103,573,80960,6212,80960
