ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5fa9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
345089.06,5.56,0.38,172259.35,2.77
345037.33,5.56,0.38,172147.11,2.77
346023.1,5.57,0.4,172589.2,2.78
346543.32,5.58,0.41,172589.2,2.78
346543.32,5.58,0.41,172476.1,2.78
346906.07,5.59,0.41,172476.12,2.78
346854.35,5.59,0.41,172476.12,2.78
346802.62,5.59,0.41,172476.12,2.78
346750.9,5.59,0.41,172476.12,2.78
346699.17,5.59,0.41,172476.12,2.78
346647.45,5.59,0.42,172476.12,2.78
346595.72,5.59,0.42,172476.12,2.78
346579.61,5.59,0.42,172653.16,2.78
346716.44,5.59,0.42,172653.16,2.78
346664.72,5.59,0.42,172653.16,2.78
346612.99,5.59,0.42,172653.18,2.79
346612.99,5.59,0.42,172653.18,2.79
346561.27,5.59,0.42,172653.18,2.79
347029.89,5.6,0.43,172569.15,2.78
347029.89,5.6,0.43,172569.15,2.78
346993.19,5.6,0.43,172406.58,2.78
346941.47,5.6,0.43,172406.58,2.78
346941.47,5.6,0.43,172406.58,2.78
347213.87,5.6,0.43,172409.08,2.78
347162.15,5.6,0.43,172409.08,2.78
347599.48,5.61,0.44,172295.98,2.78
347547.76,5.61,0.44,172292.74,2.78
348067.99,5.62,0.45,172388.57,2.78
348016.26,5.62,0.45,172323.57,2.78
348386.98,5.63,0.45,172347.62,2.78
348659.39,5.63,0.46,172411.52,2.79
348607.66,5.63,0.46,172411.52,2.79
348978.38,5.64,0.47,172411.52,2.79
348926.66,5.64,0.47,172382.02,2.79
348874.93,5.64,0.47,172268.92,2.78
348823.21,5.64,0.47,172268.92,2.78
348771.48,5.64,0.47,172268.92,2.79
348908.31,5.64,0.47,172268.92,2.79
349279.03,5.65,0.48,172268.92,2.79
349227.3,5.65,0.48,172268.92,2.79
350021.41,5.66,0.49,172357.4,2.79
350549.07,5.67,0.5,172357.47,2.79
350445.62,5.67,0.5,172357.66,2.79
350813.06,5.68,0.51,172105.36,2.79
350949.88,5.68,0.51,172227.98,2.79
350949.88,5.68,0.51,172227.98,2.79
351328.57,5.69,0.51,172227.98,2.79
351600.98,5.69,0.52,172227.98,2.79
351549.26,5.69,0.52,172227.98,2.79
351497.53,5.69,0.52,172114.87,2.79
351634.36,5.7,0.52,172237.49,2.79
351582.63,5.7,0.52,172124.39,2.79
351530.91,5.7,0.52,172104.63,2.79
351901.63,5.7,0.53,172219.57,2.79
352038.45,5.7,0.53,172342.19,2.79
351986.73,5.7,0.53,172229.95,2.79
352259.14,5.71,0.54,172229.95,2.79
352207.41,5.71,0.54,172117.71,2.79
352155.69,5.71,0.54,172117.71,2.79
