ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,2,470,6212,470
2,4,1280,6212,1280
3,6,2090,6212,2090
4,8,3090,6212,3090
5,10,4090,6212,4090
6,12,5090,6212,5090
7,20,5900,6212,5900
8,22,6120,6212,6120
9,30,6490,6212,6490
10,32,7490,6212,7490
11,40,8490,6212,8490
12,48,9300,6212,9300
13,50,9300,6212,9300
14,52,10300,6212,10300
15,54,10300,6212,10300
16,62,10300,6212,10300
17,64,11300,6212,11300
18,72,11300,6212,11300
19,74,12300,6212,12300
20,76,13110,6212,13110
21,78,14110,6212,14110
22,86,15110,6212,15110
23,94,15110,6212,15110
24,96,16110,6212,16110
25,97,16580,6212,16580
26,101,17580,6212,17580
27,109,18390,6212,18390
28,117,19390,6212,19390
29,119,19860,6212,19860
30,127,20330,6212,20330
31,135,20790,6212,20790
32,143,21790,6212,21790
33,145,22600,6212,22600
33,145,23600,6212,23600
34,147,24600,6212,24600
35,149,25600,6212,25600
36,157,26600,6212,26600
37,165,27410,6212,27410
38,173,28410,6212,28410
39,177,28410,6212,28410
40,185,28880,6212,28880
41,187,29880,6212,29880
42,189,30880,6212,30880
43,197,30880,6212,30880
44,199,31880,6212,31880
45,207,32880,6212,32880
46,215,33880,6212,33880
47,223,33990,6212,33990
48,231,34990,6212,34990
49,233,34990,6212,34990
50,241,35640,6212,35640
51,243,36640,6212,36640
52,247,36870,6212,36870
53,255,37870,6212,37870
54,257,38870,6212,38870
55,265,39870,6212,39870
56,267,40460,6212,40460
57,275,40930,6212,40930
58,277,41930,6212,41930
59,285,42930,6212,42930
60,293,43740,6212,43740
61,295,44740,6212,44740
62,303,45740,6212,45740
63,311,46740,6212,46740
64,313,47060,6212,47060
65,321,48060,6212,48060
65,321,49060,6212,49060
66,329,50060,6212,50060
67,331,50530,6212,50530
68,333,50530,6212,50530
69,341,51530,6212,51530
70,349,52530,6212,52530
71,357,53340,6212,53340
72,359,54340,6212,54340
73,361,55340,6212,55340
74,369,55800,6212,55800
75,377,56610,6212,56610
76,385,57610,6212,57610
77,393,57610,6212,57610
78,401,57930,6212,57930
79,409,58740,6212,58740
80,417,59740,6212,59740
80,417,60210,6212,60210
81,425,60530,6212,60530
82,427,60530,6212,60530
83,429,61000,6212,61000
84,437,62000,6212,62000
85,439,62810,6212,62810
86,441,63360,6212,63360
87,449,63830,6212,63830
88,457,64150,6212,64150
89,465,65150,6212,65150
90,467,66150,6212,66150
91,469,67150,6212,67150
92,477,67960,6212,67960
93,485,68960,6212,68960
94,487,68960,6212,68960
95,489,69960,6212,69960
96,497,69960,6212,69960
97,505,70430,6212,70430
98,513,71430,6212,71430
99,517,72080,6212,72080
100,519,73080,6212,73080
101,521,74080,6212,74080
102,523,74890,6212,74890
103,525,75890,6212,75890
104,533,76700,6212,76700
105,541,77700,6212,77700
105,541,78700,6212,78700
106,549,78700,6212,78700
107,551,79700,6212,79700
108,553,80700,6212,80700
109,561,81700,6212,81700
110,563,82700,6212,82700
111,571,83700,6212,83700
112,573,84700,6212,84700
113,581,85700,6212,85700
114,589,86700,6212,86700
115,597,86700,6212,86700
116,605,87700,6212,87700
116,605,88700,6212,88700
117,613,89170,6212,89170
118,621,89820,6212,89820
119,623,90280,6212,90280
120,631,91280,6212,91280
121,639,91600,6212,91600
122,641,92410,6212,92410
123,649,93410,6212,93410
124,657,94410,6212,94410
125,659,94880,6212,94880
126,661,95880,6212,95880
127,669,96880,6212,96880
128,677,97880,6212,97880
129,685,98880,6212,98880
130,687,99040,6212,99040
131,695,99510,6212,99510
131,695,100510,6212,100510
132,703,101510,6212,101510
133,711,101510,6212,101510
133,711,101510,6212,101510
134,719,102510,6212,102510
135,721,103510,6212,103510
136,723,103980,6212,103980
137,725,104980,6212,104980
137,725,105790,6212,105790
137,725,106790,6212,106790
138,726,107790,6212,107790
139,734,108110,6212,108110
140,736,109110,6212,109110
141,738,110110,6212,110110
142,740,110110,6212,110110
143,748,110580,6212,110580
144,756,111580,6212,111580
145,764,112580,6212,112580
146,766,113580,6212,113580
147,768,114580,6212,114580
148,776,115390,6212,115390
148,776,116390,6212,116390
149,778,117040,6212,117040
150,786,118040,6212,118040
151,788,119040,6212,119040
151,788,120040,6212,120040
151,788,120510,6212,120510
151,788,121510,6212,121510
152,790,122510,6212,122510
153,792,122830,6212,122830
154,800,123830,6212,123830
155,802,124830,6212,124830
156,804,124830,6212,124830
156,804,124830,6212,124830
157,812,125830,6212,125830
158,820,126830,6212,126830
159,822,127060,6212,127060
159,822,127530,6212,127530
160,824,128530,6212,128530
161,832,129530,6212,129530
162,840,130340,6212,130340
163,842,130660,6212,130660
163,842,130660,6212,130660
164,843,131250,6212,131250
165,845,131720,6212,131720
166,853,132180,6212,132180
167,855,133180,6212,133180
168,857,133990,6212,133990
169,865,134800,6212,134800
170,867,135800,6212,135800
171,869,135850,6212,135850
172,871,136850,6212,136850
173,873,137170,6212,137170
174,881,137630,6212,137630
175,885,138100,6212,138100
176,893,138750,6212,138750
177,901,139750,6212,139750
178,905,139980,6212,139980
179,907,140980,6212,140980
180,915,141980,6212,141980
181,917,142980,6212,142980
182,919,142980,6212,142980
183,927,142980,6212,142980
184,929,143980,6212,143980
185,931,144790,6212,144790
186,933,145790,6212,145790
187,935,146790,6212,146790
188,937,147790,6212,147790
189,945,148790,6212,148790
190,947,149600,6212,149600
191,949,150600,6212,150600
192,951,151600,6212,151600
193,959,151600,6212,151600
194,967,152600,6212,152600
195,975,153600,6212,153600
196,977,154600,6212,154600
196,977,155410,6212,155410
197,979,156220,6212,156220
198,987,157030,6212,157030
199,989,157030,6212,157030
200,991,157500,6212,157500
201,993,157500,6212,157500
202,995,157660,6212,157660
203,1003,158660,6212,158660
204,1005,158660,6212,158660
204,1005,159660,6212,159660
205,1007,160470,6212,160470
205,1007,161280,6212,161280
206,1009,162280,6212,162280
207,1017,163280,6212,163280
208,1025,164280,6212,164280
209,1027,164510,6212,164510
210,1035,165510,6212,165510
211,1043,166510,6212,166510
212,1051,167510,6212,167510
213,1055,167510,6212,167510
214,1057,168510,6212,168510
215,1065,168980,6212,168980
