ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
657705.93,10.59,0.37,177897.11,2.86
657792.34,10.59,0.37,178010.95,2.87
657878.74,10.59,0.37,178124.8,2.87
657776.52,10.59,0.37,178131.58,2.87
657674.3,10.59,0.37,178101.03,2.87
658048.67,10.6,0.38,177878.82,2.87
658135.07,10.6,0.38,177878.82,2.87
658622.91,10.61,0.39,178237.24,2.87
659017.26,10.62,0.4,178237.24,2.87
659722.1,10.63,0.41,178345.51,2.87
659619.88,10.63,0.41,178345.51,2.87
659706.29,10.64,0.41,178345.51,2.88
659706.29,10.64,0.41,178253.83,2.87
659604.07,10.64,0.41,178223.27,2.87
659604.07,10.64,0.41,178134.18,2.87
659604.07,10.64,0.41,178134.18,2.87
659501.85,10.64,0.41,178042.5,2.87
659501.85,10.64,0.41,178042.5,2.87
659399.62,10.64,0.41,178025.75,2.87
659486.03,10.64,0.42,178136.82,2.87
659383.81,10.64,0.42,178045.13,2.87
659281.59,10.64,0.42,178045.13,2.87
659281.59,10.64,0.42,178045.13,2.87
659179.37,10.64,0.42,178051.91,2.87
659119.59,10.64,0.42,178009.13,2.87
659051.09,10.64,0.42,178160.48,2.88
659137.49,10.64,0.42,178160.48,2.88
659035.27,10.64,0.42,178160.48,2.88
659361.22,10.65,0.43,178273.33,2.88
659687.17,10.65,0.43,178273.33,2.88
660021.19,10.66,0.44,178273.33,2.88
659918.97,10.66,0.44,178273.33,2.88
660005.38,10.66,0.44,178387.17,2.88
659903.16,10.66,0.44,178387.17,2.88
660293.58,10.67,0.45,178241.32,2.88
660191.36,10.67,0.45,178149.63,2.88
660089.14,10.67,0.45,178149.63,2.88
660175.54,10.67,0.45,178149.63,2.88
660073.32,10.67,0.45,178149.63,2.88
660073.32,10.67,0.45,178149.63,2.88
660399.27,10.68,0.46,178149.63,2.88
660297.05,10.68,0.46,178156.41,2.88
660194.83,10.68,0.46,178163.2,2.88
660194.83,10.68,0.46,178163.2,2.88
660092.61,10.68,0.46,178146.45,2.88
659990.39,10.68,0.46,178146.45,2.88
659888.17,10.68,0.46,178146.45,2.88
660330.85,10.69,0.47,178146.64,2.88
660228.63,10.69,0.47,178146.64,2.88
660228.63,10.69,0.47,178054.95,2.88
660451.92,10.69,0.47,178054.95,2.88
660349.7,10.69,0.47,178061.73,2.88
660829.97,10.7,0.48,177466.58,2.87
660727.75,10.7,0.48,177466.58,2.87
661118.17,10.71,0.49,177320.72,2.87
661015.95,10.71,0.49,177320.72,2.87
661305.68,10.72,0.49,176645.95,2.86
661631.63,10.72,0.5,176645.95,2.86
661529.41,10.72,0.5,176637.43,2.86
661427.19,10.72,0.5,176637.43,2.86
661513.6,10.72,0.5,176637.43,2.86
661411.38,10.72,0.5,176545.74,2.86
661309.15,10.72,0.5,176545.74,2.86
661206.93,10.72,0.5,176545.74,2.86
661619.12,10.73,0.51,176829.85,2.87
661516.9,10.73,0.51,176829.85,2.87
661414.68,10.73,0.51,176829.85,2.87
661312.46,10.73,0.51,176829.85,2.87
661638.41,10.74,0.52,176942.7,2.87
661638.41,10.74,0.52,176853.61,2.87
661536.19,10.74,0.52,176853.61,2.87
661433.97,10.74,0.52,176853.61,2.87
661520.37,10.74,0.52,176853.61,2.87
661894.74,10.75,0.53,176631.41,2.87
661792.52,10.75,0.53,176622.89,2.87
662126.55,10.76,0.53,176622.89,2.87
662212.95,10.76,0.54,176622.89,2.87
662110.73,10.76,0.54,176622.89,2.87
662110.73,10.76,0.54,176622.89,2.87
662522.92,10.77,0.54,176622.89,2.87
662609.33,10.77,0.55,176622.89,2.87
662507.11,10.77,0.55,176622.89,2.87
662833.06,10.77,0.55,176622.89,2.87
663245.25,10.78,0.56,176622.89,2.87
664950.09,10.81,0.59,177731.16,2.89
665276.04,10.82,0.59,177844.01,2.89
665173.82,10.82,0.59,177844.01,2.89
665260.22,10.82,0.6,177957.86,2.89
665573.81,10.82,0.6,177866.17,2.89
665899.75,10.83,0.61,177866.17,2.89
666311.95,10.84,0.62,177866.35,2.89
666209.72,10.84,0.62,177866.35,2.89
666107.5,10.84,0.62,177774.66,2.89
666005.28,10.84,0.62,177766.14,2.89
666091.69,10.84,0.62,177766.14,2.89
665989.47,10.84,0.62,177766.14,2.89
665989.47,10.84,0.62,177674.45,2.89
665887.25,10.84,0.62,177665.93,2.89
665887.25,10.84,0.62,177665.93,2.89
666213.2,10.85,0.63,177665.93,2.89
666110.97,10.85,0.63,177665.93,2.89
666334.26,10.85,0.63,177665.93,2.89
666232.04,10.85,0.63,177672.71,2.89
666129.82,10.85,0.63,177581.03,2.89
666229.34,10.86,0.63,177182.19,2.89
666127.12,10.86,0.63,177188.97,2.89
666213.52,10.86,0.64,177188.97,2.89
666111.3,10.86,0.64,177188.97,2.89
666009.08,10.86,0.64,177188.97,2.89
666009.08,10.86,0.64,177188.97,2.89
665906.86,10.86,0.64,177180.45,2.89
665804.64,10.86,0.64,177088.76,2.89
665702.42,10.86,0.64,177088.76,2.89
665613.31,10.86,0.64,176398.53,2.88
665511.09,10.86,0.64,176398.53,2.88
665408.87,10.86,0.64,176367.98,2.88
665306.65,10.86,0.64,176367.98,2.88
665204.42,10.86,0.64,176367.98,2.88
665204.42,10.86,0.64,176367.98,2.88
665102.2,10.86,0.64,176367.98,2.88
664999.98,10.86,0.64,176367.98,2.88
665325.93,10.87,0.64,176367.98,2.88
665549.22,10.87,0.65,176367.98,2.88
665883.25,10.88,0.66,176393.01,2.88
665781.02,10.88,0.66,176393.01,2.88
666193.22,10.88,0.66,176393.19,2.88
666279.62,10.89,0.67,176507.03,2.88
666177.4,10.89,0.67,176507.03,2.88
666075.18,10.89,0.67,176507.03,2.89
666401.13,10.89,0.67,176619.88,2.89
666298.91,10.89,0.67,176528.2,2.89
666196.69,10.89,0.67,176528.2,2.89
666094.47,10.89,0.67,176528.2,2.89
665992.25,10.89,0.67,176528.2,2.89
666404.32,10.9,0.68,176433.33,2.89
666730.27,10.91,0.69,176433.33,2.89
666628.05,10.91,0.69,176433.33,2.89
666525.83,10.91,0.69,176433.33,2.89
666525.83,10.91,0.69,176433.33,2.89
666525.83,10.91,0.69,176433.33,2.89
666423.6,10.91,0.69,176433.33,2.89
666321.38,10.91,0.69,176341.64,2.89
666647.33,10.91,0.69,176454.49,2.89
666545.11,10.91,0.69,176445.97,2.89
666631.52,10.92,0.7,176445.97,2.89
666529.3,10.92,0.7,176445.97,2.89
665939.52,10.91,0.69,175736.78,2.88
666351.71,10.92,0.69,175736.78,2.88
666761.93,10.93,0.7,175577.05,2.88
666659.71,10.93,0.7,175485.37,2.88
666659.71,10.93,0.7,175393.68,2.87
666985.66,10.93,0.71,175393.68,2.87
666883.44,10.93,0.71,175393.68,2.88
666781.22,10.93,0.71,175393.68,2.88
666679.0,10.93,0.71,175363.12,2.88
666589.89,10.93,0.71,174672.89,2.86
666676.29,10.94,0.71,174672.89,2.87
666574.07,10.94,0.71,174589.72,2.86
666797.36,10.94,0.72,174656.68,2.87
666695.14,10.94,0.72,174656.68,2.87
