ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1293221.52,20.82,0.32,194178.58,3.13
1293221.52,20.82,0.32,194222.53,3.13
1293344.76,20.82,0.32,194219.29,3.13
1293139.78,20.82,0.32,194216.06,3.13
1293537.99,20.83,0.33,193952.3,3.12
1293333.02,20.83,0.33,193950.47,3.12
1293128.04,20.83,0.33,193947.24,3.12
1292923.07,20.83,0.33,193962.52,3.12
1292718.09,20.83,0.33,193962.33,3.13
1292960.81,20.84,0.34,193949.91,3.13
1293359.02,20.84,0.34,194008.04,3.13
1293154.05,20.84,0.34,194009.63,3.13
1293396.77,20.85,0.35,194009.01,3.13
1293380.57,20.85,0.35,194090.39,3.13
1293175.59,20.85,0.35,194032.99,3.13
1292970.62,20.85,0.35,194029.76,3.13
1293563.24,20.86,0.36,193964.65,3.13
1293797.67,20.87,0.37,193961.42,3.13
1293592.7,20.87,0.37,193959.56,3.13
1293387.72,20.87,0.37,193959.56,3.13
1293387.72,20.87,0.37,193957.91,3.13
1293793.77,20.87,0.38,193957.91,3.13
1293793.77,20.87,0.38,193900.51,3.13
1293588.79,20.87,0.38,193843.11,3.13
1293383.81,20.87,0.38,193841.25,3.13
1293178.84,20.87,0.38,193839.42,3.13
1293688.18,20.89,0.39,193807.18,3.13
1293671.99,20.89,0.39,193901.42,3.13
1293655.79,20.89,0.39,193901.75,3.13
1293450.81,20.89,0.39,193898.52,3.13
1293245.84,20.89,0.39,193841.12,3.13
1293493.07,20.9,0.4,193546.76,3.13
1293740.3,20.91,0.41,193252.41,3.12
