name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0621,,G2,96,8,412316860416,20000,13,268,412316860416,0,0,0,0,0,0,210,4200,70,1400,0,0,80,1600,30,600,390,7800
0001-openb-node-0299,,T4,104,2,549755813888,15109,6,48696,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0002-openb-node-0755,,T4,104,2,549755813888,15109,5,4600,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003-openb-node-0244,,G2,96,8,412316860416,20000,8,9840,412316860416,0,0,0,0,0,0,530,10600,0,0,0,0,0,0,770,15400,1300,26000
0004-openb-node-0246,,G2,96,8,412316860416,20000,11,11776,412316860416,0,0,190,3800,190,3800,0,0,0,0,190,3800,190,3800,60,1200,820,16400
0005-openb-node-0322,,G2,96,8,412316860416,20000,8,128,412316860416,0,0,0,0,0,0,0,0,190,3800,190,3800,1000,20000,1000,20000,2380,47600
0006-openb-node-0135,,T4,104,2,549755813888,15109,6,24292,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0007-openb-node-0330,,G2,96,8,412316860416,20000,7,2392,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,20000,1000,20000
0008-openb-node-0898,,P100,16,2,128849018880,16280,2,940,128849018880,530,8628,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,720,11721
0009-openb-node-0614,,T4,104,2,549755813888,15109,5,21300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010-openb-node-0405,,G2,96,8,412316860416,20000,11,484,412316860416,0,0,0,0,310,6200,0,0,450,9000,0,0,190,3800,350,7000,1300,26000
0011-openb-node-0404,,T4,104,2,549755813888,15109,5,34948,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0012-openb-node-0691,,T4,104,2,549755813888,15109,7,24100,549755813888,0,0,140,2115,0,0,0,0,0,0,0,0,0,0,0,0,140,2115
0013-openb-node-0588,,T4,104,2,549755813888,15109,8,5084,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0014-openb-node-0291,,G2,96,8,412316860416,20000,11,6220,412316860416,0,0,0,0,0,0,0,0,120,2400,0,0,70,1400,60,1200,250,5000
0015-openb-node-0697,,T4,104,2,549755813888,15109,6,4200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016-openb-node-0099,,V100M16,32,4,137438953472,16160,3,3592,137438953472,0,0,1000,16160,1000,16160,350,5656,0,0,0,0,0,0,0,0,2350,37976
0017-openb-node-1075,,T4,104,2,549755813888,15109,4,69048,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0018-openb-node-0905,,V100M32,48,4,395136991232,32510,4,2940,395136991232,530,17230,1000,32510,1000,32510,450,14629,0,0,0,0,0,0,0,0,2980,96879
0019-openb-node-0479,,P100,8,1,64424509440,16280,1,4848,64424509440,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0020-openb-node-0159,,G2,96,8,412316860416,20000,9,480,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,70,1400,0,0,70,1400
0021-openb-node-0787,,T4,104,2,549755813888,15109,8,1640,549755813888,120,1813,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,310,4683
0022-openb-node-0362,,V100M32,48,4,395136991232,32510,4,1300,395136991232,0,0,0,0,0,0,680,22106,0,0,0,0,0,0,0,0,680,22106
0023-openb-node-0662,,G2,96,8,412316860416,20000,9,3130,412316860416,0,0,680,13600,0,0,0,0,190,3800,0,0,530,10600,0,0,1400,28000
0024-openb-node-0716,,T4,104,2,549755813888,15109,6,1600,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0025-openb-node-0065,,V100M32,96,8,824633720832,32510,11,268,824633720832,0,0,0,0,0,0,0,0,0,0,220,7152,350,11378,190,6176,760,24706
0026-openb-node-0786,,V100M32,48,4,395136991232,32510,4,1584,395136991232,0,0,530,17230,0,0,350,11378,0,0,0,0,0,0,0,0,880,28608
0027-openb-node-0961,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0028-openb-node-0674,,G2,96,8,412316860416,20000,3,7800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0029-openb-node-0528,,T4,104,2,549755813888,15109,6,31500,549755813888,0,0,50,755,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0030-openb-node-0849,,G2,96,8,412316860416,20000,11,480,412316860416,0,0,0,0,0,0,30,600,0,0,530,10600,530,10600,90,1800,1180,23600
0031-openb-node-0659,,G2,96,8,412316860416,20000,9,3240,412316860416,0,0,0,0,0,0,530,10600,540,10800,0,0,350,7000,130,2600,1550,31000
0032-openb-node-0503,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0033-openb-node-0199,,T4,104,2,549755813888,15109,13,2696,549755813888,90,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0034-openb-node-1136,,G2,96,8,412316860416,20000,1,8000,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0035-openb-node-0050,,G3,128,8,824633720832,30000,11,2792,824633720832,0,0,0,0,0,0,0,0,190,5700,70,2100,190,5700,190,5700,640,19200
0036-openb-node-0302,,T4,104,2,549755813888,15109,7,2000,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0037-openb-node-1184,,T4,104,2,549755813888,15109,6,2192,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0038-openb-node-0412,,T4,104,2,549755813888,15109,6,6600,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0039-openb-node-1176,,T4,104,2,549755813888,15109,7,6390,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
