ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1607962.02,25.89,0.31,206044.84,3.32
1607706.28,25.89,0.31,206037.45,3.32
1607450.54,25.89,0.31,206032.57,3.32
1607450.54,25.89,0.31,205988.8,3.32
1607194.81,25.89,0.31,205981.4,3.32
1606939.07,25.89,0.31,205937.63,3.32
1606683.33,25.89,0.31,205951.22,3.32
1606427.59,25.89,0.31,205946.4,3.32
1606427.59,25.89,0.31,205941.89,3.32
1606171.85,25.89,0.31,205941.89,3.32
1606458.2,25.89,0.32,206013.51,3.32
1606647.65,25.9,0.32,206008.83,3.32
1606845.51,25.9,0.33,206001.43,3.32
1606845.51,25.9,0.33,205957.66,3.32
1606589.77,25.9,0.33,205913.89,3.32
1606334.03,25.9,0.33,205966.23,3.32
1606078.29,25.9,0.33,205958.83,3.32
1606232.85,25.91,0.34,205634.2,3.32
1606232.85,25.91,0.34,205590.43,3.32
1606232.85,25.91,0.34,205585.91,3.32
1606495.98,25.92,0.34,205578.51,3.32
1606685.43,25.92,0.35,205650.87,3.32
1606429.69,25.92,0.35,205645.99,3.32
1606173.95,25.92,0.35,205641.12,3.32
1606463.25,25.93,0.35,205606.41,3.32
1606876.22,25.94,0.36,205500.44,3.32
1606620.48,25.94,0.36,205493.04,3.32
1606761.67,25.94,0.37,205115.28,3.31
1606505.93,25.94,0.37,205071.51,3.31
1606505.93,25.94,0.37,205148.7,3.31
1606821.83,25.95,0.38,205141.3,3.31
1606821.83,25.95,0.38,205097.53,3.31
1606566.09,25.95,0.38,205092.65,3.31
1606310.35,25.95,0.38,205087.83,3.31
