ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2888-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2888-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2888-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2888-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2888-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
866232.55,13.94,0.35,181382.31,2.92
866285.25,13.95,0.35,181493.39,2.92
866149.28,13.95,0.35,181529.11,2.92
866013.3,13.95,0.35,181528.79,2.92
865877.32,13.95,0.35,181528.49,2.92
865930.02,13.95,0.35,181528.55,2.92
866226.04,13.96,0.36,181528.24,2.92
866416.5,13.96,0.36,181527.93,2.92
866469.2,13.96,0.37,181527.99,2.93
866922.77,13.97,0.37,181530.12,2.93
866975.47,13.97,0.38,180996.94,2.92
866839.49,13.97,0.38,180987.05,2.92
867135.51,13.98,0.38,180986.73,2.92
867439.68,13.99,0.39,180974.26,2.92
867439.68,13.99,0.39,180897.27,2.92
867303.71,13.99,0.39,180700.23,2.91
867607.88,13.99,0.39,180699.92,2.91
867912.05,14.0,0.4,180687.44,2.91
867776.07,14.0,0.4,180687.13,2.91
867640.1,14.0,0.4,180677.23,2.91
867640.1,14.0,0.4,180682.46,2.91
867936.12,14.0,0.41,180682.46,2.92
867936.12,14.0,0.41,180687.69,2.92
867988.82,14.01,0.41,180687.75,2.92
868379.38,14.01,0.41,180608.95,2.91
869610.13,14.03,0.43,181484.35,2.93
869474.16,14.03,0.43,181474.45,2.93
869338.18,14.03,0.43,181474.14,2.93
869390.88,14.04,0.44,181474.21,2.93
869254.9,14.04,0.44,181473.9,2.93
869359.43,14.04,0.44,181513.21,2.93
869223.45,14.04,0.44,181513.21,2.93
869223.45,14.04,0.44,181512.9,2.93
869519.47,14.04,0.45,181623.08,2.93
869383.5,14.04,0.45,181623.24,2.93
869247.52,14.04,0.45,181629.47,2.93
869111.54,14.04,0.45,181629.16,2.93
868975.57,14.04,0.45,181614.37,2.94
868839.59,14.04,0.45,181604.47,2.94
869135.61,14.05,0.45,181714.65,2.94
869135.61,14.05,0.45,181635.34,2.94
868999.63,14.05,0.45,181556.03,2.94
868999.63,14.05,0.45,181476.72,2.93
868863.65,14.05,0.45,181476.41,2.93
869260.93,14.06,0.46,181309.34,2.93
869124.96,14.06,0.46,181230.03,2.93
869168.22,14.06,0.46,181914.35,2.94
869989.53,14.07,0.47,182063.09,2.94
869853.55,14.07,0.47,182053.19,2.95
869906.26,14.07,0.48,182053.25,2.95
869906.26,14.07,0.48,182052.96,2.95
870271.86,14.08,0.48,182052.65,2.95
870135.88,14.08,0.48,182058.88,2.95
869999.91,14.08,0.48,181979.57,2.95
869863.93,14.08,0.48,181979.57,2.95
870248.59,14.09,0.49,181979.26,2.95
870112.61,14.09,0.49,181978.95,2.95
869976.64,14.09,0.49,181899.64,2.95
869840.66,14.09,0.49,181899.33,2.95
869893.36,14.09,0.49,181899.39,2.95
869757.38,14.09,0.49,181899.08,2.95
869621.4,14.09,0.49,181889.18,2.95
870006.07,14.1,0.5,181990.85,2.95
869870.09,14.1,0.5,181990.85,2.95
869734.11,14.1,0.5,181990.54,2.95
869630.58,14.1,0.5,182029.78,2.95
869494.61,14.1,0.5,182029.47,2.95
869494.61,14.1,0.5,182034.7,2.95
869358.63,14.1,0.5,182012.01,2.95
869222.65,14.1,0.5,181926.47,2.95
869518.67,14.11,0.51,182036.65,2.95
869571.37,14.11,0.51,182036.72,2.95
869435.4,14.11,0.51,182036.41,2.95
869299.42,14.11,0.51,182072.13,2.95
