ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,8,0,6212,0
2,10,650,6212,650
3,18,1120,6212,1120
4,26,1930,6212,1930
5,27,1930,6212,1930
6,31,2250,6212,2250
7,35,3060,6212,3060
8,43,3870,6212,3870
9,45,4340,6212,4340
10,47,4660,6212,4660
11,49,5470,6212,5470
12,51,5940,6212,5940
13,53,6260,6212,6260
14,54,7070,6212,7070
15,56,7540,6212,7540
16,64,8190,6212,8190
17,68,8650,6212,8650
18,76,9200,6212,9200
19,84,9200,6212,9200
20,86,9850,6212,9850
21,88,10660,6212,10660
22,96,11470,6212,11470
23,98,11790,6212,11790
24,100,12600,6212,12600
25,102,13070,6212,13070
26,104,13540,6212,13540
27,106,14010,6212,14010
28,108,14820,6212,14820
29,110,15630,6212,15630
30,112,16100,6212,16100
31,114,16910,6212,16910
32,115,17720,6212,17720
33,123,17720,6212,17720
34,131,18530,6212,18530
35,133,19340,6212,19340
36,135,19930,6212,19930
37,143,20400,6212,20400
38,145,20630,6212,20630
39,153,20630,6212,20630
40,161,21280,6212,21280
41,169,21870,6212,21870
42,177,22340,6212,22340
43,179,23150,6212,23150
44,181,23380,6212,23380
45,185,24030,6212,24030
46,187,24680,6212,24680
47,189,25150,6212,25150
47,189,25960,6212,25960
48,191,26430,6212,26430
48,191,27080,6212,27080
49,199,27310,6212,27310
50,201,27770,6212,27770
51,203,28580,6212,28580
52,211,28580,6212,28580
53,213,28580,6212,28580
54,215,28580,6212,28580
55,223,29050,6212,29050
56,231,29370,6212,29370
57,233,29590,6212,29590
57,233,30060,6212,30060
58,241,30060,6212,30060
59,243,30060,6212,30060
60,251,30870,6212,30870
61,259,30870,6212,30870
62,267,31350,6212,31350
63,275,31820,6212,31820
64,277,32290,6212,32290
65,285,32880,6212,32880
66,287,33100,6212,33100
67,289,33910,6212,33910
68,297,34720,6212,34720
69,305,35530,6212,35530
70,313,36340,6212,36340
71,321,36810,6212,36810
72,329,37270,6212,37270
73,331,37430,6212,37430
74,339,38240,6212,38240
75,347,39050,6212,39050
76,349,39520,6212,39520
77,357,40330,6212,40330
78,365,40980,6212,40980
79,373,41450,6212,41450
80,375,41450,6212,41450
81,383,42100,6212,42100
82,385,42100,6212,42100
83,387,42910,6212,42910
84,389,43140,6212,43140
85,397,43460,6212,43460
86,405,43780,6212,43780
87,413,44370,6212,44370
87,413,45180,6212,45180
88,415,45650,6212,45650
89,423,46120,6212,46120
90,425,46590,6212,46590
91,433,46590,6212,46590
91,433,47180,6212,47180
92,441,47990,6212,47990
93,449,47990,6212,47990
94,457,48580,6212,48580
95,459,49050,6212,49050
96,461,49520,6212,49520
97,469,49520,6212,49520
98,471,49840,6212,49840
99,479,49840,6212,49840
100,487,50310,6212,50310
101,495,50960,6212,50960
102,503,51550,6212,51550
103,511,52360,6212,52360
104,513,52830,6212,52830
105,517,53300,6212,53300
106,519,54110,6212,54110
107,527,54760,6212,54760
108,529,55570,6212,55570
108,529,55940,6212,55940
109,537,56100,6212,56100
110,541,56570,6212,56570
111,549,57380,6212,57380
112,551,58190,6212,58190
113,559,59000,6212,59000
114,560,59220,6212,59220
115,562,59690,6212,59690
116,564,60500,6212,60500
117,572,60820,6212,60820
118,580,61630,6212,61630
