ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
847450.92,13.64,0.08,212525.38,3.42
847605.19,13.65,0.08,212617.35,3.42
847765.51,13.65,0.08,212617.35,3.42
847817.04,13.65,0.09,212617.13,3.42
847817.04,13.65,0.09,212515.89,3.42
847986.43,13.66,0.09,212166.22,3.42
848037.96,13.66,0.09,211928.84,3.41
848089.49,13.66,0.09,211928.62,3.41
848249.81,13.66,0.1,211899.85,3.41
848419.2,13.67,0.1,211806.13,3.41
848652.0,13.67,0.11,211223.24,3.4
848812.32,13.68,0.11,211194.48,3.4
848981.71,13.68,0.11,211025.03,3.4
848851.97,13.68,0.11,210628.76,3.39
849564.88,13.69,0.13,210927.54,3.4
849719.15,13.7,0.13,210926.94,3.4
849885.05,13.7,0.13,211838.55,3.41
850115.91,13.71,0.14,211837.96,3.42
850115.91,13.71,0.14,211837.36,3.42
850451.44,13.71,0.15,211790.37,3.41
850502.97,13.71,0.15,211908.84,3.42
850554.5,13.72,0.15,211908.62,3.42
850723.9,13.72,0.15,211819.1,3.42
850775.43,13.72,0.16,211472.79,3.41
850935.74,13.73,0.16,211439.61,3.41
851337.18,13.73,0.17,211497.77,3.41
851497.5,13.74,0.17,211469.01,3.41
851549.03,13.74,0.17,211582.92,3.41
851600.56,13.74,0.18,211236.61,3.41
851760.87,13.75,0.18,211207.85,3.41
851812.4,13.75,0.18,211326.32,3.41
851682.66,13.75,0.18,210930.06,3.41
851682.66,13.75,0.18,210929.46,3.41
851734.19,13.75,0.19,210929.23,3.41
851785.72,13.75,0.19,211047.71,3.41
851984.0,13.76,0.19,211122.02,3.41
852144.32,13.76,0.2,211121.81,3.41
852354.09,13.77,0.2,211040.88,3.41
852354.09,13.77,0.2,211050.97,3.41
852508.35,13.77,0.2,211050.37,3.41
852706.63,13.78,0.21,211049.77,3.41
852866.95,13.78,0.21,211049.56,3.41
852918.48,13.78,0.22,210703.26,3.4
853128.25,13.79,0.22,210622.32,3.4
853282.51,13.79,0.22,210611.29,3.4
853436.78,13.79,0.23,210703.27,3.41
853597.1,13.8,0.23,210674.5,3.41
853648.63,13.8,0.23,210674.13,3.41
853808.94,13.8,0.24,210645.36,3.41
853963.21,13.81,0.24,210873.66,3.41
854172.98,13.81,0.24,210874.56,3.41
854581.13,13.82,0.25,210805.82,3.41
854632.66,13.82,0.26,210924.29,3.41
854632.66,13.82,0.26,210934.38,3.41
856361.33,13.85,0.28,212002.62,3.43
857417.34,13.87,0.3,212793.6,3.44
857577.66,13.87,0.3,212793.39,3.44
857747.06,13.87,0.31,212737.49,3.44
857961.31,13.88,0.31,212657.51,3.44
858234.45,13.88,0.32,212652.75,3.44
858234.45,13.88,0.32,212652.15,3.44
858234.45,13.88,0.32,212479.63,3.44
858285.98,13.89,0.32,212479.4,3.44
858285.98,13.89,0.32,212478.81,3.44
858440.71,13.89,0.32,212479.2,3.44
858601.03,13.89,0.33,212478.99,3.44
858761.35,13.9,0.33,212450.23,3.44
858959.63,13.9,0.33,212449.63,3.44
859173.88,13.9,0.34,212369.65,3.44
859225.41,13.91,0.34,212488.12,3.44
859276.94,13.91,0.34,212487.9,3.44
859328.47,13.91,0.35,212487.67,3.44
859380.0,13.92,0.35,212487.45,3.44
859540.32,13.92,0.35,212487.24,3.44
859706.22,13.92,0.36,212486.64,3.44
859684.51,13.92,0.36,212315.35,3.44
859736.04,13.93,0.36,212315.12,3.44
859787.57,13.93,0.36,212314.9,3.44
859947.89,13.93,0.37,212286.13,3.44
859999.42,13.93,0.37,212285.91,3.44
860153.69,13.94,0.37,212285.31,3.44
860314.0,13.94,0.38,212285.1,3.44
860314.0,13.94,0.38,212112.58,3.44
860468.27,13.95,0.38,212113.05,3.44
860468.27,13.95,0.38,212011.35,3.44
860519.8,13.95,0.38,212129.82,3.44
860729.57,13.95,0.39,212251.06,3.44
860898.96,13.96,0.39,212250.47,3.44
861068.36,13.96,0.39,212249.87,3.44
861266.63,13.96,0.4,212249.27,3.44
861318.16,13.97,0.4,212061.49,3.44
861478.48,13.97,0.4,212032.73,3.44
861638.8,13.97,0.41,212032.52,3.44
861799.12,13.98,0.41,212003.76,3.44
861799.12,13.98,0.41,212013.84,3.44
861631.03,13.98,0.41,212276.4,3.44
861682.56,13.98,0.41,212276.17,3.44
861682.56,13.98,0.41,212286.26,3.44
861880.83,13.98,0.42,212285.66,3.44
862041.15,13.99,0.42,212256.9,3.44
862201.47,13.99,0.42,212228.13,3.44
862201.47,13.99,0.42,212227.54,3.44
862370.86,13.99,0.43,212138.02,3.44
862370.86,13.99,0.43,212148.1,3.44
862531.18,14.0,0.43,212147.89,3.44
862685.44,14.0,0.44,212147.3,3.44
862883.72,14.01,0.44,212146.7,3.44
862935.25,14.01,0.44,212146.47,3.44
863336.69,14.02,0.45,212204.63,3.45
863497.01,14.02,0.45,212188.72,3.45
863548.54,14.02,0.46,211842.42,3.44
863702.8,14.03,0.46,211841.82,3.44
863754.33,14.03,0.46,211495.52,3.44
863944.35,14.03,0.47,211517.18,3.44
863922.65,14.03,0.47,211516.58,3.44
864082.96,14.04,0.47,211557.72,3.44
864134.49,14.04,0.47,211557.5,3.44
864186.02,14.04,0.48,211675.97,3.44
864237.55,14.05,0.48,211675.74,3.44
864700.62,14.05,0.49,211872.28,3.44
864860.94,14.06,0.49,211843.52,3.44
864912.47,14.06,0.49,211497.22,3.44
865081.86,14.06,0.5,211496.62,3.44
865133.39,14.07,0.5,211496.39,3.44
865063.59,14.07,0.5,211205.43,3.43
865063.59,14.07,0.5,211204.83,3.43
865223.91,14.07,0.5,211176.07,3.43
865275.44,14.07,0.51,211175.85,3.43
865489.7,14.08,0.51,211175.25,3.43
865592.76,14.08,0.51,211475.72,3.44
865753.08,14.08,0.52,211475.51,3.44
865804.61,14.09,0.52,211238.14,3.44
865856.14,14.09,0.52,210891.83,3.43
866022.04,14.09,0.53,210891.24,3.43
866182.35,14.1,0.53,210891.03,3.43
866348.26,14.1,0.53,210890.43,3.43
866538.28,14.1,0.54,210890.43,3.43
866692.54,14.11,0.54,210982.4,3.43
866692.54,14.11,0.54,210982.4,3.43
866692.54,14.11,0.54,210981.81,3.43
866852.86,14.11,0.55,210981.81,3.43
866904.39,14.11,0.55,210981.58,3.43
867058.65,14.12,0.55,210982.0,3.44
867110.18,14.12,0.55,211100.47,3.44
867270.5,14.12,0.56,211071.71,3.44
867270.5,14.12,0.56,211071.11,3.44
867501.36,14.13,0.56,211070.52,3.44
867661.68,14.13,0.57,211426.09,3.44
867713.21,14.14,0.57,211544.56,3.45
867713.21,14.14,0.57,211543.97,3.45
867873.53,14.14,0.57,211515.2,3.45
868042.92,14.14,0.58,211425.68,3.44
868094.45,14.15,0.58,211425.46,3.45
868254.77,14.15,0.58,211396.69,3.45
868254.77,14.15,0.58,211396.09,3.44
868254.77,14.15,0.58,211223.57,3.44
868254.77,14.15,0.58,211051.05,3.44
868306.3,14.15,0.59,211050.82,3.44
868357.83,14.15,0.59,211050.82,3.44
868518.14,14.16,0.59,211050.62,3.44
868687.54,14.16,0.6,210961.1,3.44
868687.54,14.16,0.6,210960.5,3.44
868739.07,14.16,0.6,211078.97,3.44
868899.38,14.17,0.6,211050.21,3.44
868899.38,14.17,0.6,211049.61,3.44
869053.65,14.17,0.61,211049.02,3.44
869105.18,14.18,0.61,210811.64,3.44
869156.71,14.18,0.61,210930.12,3.44
869317.03,14.18,0.62,210929.91,3.44
869368.56,14.18,0.62,210925.61,3.44
869528.87,14.19,0.62,210896.85,3.44
869689.19,14.19,0.63,210896.64,3.44
870052.26,14.2,0.63,210993.18,3.44
870030.55,14.2,0.63,210992.58,3.44
870030.55,14.2,0.63,210991.99,3.44
870082.08,14.2,0.63,210991.76,3.44
870133.61,14.2,0.64,210645.45,3.44
870293.93,14.21,0.64,210671.21,3.44
870448.66,14.21,0.64,210671.6,3.44
870658.43,14.22,0.65,210520.97,3.44
870848.45,14.22,0.65,210520.37,3.44
871017.85,14.22,0.66,210430.85,3.44
871419.28,14.23,0.66,210489.01,3.44
871470.81,14.23,0.67,210488.79,3.44
871522.34,14.24,0.67,210251.42,3.43
871682.66,14.24,0.67,210222.65,3.43
871734.19,14.24,0.68,210222.05,3.43
871785.72,14.24,0.68,210340.53,3.44
871837.25,14.25,0.68,210340.53,3.44
871997.57,14.25,0.69,210311.76,3.44
872049.1,14.25,0.69,210486.73,3.44
872209.42,14.26,0.69,210457.96,3.44
872260.95,14.26,0.69,210457.59,3.44
872421.26,14.26,0.7,210457.39,3.44
872185.28,14.26,0.7,210383.38,3.44
872477.94,14.27,0.7,210325.25,3.44
872463.02,14.27,0.7,210326.26,3.44
872463.02,14.27,0.7,210183.74,3.44
872514.55,14.27,0.7,210183.51,3.44
872566.08,14.27,0.71,210170.97,3.44
872617.61,14.28,0.71,210170.75,3.44
872966.88,14.28,0.72,210338.32,3.44
872966.88,14.28,0.72,210194.56,3.44
873127.2,14.29,0.72,210194.36,3.44
873287.52,14.29,0.72,210194.15,3.44
873453.42,14.29,0.73,210133.17,3.44
873613.74,14.3,0.73,210132.96,3.44
873665.27,14.3,0.73,210251.43,3.44
873716.8,14.3,0.74,210251.21,3.44
873480.82,14.3,0.73,210175.02,3.44
873650.21,14.3,0.74,210174.42,3.44
874051.65,14.31,0.74,210232.58,3.44
874221.04,14.31,0.75,210231.99,3.44
874221.04,14.31,0.75,210242.07,3.44
874633.17,14.32,0.76,210030.46,3.44
874633.17,14.32,0.76,210029.87,3.44
874793.49,14.33,0.76,210029.66,3.44
874953.8,14.33,0.76,210029.45,3.44
875108.07,14.33,0.77,210028.86,3.44
875268.39,14.34,0.77,210028.65,3.44
875428.7,14.34,0.77,209999.88,3.44
875589.02,14.34,0.78,209999.68,3.44
875758.41,14.35,0.78,209910.16,3.44
875918.73,14.35,0.79,209909.95,3.44
875970.26,14.35,0.79,210028.42,3.44
876180.03,14.36,0.79,210028.42,3.44
876588.18,14.37,0.8,209959.68,3.44
876757.57,14.37,0.8,210675.5,3.45
876809.1,14.37,0.81,210785.06,3.46
877039.96,14.38,0.81,210873.23,3.46
877194.23,14.38,0.82,210965.2,3.46
