ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,2,0,6212,0
2,6,470,6212,470
3,8,1470,6212,1470
4,16,1940,6212,1940
5,18,1940,6212,1940
6,26,2260,6212,2260
7,34,3070,6212,3070
8,36,4070,6212,4070
8,36,5070,6212,5070
9,44,5530,6212,5530
10,52,6340,6212,6340
11,54,6810,6212,6810
12,62,7280,6212,7280
13,70,7750,6212,7750
14,78,8750,6212,8750
15,86,9750,6212,9750
16,88,10560,6212,10560
17,96,11030,6212,11030
18,104,11030,6212,11030
19,106,11840,6212,11840
20,108,12310,6212,12310
21,110,12960,6212,12960
22,118,13960,6212,13960
23,126,14960,6212,14960
24,134,15430,6212,15430
25,136,15750,6212,15750
26,137,16560,6212,16560
27,141,17030,6212,17030
28,149,18030,6212,18030
29,157,19030,6212,19030
30,165,19500,6212,19500
30,165,19730,6212,19730
31,173,19730,6212,19730
32,177,20730,6212,20730
33,185,21730,6212,21730
34,187,22730,6212,22730
35,189,23730,6212,23730
36,197,24540,6212,24540
36,197,24540,6212,24540
37,205,25350,6212,25350
38,207,25580,6212,25580
39,209,26580,6212,26580
40,217,27050,6212,27050
41,219,27520,6212,27520
42,227,27990,6212,27990
43,231,28540,6212,28540
44,235,29540,6212,29540
45,237,30540,6212,30540
46,245,31350,6212,31350
47,249,32350,6212,32350
48,251,33160,6212,33160
49,253,33810,6212,33810
50,261,34810,6212,34810
51,269,34810,6212,34810
52,277,34810,6212,34810
53,279,34810,6212,34810
53,279,35620,6212,35620
54,287,36620,6212,36620
55,289,37620,6212,37620
55,289,38270,6212,38270
56,297,38270,6212,38270
57,305,38270,6212,38270
58,313,39270,6212,39270
59,315,39270,6212,39270
60,323,40080,6212,40080
61,331,40890,6212,40890
62,339,41540,6212,41540
63,341,41860,6212,41860
64,349,42860,6212,42860
65,351,43860,6212,43860
66,359,44860,6212,44860
66,359,45860,6212,45860
67,361,46670,6212,46670
68,363,47320,6212,47320
69,365,47790,6212,47790
70,373,48790,6212,48790
71,381,49790,6212,49790
72,389,50790,6212,50790
73,397,51790,6212,51790
74,399,52260,6212,52260
75,407,53070,6212,53070
76,415,54070,6212,54070
77,423,54070,6212,54070
78,431,54720,6212,54720
79,439,54720,6212,54720
80,447,55190,6212,55190
81,455,55350,6212,55350
82,457,56350,6212,56350
83,465,57350,6212,57350
84,473,58160,6212,58160
85,475,58970,6212,58970
85,475,59440,6212,59440
85,475,60250,6212,60250
86,483,61250,6212,61250
87,491,61250,6212,61250
88,493,62250,6212,62250
89,501,63250,6212,63250
90,503,63250,6212,63250
91,505,63570,6212,63570
91,505,64030,6212,64030
92,513,64840,6212,64840
93,521,64840,6212,64840
94,529,65160,6212,65160
95,531,65160,6212,65160
96,539,66160,6212,66160
97,547,67160,6212,67160
98,555,67630,6212,67630
99,563,68630,6212,68630
100,565,69440,6212,69440
101,573,70440,6212,70440
102,575,71090,6212,71090
103,577,72090,6212,72090
104,585,72560,6212,72560
104,585,73370,6212,73370
105,593,74370,6212,74370
106,601,74830,6212,74830
107,603,75300,6212,75300
108,611,76300,6212,76300
109,613,76770,6212,76770
110,617,77770,6212,77770
111,619,77930,6212,77930
112,627,78930,6212,78930
113,635,79930,6212,79930
114,643,80930,6212,80930
115,651,81930,6212,81930
115,651,81930,6212,81930
116,659,82400,6212,82400
117,661,82630,6212,82630
118,669,83100,6212,83100
119,677,83910,6212,83910
120,685,84910,6212,84910
121,693,85380,6212,85380
121,693,86190,6212,86190
122,701,87000,6212,87000
123,703,88000,6212,88000
