ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
862220.68,13.88,0.28,186539.83,3.0
862511.9,13.89,0.29,186889.25,3.01
862375.94,13.89,0.29,186869.64,3.01
862644.77,13.89,0.3,186869.64,3.01
862644.77,13.89,0.3,186768.85,3.01
862979.3,13.9,0.3,186768.66,3.01
863030.99,13.9,0.3,186768.84,3.01
862895.03,13.9,0.3,186769.1,3.01
862759.07,13.9,0.3,186685.81,3.01
863035.54,13.91,0.31,186685.61,3.01
863087.23,13.91,0.31,186685.79,3.01
863356.05,13.91,0.32,186760.27,3.01
863624.88,13.92,0.32,186760.08,3.01
863893.7,13.92,0.33,186759.89,3.01
863757.74,13.92,0.33,186759.69,3.01
863621.78,13.92,0.33,186759.69,3.01
863673.47,13.93,0.33,186882.8,3.01
863942.3,13.93,0.34,186882.6,3.01
863942.3,13.93,0.34,186882.41,3.01
863993.99,13.94,0.34,186779.5,3.01
864262.81,13.94,0.34,186853.98,3.01
864928.6,13.95,0.36,186974.91,3.02
864792.64,13.95,0.36,186974.71,3.02
864656.68,13.95,0.36,186974.52,3.02
864925.5,13.96,0.36,186974.52,3.02
865271.11,13.96,0.37,186842.92,3.02
864916.45,13.96,0.36,186339.07,3.01
865207.68,13.97,0.37,186149.13,3.0
865071.72,13.97,0.37,186149.13,3.01
864935.76,13.97,0.37,186148.93,3.01
865204.58,13.97,0.38,186148.74,3.01
865601.39,13.98,0.38,186148.74,3.01
865601.39,13.98,0.38,186148.54,3.01
865465.43,13.98,0.38,186085.01,3.01
865329.47,13.98,0.38,186084.81,3.01
865193.51,13.98,0.38,186065.2,3.01
865057.55,13.98,0.38,186065.46,3.01
865109.24,13.98,0.39,186065.64,3.01
865109.24,13.98,0.39,185962.47,3.01
865160.93,13.98,0.39,185962.47,3.01
865557.74,13.99,0.4,185988.35,3.01
865432.85,13.99,0.4,185378.95,3.0
865701.68,14.0,0.4,185378.76,3.0
866534.53,14.01,0.42,185708.27,3.0
866803.35,14.02,0.42,185708.08,3.0
867075.39,14.02,0.43,185080.48,2.99
866939.43,14.02,0.43,185080.48,2.99
866803.47,14.02,0.43,185060.87,2.99
866855.16,14.03,0.43,185061.05,2.99
866950.18,14.03,0.43,185884.2,3.01
867001.87,14.03,0.44,186007.31,3.01
867667.65,14.04,0.45,186128.24,3.01
867531.69,14.04,0.45,186128.04,3.01
867531.69,14.04,0.45,186131.32,3.01
867531.69,14.04,0.45,186131.12,3.01
868725.98,14.06,0.47,186987.01,3.03
868777.67,14.07,0.47,186986.63,3.03
868641.71,14.07,0.47,186986.44,3.03
868505.75,14.07,0.47,186883.53,3.03
868689.46,14.07,0.47,186968.06,3.03
868689.46,14.07,0.47,186967.87,3.03
868689.46,14.07,0.47,186967.67,3.03
868553.5,14.07,0.47,186967.48,3.03
869747.79,14.09,0.49,187823.36,3.04
869799.48,14.09,0.5,187823.54,3.04
869851.17,14.1,0.5,187823.72,3.04
870034.88,14.1,0.5,187823.53,3.04
870369.42,14.11,0.51,187876.89,3.04
870233.46,14.11,0.51,187876.69,3.05
870097.5,14.11,0.51,187857.08,3.05
869961.54,14.11,0.51,187856.88,3.05
869825.58,14.11,0.51,187773.59,3.05
869877.27,14.11,0.51,187896.7,3.05
870543.05,14.12,0.53,188017.62,3.05
870811.88,14.13,0.53,188092.1,3.05
870675.92,14.13,0.53,188091.91,3.05
870539.96,14.13,0.53,188091.71,3.05
870404.0,14.13,0.53,188091.52,3.05
870268.04,14.13,0.53,188091.32,3.05
870536.86,14.13,0.54,188165.8,3.05
870588.56,14.14,0.54,188165.98,3.06
870452.6,14.14,0.54,188165.79,3.06
870452.6,14.14,0.54,188165.59,3.06
870636.31,14.14,0.54,188165.4,3.06
870636.31,14.14,0.54,188165.21,3.06
870905.13,14.15,0.55,188165.01,3.06
871199.72,14.15,0.55,188164.82,3.06
871063.76,14.15,0.55,188061.91,3.06
870927.8,14.15,0.55,188061.72,3.06
870979.49,14.15,0.56,188061.72,3.06
871031.18,14.16,0.56,188184.82,3.06
