ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,2,0,6212,0
2,4,810,6212,810
3,6,1810,6212,1810
4,8,2620,6212,2620
5,10,2620,6212,2620
6,12,3090,6212,3090
7,20,3410,6212,3410
8,22,4410,6212,4410
9,24,5410,6212,5410
10,26,6220,6212,6220
11,28,6770,6212,6770
12,36,7580,6212,7580
13,44,8390,6212,8390
14,52,8440,6212,8440
14,52,9250,6212,9250
15,60,9480,6212,9480
16,62,10290,6212,10290
17,70,10760,6212,10760
18,78,10760,6212,10760
19,86,11570,6212,11570
20,88,12380,6212,12380
21,90,13190,6212,13190
22,98,14190,6212,14190
23,106,15190,6212,15190
24,114,15350,6212,15350
25,122,16000,6212,16000
26,124,16470,6212,16470
27,132,16790,6212,16790
28,140,17790,6212,17790
29,142,18020,6212,18020
30,150,18830,6212,18830
31,158,19640,6212,19640
32,160,19640,6212,19640
33,164,20290,6212,20290
34,166,21290,6212,21290
35,174,21610,6212,21610
36,182,22610,6212,22610
37,190,23420,6212,23420
38,198,23420,6212,23420
39,206,24070,6212,24070
40,208,24880,6212,24880
41,210,25880,6212,25880
42,218,26530,6212,26530
43,226,27000,6212,27000
44,234,27110,6212,27110
45,242,27580,6212,27580
46,244,28580,6212,28580
47,252,29390,6212,29390
48,260,29940,6212,29940
49,262,30590,6212,30590
50,264,30750,6212,30750
51,272,31220,6212,31220
52,274,32220,6212,32220
53,276,32220,6212,32220
54,284,32220,6212,32220
55,292,32220,6212,32220
56,300,32870,6212,32870
57,308,33870,6212,33870
58,316,34870,6212,34870
59,324,35680,6212,35680
60,326,35680,6212,35680
61,328,35680,6212,35680
62,330,36680,6212,36680
62,330,36680,6212,36680
63,338,37490,6212,37490
64,340,38300,6212,38300
65,348,38770,6212,38770
66,356,39580,6212,39580
67,358,40050,6212,40050
68,362,40860,6212,40860
69,370,41860,6212,41860
70,378,42860,6212,42860
71,386,43670,6212,43670
72,388,44140,6212,44140
73,396,44610,6212,44610
74,404,44930,6212,44930
75,406,45930,6212,45930
76,408,46480,6212,46480
77,410,47480,6212,47480
78,412,47850,6212,47850
79,414,48310,6212,48310
80,418,49310,6212,49310
81,420,49310,6212,49310
82,428,50120,6212,50120
83,436,50120,6212,50120
84,438,50770,6212,50770
85,440,51580,6212,51580
86,448,52580,6212,52580
86,448,53390,6212,53390
87,450,53860,6212,53860
88,458,54330,6212,54330
89,466,55140,6212,55140
90,468,55950,6212,55950
91,476,56950,6212,56950
92,484,56950,6212,56950
93,486,57420,6212,57420
94,494,65420,6212,65420
95,502,65420,6212,65420
96,504,66070,6212,66070
97,512,66880,6212,66880
98,520,67110,6212,67110
99,522,67110,6212,67110
100,530,67920,6212,67920
101,532,67920,6212,67920
101,532,68920,6212,68920
102,534,69730,6212,69730
103,536,70200,6212,70200
104,544,71200,6212,71200
105,552,71850,6212,71850
106,560,72660,6212,72660
107,562,72980,6212,72980
108,564,73980,6212,73980
108,564,74790,6212,74790
109,572,75110,6212,75110
110,580,75570,6212,75570
111,582,75940,6212,75940
112,584,76410,6212,76410
113,588,77220,6212,77220
114,590,77870,6212,77870
115,598,78870,6212,78870
116,606,79100,6212,79100
117,614,80100,6212,80100
118,616,80570,6212,80570
118,616,81570,6212,81570
119,618,82570,6212,82570
119,618,82570,6212,82570
120,626,82800,6212,82800
121,628,83610,6212,83610
122,629,84420,6212,84420
123,637,85230,6212,85230
124,639,86230,6212,86230
125,641,86550,6212,86550
125,641,87020,6212,87020
126,643,87670,6212,87670
127,651,88110,6212,88110
128,653,88580,6212,88580
129,655,89390,6212,89390
130,663,89850,6212,89850
131,671,89850,6212,89850
132,673,89850,6212,89850
133,681,90850,6212,90850
134,689,91660,6212,91660
135,691,92660,6212,92660
136,693,93250,6212,93250
136,693,93570,6212,93570
137,701,93570,6212,93570
138,709,93790,6212,93790
139,711,94790,6212,94790
139,711,95600,6212,95600
140,713,95600,6212,95600
140,713,96070,6212,96070
140,713,97070,6212,97070
141,715,97880,6212,97880
142,723,98690,6212,98690
143,725,98690,6212,98690
144,733,98690,6212,98690
145,735,98690,6212,98690
146,739,99690,6212,99690
147,747,100690,6212,100690
148,749,101500,6212,101500
149,757,101970,6212,101970
149,757,101970,6212,101970
150,765,102290,6212,102290
151,773,102760,6212,102760
151,773,102760,6212,102760
152,774,103570,6212,103570
153,776,103800,6212,103800
154,784,104800,6212,104800
155,786,105390,6212,105390
156,794,106200,6212,106200
157,796,107010,6212,107010
158,804,107330,6212,107330
158,804,107800,6212,107800
159,806,108800,6212,108800
160,814,108800,6212,108800
161,822,109120,6212,109120
162,824,109350,6212,109350
163,826,110350,6212,110350
164,834,111350,6212,111350
164,834,112160,6212,112160
165,836,112810,6212,112810
166,838,113810,6212,113810
167,840,114810,6212,114810
168,848,115620,6212,115620
169,856,116090,6212,116090
170,864,116320,6212,116320
170,864,117130,6212,117130
170,864,117940,6212,117940
171,866,118750,6212,118750
171,866,119070,6212,119070
172,868,120070,6212,120070
173,876,120390,6212,120390
174,878,121200,6212,121200
175,886,121660,6212,121660
176,894,122470,6212,122470
177,902,123120,6212,123120
178,904,123930,6212,123930
179,912,123930,6212,123930
180,913,124740,6212,124740
181,921,124850,6212,124850
182,923,125170,6212,125170
183,931,125720,6212,125720
184,939,125720,6212,125720
185,947,126530,6212,126530
185,947,127340,6212,127340
185,947,128150,6212,128150
185,947,128960,6212,128960
186,949,129610,6212,129610
187,957,129830,6212,129830
188,959,130300,6212,130300
189,961,131110,6212,131110
190,969,131920,6212,131920
191,977,132920,6212,132920
192,979,132920,6212,132920
193,981,133150,6212,133150
193,981,133150,6212,133150
194,983,133380,6212,133380
195,987,133610,6212,133610
196,995,134420,6212,134420
196,995,135230,6212,135230
197,1003,135700,6212,135700
198,1005,136160,6212,136160
199,1013,137160,6212,137160
199,1013,137970,6212,137970
200,1015,138440,6212,138440
201,1023,139250,6212,139250
201,1023,139410,6212,139410
201,1023,140220,6212,140220
201,1023,141030,6212,141030
202,1031,141680,6212,141680
203,1039,142150,6212,142150
204,1041,142610,6212,142610
205,1049,143080,6212,143080
205,1049,143080,6212,143080
205,1049,143890,6212,143890
206,1057,144890,6212,144890
207,1065,145360,6212,145360
208,1073,146170,6212,146170
209,1081,146760,6212,146760
209,1081,147220,6212,147220
210,1089,148030,6212,148030
211,1091,148500,6212,148500
212,1093,148970,6212,148970
213,1095,149620,6212,149620
214,1097,150430,6212,150430
215,1099,151430,6212,151430
216,1101,152240,6212,152240
217,1103,152240,6212,152240
218,1105,153240,6212,153240
219,1113,153240,6212,153240
220,1121,153240,6212,153240
221,1123,154240,6212,154240
221,1123,155050,6212,155050
222,1131,155860,6212,155860
223,1139,156860,6212,156860
224,1147,157670,6212,157670
