ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
858375.85,13.82,0.2,193021.38,3.11
858427.79,13.82,0.2,193139.9,3.11
858291.58,13.82,0.2,193110.04,3.11
858343.51,13.82,0.2,193233.02,3.11
858343.51,13.82,0.2,193102.6,3.11
858564.83,13.83,0.21,193134.38,3.11
858832.96,13.83,0.21,193134.11,3.11
858696.76,13.83,0.21,193104.26,3.11
858997.03,13.84,0.22,192793.27,3.11
859048.96,13.84,0.22,192916.25,3.11
859473.63,13.85,0.23,192660.41,3.1
859525.56,13.85,0.23,192660.41,3.11
859577.49,13.86,0.24,192660.52,3.11
859779.36,13.86,0.24,192660.94,3.11
859831.29,13.86,0.24,192660.94,3.11
860152.93,13.87,0.25,192660.68,3.11
860204.86,13.87,0.25,192783.65,3.11
860426.18,13.88,0.25,192819.6,3.11
860426.18,13.88,0.25,192819.34,3.11
860478.12,13.88,0.26,192819.45,3.11
860530.05,13.88,0.26,192942.43,3.11
860581.98,13.88,0.26,193065.4,3.11
860445.78,13.88,0.26,193065.14,3.12
860309.57,13.88,0.26,193064.88,3.12
860472.29,13.89,0.27,193065.32,3.12
860644.1,13.89,0.27,193065.06,3.12
861181.66,13.9,0.28,193214.28,3.12
861449.79,13.91,0.28,193214.02,3.12
861313.58,13.91,0.28,193213.76,3.12
861635.23,13.91,0.29,193203.68,3.12
861687.16,13.91,0.29,193203.79,3.12
861739.09,13.92,0.3,193203.91,3.12
861739.09,13.92,0.3,193073.49,3.12
861910.9,13.92,0.3,193066.68,3.12
861774.7,13.92,0.3,192936.27,3.12
862042.83,13.93,0.3,192936.01,3.12
861906.62,13.93,0.31,192935.74,3.12
861958.55,13.93,0.31,192935.74,3.12
861958.55,13.93,0.31,192935.74,3.12
862130.36,13.93,0.31,192935.48,3.12
862182.3,13.94,0.31,193058.46,3.12
862046.09,13.94,0.31,192928.04,3.12
862217.9,13.94,0.32,192927.78,3.12
862439.22,13.94,0.32,192927.52,3.12
862619.73,13.95,0.33,192927.96,3.12
862841.06,13.95,0.33,192927.7,3.12
862704.85,13.95,0.33,192882.01,3.12
862756.78,13.95,0.33,192882.12,3.12
863011.84,13.96,0.34,192881.86,3.12
863183.65,13.96,0.34,192962.43,3.12
863346.37,13.97,0.35,192996.04,3.12
863567.69,13.97,0.35,192996.04,3.12
863431.48,13.97,0.35,192976.7,3.12
863431.48,13.97,0.35,192846.28,3.12
863431.48,13.97,0.35,192846.02,3.12
863431.48,13.97,0.35,192845.76,3.12
863603.29,13.98,0.36,192845.5,3.12
863467.09,13.98,0.36,192845.24,3.12
863330.88,13.98,0.36,192844.98,3.12
863382.82,13.98,0.36,192845.09,3.12
864510.9,14.0,0.38,193664.96,3.14
864510.9,14.0,0.38,193534.54,3.13
864374.69,14.0,0.38,193404.12,3.13
864374.69,14.0,0.38,193404.12,3.13
864426.62,14.0,0.38,193404.24,3.13
864482.42,14.0,0.38,193046.06,3.13
864703.74,14.01,0.39,193045.8,3.13
864755.68,14.01,0.39,193045.92,3.13
864977.0,14.01,0.39,193077.69,3.13
865028.93,14.02,0.4,193094.77,3.13
864892.72,14.02,0.4,193094.51,3.13
864756.52,14.02,0.4,193094.25,3.13
864808.45,14.02,0.4,193094.37,3.13
865029.77,14.02,0.4,193126.14,3.13
865251.09,14.03,0.41,193125.88,3.13
865519.22,14.03,0.41,193125.62,3.13
865386.89,14.03,0.41,192372.77,3.12
865811.55,14.04,0.42,192116.93,3.12
865675.35,14.04,0.42,192071.24,3.12
866169.41,14.05,0.43,191806.08,3.11
866397.48,14.06,0.44,191790.11,3.11
866261.27,14.06,0.44,191783.3,3.11
866261.27,14.06,0.44,191652.89,3.11
866313.2,14.06,0.44,191653.0,3.11
866313.2,14.06,0.44,191652.74,3.11
866926.86,14.07,0.45,191766.53,3.11
866978.8,14.07,0.45,191889.51,3.11
866842.59,14.07,0.45,191889.25,3.12
866420.44,14.07,0.45,191467.1,3.11
866958.0,14.08,0.46,191616.32,3.11
867179.32,14.08,0.46,191616.32,3.11
867231.25,14.09,0.47,191614.27,3.11
867283.19,14.09,0.47,191483.85,3.11
867146.98,14.09,0.47,191483.59,3.11
867146.98,14.09,0.47,191487.98,3.11
867368.3,14.09,0.47,191519.75,3.11
866278.66,14.09,0.47,191519.49,3.12
866278.66,14.09,0.47,191523.88,3.12
866450.47,14.1,0.48,191600.47,3.12
866502.4,14.1,0.48,191600.58,3.12
866824.04,14.11,0.49,191600.32,3.12
866824.04,14.11,0.49,191469.91,3.12
866875.98,14.11,0.49,191470.02,3.12
866875.98,14.11,0.49,191339.6,3.11
866739.77,14.11,0.49,191339.6,3.11
866791.7,14.11,0.49,191462.58,3.12
867013.02,14.12,0.5,191494.35,3.12
866876.82,14.12,0.5,191494.09,3.12
867048.63,14.12,0.5,191493.83,3.12
867100.56,14.12,0.5,191493.95,3.12
867368.69,14.13,0.51,191483.45,3.12
867232.49,14.13,0.51,191353.03,3.12
867284.42,14.13,0.51,191353.03,3.12
867552.55,14.14,0.52,191352.77,3.12
867780.61,14.14,0.52,191352.51,3.12
868050.05,14.15,0.53,191312.19,3.12
868271.37,14.15,0.53,191343.97,3.12
868323.3,14.15,0.53,191045.69,3.11
868495.12,14.16,0.54,191126.26,3.12
868358.91,14.16,0.54,191126.0,3.12
868680.55,14.16,0.54,191125.74,3.12
868544.35,14.16,0.54,191125.47,3.12
869081.91,14.17,0.55,191274.7,3.12
868945.7,14.17,0.55,191274.32,3.12
869633.82,14.19,0.57,191351.19,3.12
869633.82,14.19,0.57,191351.19,3.12
869955.47,14.19,0.57,191350.92,3.12
870007.4,14.2,0.58,191220.51,3.12
869749.9,14.19,0.57,190766.41,3.11
869801.84,14.2,0.58,190766.52,3.11
869665.63,14.2,0.58,190636.1,3.11
869933.76,14.2,0.58,190625.61,3.11
869737.37,14.2,0.58,190505.69,3.11
869909.18,14.2,0.58,190586.26,3.11
870141.92,14.21,0.59,190587.06,3.11
870916.75,14.22,0.6,190909.48,3.12
870968.69,14.23,0.6,191028.0,3.12
871196.75,14.23,0.61,191027.74,3.12
871196.75,14.23,0.61,191027.48,3.12
871196.75,14.23,0.61,190897.06,3.12
871060.55,14.23,0.61,190896.8,3.12
871112.48,14.23,0.61,190896.91,3.12
870976.27,14.23,0.61,190766.49,3.12
871196.55,14.24,0.62,190821.51,3.12
871129.96,14.24,0.62,190821.51,3.12
871129.96,14.24,0.62,190821.25,3.12
871457.55,14.24,0.62,190820.99,3.12
871321.35,14.24,0.62,190801.66,3.12
871373.28,14.25,0.63,190801.66,3.12
871373.28,14.25,0.63,190671.24,3.12
871594.6,14.25,0.63,190672.67,3.12
871458.4,14.25,0.63,190795.82,3.12
871510.33,14.25,0.63,190918.79,3.12
871562.26,14.26,0.64,190918.9,3.12
871562.26,14.26,0.64,190788.49,3.12
871562.26,14.26,0.64,190788.23,3.12
873250.38,14.28,0.66,191865.09,3.14
873128.88,14.28,0.66,191546.71,3.13
872992.67,14.28,0.66,191546.45,3.13
873048.48,14.29,0.67,191188.28,3.13
873269.8,14.29,0.67,191188.02,3.13
873269.8,14.29,0.67,191186.96,3.13
873537.92,14.3,0.68,191186.7,3.13
873759.25,14.3,0.68,191186.7,3.13
873759.25,14.3,0.68,190933.31,3.13
873501.75,14.3,0.68,190479.21,3.12
873823.39,14.31,0.69,190683.34,3.12
873687.19,14.31,0.69,190683.08,3.12
873907.46,14.31,0.69,190738.1,3.12
873959.4,14.31,0.69,190738.21,3.12
874011.33,14.32,0.7,190861.19,3.13
874279.46,14.32,0.7,190860.93,3.13
874500.78,14.33,0.71,191181.56,3.13
