ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,8,0,6212,0
2,16,460,6212,460
3,18,680,6212,680
4,26,1150,6212,1150
5,30,1150,6212,1150
6,32,1470,6212,1470
7,40,2280,6212,2280
8,42,3090,6212,3090
9,50,3200,6212,3200
10,52,3680,6212,3680
11,56,4150,6212,4150
12,60,4620,6212,4620
13,62,5090,6212,5090
14,64,5560,6212,5560
15,72,6030,6212,6030
16,74,6510,6212,6510
17,82,6980,6212,6980
18,90,7570,6212,7570
19,98,7570,6212,7570
20,106,8030,6212,8030
21,114,8350,6212,8350
22,122,8670,6212,8670
23,124,9140,6212,9140
24,132,10140,6212,10140
25,134,10950,6212,10950
26,136,11760,6212,11760
27,138,12570,6212,12570
28,142,13380,6212,13380
29,150,13850,6212,13850
30,152,14330,6212,14330
31,156,14800,6212,14800
32,164,15610,6212,15610
33,166,15610,6212,15610
34,174,16420,6212,16420
35,182,17420,6212,17420
36,184,17880,6212,17880
37,192,18690,6212,18690
38,200,19280,6212,19280
39,208,19280,6212,19280
40,210,20090,6212,20090
41,212,20740,6212,20740
42,213,21550,6212,21550
43,221,22360,6212,22360
44,229,22830,6212,22830
45,231,23300,6212,23300
46,239,24110,6212,24110
47,247,24920,6212,24920
48,249,25470,6212,25470
49,253,25700,6212,25700
50,261,26170,6212,26170
51,263,26980,6212,26980
52,271,27450,6212,27450
53,279,28450,6212,28450
54,287,28450,6212,28450
55,289,28450,6212,28450
56,297,28450,6212,28450
57,305,28910,6212,28910
58,313,29910,6212,29910
59,315,30380,6212,30380
60,323,30850,6212,30850
61,331,30850,6212,30850
62,339,30850,6212,30850
63,341,31850,6212,31850
64,349,31850,6212,31850
65,351,32660,6212,32660
66,355,33470,6212,33470
67,363,33940,6212,33940
67,363,34750,6212,34750
67,363,35210,6212,35210
68,365,36020,6212,36020
69,367,36830,6212,36830
69,367,37830,6212,37830
70,375,38300,6212,38300
71,377,39110,6212,39110
72,379,39920,6212,39920
73,387,40730,6212,40730
74,395,41280,6212,41280
75,397,41510,6212,41510
76,405,42510,6212,42510
77,413,42980,6212,42980
78,421,43790,6212,43790
79,429,44260,6212,44260
80,431,44260,6212,44260
80,431,44730,6212,44730
81,439,44730,6212,44730
81,439,45540,6212,45540
82,447,46010,6212,46010
83,449,47010,6212,47010
84,457,47330,6212,47330
85,465,48140,6212,48140
86,467,48370,6212,48370
87,469,49180,6212,49180
88,477,49640,6212,49640
