ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
851773.23,13.71,0.12,197014.82,3.17
851958.89,13.72,0.13,197014.4,3.17
852204.35,13.72,0.13,196959.61,3.17
852384.06,13.72,0.13,196959.58,3.17
852384.06,13.72,0.13,196943.04,3.17
852580.62,13.73,0.14,196878.8,3.17
852631.07,13.73,0.14,196878.75,3.17
852681.52,13.73,0.14,197005.16,3.17
852734.72,13.73,0.14,197005.63,3.17
852905.38,13.74,0.15,196418.23,3.16
853085.09,13.74,0.15,196411.39,3.16
853264.8,13.75,0.16,196404.55,3.16
853444.5,13.75,0.16,196396.5,3.16
853624.21,13.75,0.16,196388.45,3.16
853803.91,13.76,0.17,196388.03,3.16
853977.66,13.76,0.17,196328.92,3.16
854157.37,13.77,0.17,196328.89,3.16
854362.76,13.77,0.18,196328.47,3.16
854362.76,13.77,0.18,196328.05,3.16
854548.42,13.77,0.18,196328.05,3.16
854744.98,13.78,0.19,196327.62,3.16
854941.55,13.78,0.19,196327.2,3.16
855121.25,13.79,0.2,196319.15,3.16
854985.35,13.79,0.2,196318.73,3.17
855032.71,13.79,0.2,195977.02,3.16
855083.16,13.79,0.2,196103.44,3.16
855133.61,13.79,0.2,196229.85,3.17
855184.06,13.8,0.21,195993.03,3.16
855363.76,13.8,0.21,195993.0,3.16
855534.42,13.8,0.21,195405.6,3.15
855714.13,13.81,0.22,195344.99,3.15
855764.58,13.81,0.22,195344.94,3.15
855764.58,13.81,0.22,195198.44,3.15
855815.03,13.81,0.22,195198.4,3.15
855679.12,13.81,0.22,195199.6,3.15
855864.78,13.82,0.23,195167.24,3.15
855915.23,13.82,0.23,195167.19,3.15
856120.62,13.82,0.23,195166.77,3.15
856120.62,13.82,0.23,195173.88,3.15
856347.9,13.83,0.24,194620.99,3.14
856507.58,13.83,0.24,194715.21,3.15
856331.36,13.83,0.24,194295.82,3.14
856381.81,13.84,0.24,194295.77,3.14
856561.51,13.84,0.25,194295.35,3.14
856741.22,13.84,0.25,194287.29,3.14
856791.67,13.85,0.26,194287.25,3.14
856842.12,13.85,0.26,194287.2,3.14
857080.81,13.85,0.26,194347.97,3.14
857321.38,13.86,0.27,194331.42,3.14
857501.08,13.86,0.27,194331.39,3.14
857551.53,13.86,0.27,194457.8,3.14
857731.24,13.87,0.28,194457.77,3.14
857595.33,13.87,0.28,194457.97,3.14
857595.33,13.87,0.28,194457.97,3.14
857595.33,13.87,0.28,194311.47,3.14
857595.33,13.87,0.28,194311.05,3.14
857780.99,13.87,0.28,194310.63,3.14
857645.08,13.87,0.28,194310.21,3.14
857824.79,13.88,0.29,194302.15,3.14
858004.49,13.88,0.29,194301.73,3.14
858004.49,13.88,0.29,194301.31,3.14
858004.49,13.88,0.29,194300.89,3.14
857868.58,13.88,0.29,194154.39,3.14
