name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0252,,T4,104,2,549755813888,15109,6,19684,549755813888,60,906,60,906,0,0,0,0,0,0,0,0,0,0,0,0,120,1812
0001-openb-node-0261,,G2,96,8,412316860416,20000,9,1328,412316860416,1000,20000,1000,20000,630,12600,190,3800,130,2600,530,10600,530,10600,350,7000,4360,87200
0002-openb-node-1175,,T4,104,2,549755813888,15109,7,35348,549755813888,50,755,130,1964,0,0,0,0,0,0,0,0,0,0,0,0,180,2719
0003-openb-node-0857,,G2,96,8,412316860416,20000,10,428,412316860416,190,3800,300,6000,70,1400,0,0,190,3800,1000,20000,1000,20000,450,9000,3200,64000
0004-openb-node-0094,,G2,96,8,412316860416,20000,11,3072,412316860416,0,0,0,0,60,1200,0,0,90,1800,350,7000,60,1200,0,0,560,11200
0005-openb-node-0639,,T4,104,2,549755813888,15109,5,56040,549755813888,190,2870,30,453,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0006-openb-node-0010,,P100,64,2,274877906944,16280,3,44940,274877906944,120,1953,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,310,5046
0007-openb-node-0860,,G2,96,8,412316860416,20000,12,19772,412316860416,190,3800,190,3800,190,3800,190,3800,30,600,190,3800,60,1200,190,3800,1230,24600
0008-openb-node-1136,,G2,96,8,412316860416,20000,12,1820,412316860416,70,1400,0,0,0,0,190,3800,30,600,30,600,190,3800,530,10600,1040,20800
0009-openb-node-0499,,G2,96,8,412316860416,20000,8,2320,412316860416,530,10600,0,0,0,0,530,10600,1000,20000,190,3800,1000,20000,190,3800,3440,68800
0010-openb-node-1133,,G2,96,8,412316860416,20000,13,8016,412316860416,190,3800,190,3800,190,3800,30,600,190,3800,50,1000,190,3800,210,4200,1240,24800
0011-openb-node-0648,,T4,104,2,549755813888,15109,9,3092,549755813888,30,453,140,2115,0,0,0,0,0,0,0,0,0,0,0,0,170,2568
0012-openb-node-0869,,P100,16,2,128849018880,16280,2,940,128849018880,190,3093,350,5698,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
0013-openb-node-0315,,T4,104,2,549755813888,15109,8,13288,549755813888,80,1208,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,150,2265
0014-openb-node-0736,,G2,96,8,412316860416,20000,11,1644,412316860416,220,4400,540,10800,220,4400,450,9000,190,3800,530,10600,0,0,190,3800,2340,46800
0015-openb-node-0863,,G2,96,8,412316860416,20000,13,10340,412316860416,0,0,190,3800,80,1600,190,3800,190,3800,190,3800,0,0,190,3800,1030,20600
0016-openb-node-0737,,G2,96,8,412316860416,20000,12,4912,412316860416,0,0,190,3800,60,1200,70,1400,190,3800,60,1200,60,1200,190,3800,820,16400
0017-openb-node-0867,,V100M32,96,8,824633720832,32510,13,3168,824633720832,120,3901,190,6176,300,9753,190,6176,190,6176,210,6827,190,6176,30,975,1420,46160
0018-openb-node-0790,,G2,96,8,412316860416,20000,11,2728,412316860416,190,3800,1000,20000,190,3800,680,13600,530,10600,210,4200,190,3800,450,9000,3440,68800
0019-openb-node-1199,,T4,104,2,549755813888,15109,8,16040,549755813888,90,1359,30,453,0,0,0,0,0,0,0,0,0,0,0,0,120,1812
0020-openb-node-0841,,G2,96,8,412316860416,20000,10,936,412316860416,0,0,0,0,190,3800,680,13600,190,3800,1000,20000,30,600,540,10800,2630,52600
0021-openb-node-0382,,G2,96,8,412316860416,20000,12,688,412316860416,190,3800,80,1600,0,0,190,3800,190,3800,190,3800,70,1400,190,3800,1100,22000
0022-openb-node-0515,,G2,96,8,412316860416,20000,12,3424,412316860416,0,0,0,0,30,600,190,3800,190,3800,190,3800,190,3800,130,2600,920,18400
0023-openb-node-1004,,G2,96,8,412316860416,20000,12,26024,412316860416,0,0,30,600,190,3800,190,3800,180,3600,70,1400,180,3600,190,3800,1030,20600
0024-openb-node-0338,,G2,96,8,412316860416,20000,13,1760,412316860416,30,600,30,600,60,1200,60,1200,30,600,190,3800,190,3800,190,3800,780,15600
0025-openb-node-0921,,V100M16,32,4,137438953472,16160,3,2048,137438953472,0,0,190,3070,1000,16160,1000,16160,0,0,0,0,0,0,0,0,2190,35390
0026-openb-node-0000,,P100,64,2,274877906944,16280,5,28348,274877906944,210,3418,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,400,6511
0027-openb-node-1035,,G2,96,8,412316860416,20000,13,5868,412316860416,190,3800,0,0,70,1400,60,1200,190,3800,70,1400,0,0,130,2600,710,14200
0028-openb-node-0217,,G2,96,8,412316860416,20000,11,3020,412316860416,0,0,350,7000,30,600,350,7000,190,3800,190,3800,190,3800,530,10600,1830,36600
0029-openb-node-0800,,T4,104,2,549755813888,15109,8,2848,549755813888,190,2870,40,604,0,0,0,0,0,0,0,0,0,0,0,0,230,3474
0030-openb-node-0307,,G3,128,8,824633720832,30000,16,580,824633720832,190,5700,0,0,0,0,30,900,0,0,60,1800,0,0,90,2700,370,11100
0031-openb-node-0012,,P100,64,2,274877906944,16280,5,6940,274877906944,30,488,30,488,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0032-openb-node-0469,,G2,96,8,412316860416,20000,11,2276,412316860416,190,3800,0,0,190,3800,30,600,190,3800,310,6200,350,7000,190,3800,1450,29000
0033-openb-node-0186,,G2,96,8,412316860416,20000,11,11272,412316860416,190,3800,190,3800,120,2400,30,600,190,3800,190,3800,190,3800,190,3800,1290,25800
0034-openb-node-0235,,T4,104,2,549755813888,15109,4,61696,549755813888,190,2870,30,453,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0035-openb-node-0717,,T4,104,2,549755813888,15109,10,1196,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0036-openb-node-0348,,T4,104,2,549755813888,15109,8,5284,549755813888,30,453,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,100,1510
0037-openb-node-0767,,V100M16,8,1,34359738368,16160,1,4848,34359738368,190,3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3070
0038-openb-node-0285,,G2,96,8,412316860416,20000,7,0,412316860416,1000,20000,1000,20000,1000,20000,300,6000,1000,20000,1000,20000,680,13600,530,10600,6510,130200
0039-openb-node-0327,,G2,96,8,412316860416,20000,15,4364,412316860416,190,3800,190,3800,160,3200,80,1600,80,1600,60,1200,30,600,120,2400,910,18200
