ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,8,0,6212,0
2,10,810,6212,810
3,18,1810,6212,1810
4,26,2810,6212,2810
5,34,3810,6212,3810
6,36,4620,6212,4620
7,38,5090,6212,5090
8,40,5740,6212,5740
9,42,6550,6212,6550
10,44,6780,6212,6780
11,52,7590,6212,7590
12,60,8590,6212,8590
13,68,9060,6212,9060
14,70,9520,6212,9520
15,78,9520,6212,9520
16,86,10520,6212,10520
17,94,10980,6212,10980
18,102,11440,6212,11440
19,104,12440,6212,12440
20,106,13440,6212,13440
21,114,13440,6212,13440
22,118,13910,6212,13910
23,126,13910,6212,13910
24,128,14720,6212,14720
25,130,14880,6212,14880
26,132,14880,6212,14880
27,140,15880,6212,15880
28,148,16880,6212,16880
29,156,17690,6212,17690
30,158,18690,6212,18690
31,166,18800,6212,18800
32,174,19800,6212,19800
33,182,19800,6212,19800
34,184,20270,6212,20270
35,186,21270,6212,21270
36,188,22270,6212,22270
37,196,23270,6212,23270
38,198,24270,6212,24270
39,200,25270,6212,25270
40,208,25740,6212,25740
41,210,25740,6212,25740
42,218,26740,6212,26740
43,220,26740,6212,26740
44,228,27740,6212,27740
45,236,28060,6212,28060
46,244,29060,6212,29060
47,248,29060,6212,29060
48,250,29380,6212,29380
49,258,30380,6212,30380
50,260,31190,6212,31190
51,262,31190,6212,31190
52,264,31560,6212,31560
53,266,32560,6212,32560
54,270,33560,6212,33560
55,274,34560,6212,34560
56,276,34880,6212,34880
56,276,35880,6212,35880
57,280,36880,6212,36880
58,282,37880,6212,37880
59,290,38690,6212,38690
60,298,39690,6212,39690
61,306,40690,6212,40690
62,308,41010,6212,41010
63,310,42010,6212,42010
64,318,43010,6212,43010
64,318,44010,6212,44010
65,320,45010,6212,45010
66,328,45010,6212,45010
67,336,46010,6212,46010
68,338,47010,6212,47010
69,346,47480,6212,47480
69,346,48290,6212,48290
70,350,49290,6212,49290
71,358,50290,6212,50290
72,366,51100,6212,51100
73,368,51100,6212,51100
74,376,52100,6212,52100
75,384,53100,6212,53100
76,392,53910,6212,53910
77,400,57910,6212,57910
