ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1179977.54,19.0,0.41,218688.77,3.52
1179998.47,19.0,0.41,218786.09,3.52
1179838.93,19.0,0.41,218768.16,3.52
1179673.7,19.0,0.41,218754.51,3.52
1179514.16,19.0,0.41,218757.77,3.52
1179535.09,19.0,0.41,218855.1,3.53
1179797.08,19.01,0.42,218950.44,3.53
1179928.51,19.01,0.42,218983.47,3.53
1179949.44,19.01,0.43,219080.8,3.53
1180357.65,19.02,0.43,218716.67,3.52
1180386.07,19.02,0.44,218727.31,3.53
1180226.53,19.03,0.44,218730.57,3.53
1180499.7,19.03,0.44,218735.96,3.53
1180769.78,19.04,0.45,218726.64,3.53
1180769.78,19.04,0.45,218699.31,3.53
1180610.23,19.04,0.45,218685.66,3.53
1180891.57,19.04,0.46,218683.56,3.53
1181172.9,19.05,0.46,218681.47,3.53
1181005.87,19.05,0.46,218659.97,3.53
1180838.84,19.05,0.46,218651.02,3.53
1180871.88,19.05,0.46,218663.05,3.53
1181133.87,19.06,0.47,218649.28,3.53
1181133.87,19.06,0.47,218626.53,3.53
1181154.8,19.06,0.47,218723.86,3.53
1181516.15,19.07,0.48,218649.87,3.53
1181516.15,19.07,0.48,218580.93,3.53
1181356.6,19.07,0.48,218582.02,3.53
1181197.06,19.07,0.48,218585.28,3.53
1181225.47,19.07,0.48,218595.92,3.53
1181058.44,19.07,0.48,218518.78,3.53
1181433.09,19.08,0.49,218381.35,3.53
1181273.55,19.08,0.49,218384.61,3.53
1181290.07,19.08,0.49,218378.01,3.53
1181552.06,19.08,0.49,218473.35,3.53
1181385.03,19.08,0.49,218471.35,3.53
1181218.0,19.08,0.49,218469.34,3.53
1181058.45,19.08,0.49,218472.6,3.53
1180891.42,19.08,0.49,218463.66,3.53
1181136.54,19.09,0.5,218271.85,3.53
1181409.71,19.1,0.51,218277.24,3.53
1181409.71,19.1,0.51,218207.85,3.53
1181250.17,19.1,0.51,218204.73,3.53
1181250.17,19.1,0.51,218135.79,3.53
1181090.62,19.1,0.51,218134.9,3.53
1181455.71,19.11,0.51,218138.63,3.53
1181296.17,19.11,0.52,218129.13,3.53
1181296.17,19.11,0.52,218119.55,3.53
1181647.54,19.11,0.52,218044.86,3.53
1181488.0,19.11,0.52,218045.95,3.53
1181493.18,19.12,0.53,217606.81,3.52
1181493.18,19.12,0.53,217536.26,3.52
1181825.54,19.12,0.53,217461.37,3.52
1181658.51,19.12,0.53,217459.36,3.52
1181488.51,19.12,0.53,217251.23,3.52
1181290.24,19.12,0.53,217065.14,3.51
1181629.38,19.13,0.54,216841.7,3.51
1181436.78,19.13,0.54,216809.57,3.51
1181269.75,19.13,0.54,216789.74,3.51
1181102.72,19.13,0.54,216712.41,3.51
1181131.14,19.13,0.54,216723.05,3.51
1180971.59,19.13,0.54,216719.49,3.51
1180812.05,19.13,0.54,216720.58,3.51
1181151.18,19.14,0.55,216497.14,3.51
1180984.15,19.14,0.55,216419.99,3.51
1180824.6,19.14,0.55,216421.08,3.51
1180657.57,19.14,0.55,216414.18,3.51
1180902.7,19.15,0.56,216222.38,3.51
1180935.74,19.15,0.56,216234.41,3.51
1180776.2,19.15,0.56,216233.52,3.51
1180609.17,19.15,0.56,216231.51,3.51
1180882.34,19.16,0.56,216236.83,3.51
1180903.27,19.16,0.57,216935.38,3.52
1180733.27,19.16,0.57,216963.6,3.52
1180573.72,19.16,0.57,216945.67,3.52
1180602.14,19.16,0.57,216956.31,3.52
1180602.14,19.16,0.57,216887.37,3.52
1180442.59,19.16,0.57,216893.55,3.52
1180283.05,19.16,0.57,216896.81,3.52
1180311.47,19.17,0.57,216907.45,3.52
1179574.15,19.17,0.58,216908.21,3.52
1179590.67,19.17,0.58,216901.61,3.52
1179611.6,19.17,0.58,216998.93,3.53
1179628.13,19.17,0.58,216992.33,3.53
1179613.43,19.17,0.58,217040.65,3.53
1179446.4,19.17,0.58,216963.5,3.53
1179281.17,19.17,0.58,216937.72,3.53
1179314.22,19.17,0.58,216949.75,3.53
1179336.96,19.18,0.59,216960.39,3.53
1179177.41,19.18,0.59,216956.56,3.53
1179017.87,19.18,0.59,216953.62,3.53
1178858.32,19.18,0.59,216949.19,3.53
1178698.78,19.18,0.59,216952.45,3.53
1179290.17,19.19,0.6,217054.38,3.53
1179311.1,19.19,0.6,217151.71,3.53
1179151.56,19.19,0.6,217148.15,3.53
1179379.91,19.2,0.61,216893.77,3.53
1179641.89,19.21,0.61,216989.11,3.53
1179981.03,19.21,0.62,216765.67,3.53
1179981.03,19.21,0.62,216696.73,3.53
1180001.96,19.22,0.62,216794.06,3.53
1180022.89,19.22,0.63,216891.38,3.53
1180278.15,19.23,0.63,216883.96,3.53
1180306.57,19.23,0.64,216894.6,3.53
1180323.09,19.23,0.64,216888.0,3.53
1180339.61,19.23,0.64,216873.98,3.53
1180172.58,19.23,0.64,216796.84,3.53
