ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,4,0,6212,0
2,6,810,6212,810
3,8,1810,6212,1810
4,16,2810,6212,2810
5,24,3810,6212,3810
6,32,4620,6212,4620
7,40,5090,6212,5090
8,42,5740,6212,5740
9,44,6550,6212,6550
10,46,6780,6212,6780
11,48,7590,6212,7590
12,52,8590,6212,8590
13,54,9060,6212,9060
14,62,9520,6212,9520
15,64,9520,6212,9520
16,72,10520,6212,10520
17,74,10980,6212,10980
18,82,11440,6212,11440
19,90,12440,6212,12440
20,98,13440,6212,13440
21,106,13440,6212,13440
22,108,13910,6212,13910
23,116,13910,6212,13910
24,120,14720,6212,14720
25,122,14880,6212,14880
26,130,14880,6212,14880
27,138,15880,6212,15880
28,146,16880,6212,16880
29,154,17690,6212,17690
30,156,18690,6212,18690
31,158,18800,6212,18800
32,166,19800,6212,19800
33,174,19800,6212,19800
34,175,20270,6212,20270
35,183,21270,6212,21270
36,185,22270,6212,22270
37,187,23270,6212,23270
38,195,24270,6212,24270
39,203,25270,6212,25270
40,205,25740,6212,25740
41,213,25740,6212,25740
42,215,26740,6212,26740
43,217,26740,6212,26740
44,225,27740,6212,27740
45,227,28060,6212,28060
46,229,29060,6212,29060
47,237,29060,6212,29060
48,245,29380,6212,29380
49,253,30380,6212,30380
50,255,31190,6212,31190
51,263,31190,6212,31190
52,265,31560,6212,31560
53,267,32560,6212,32560
54,275,33560,6212,33560
55,277,34560,6212,34560
56,285,34880,6212,34880
56,285,35880,6212,35880
57,293,36880,6212,36880
58,301,37880,6212,37880
59,309,38690,6212,38690
60,317,39690,6212,39690
61,325,40690,6212,40690
62,327,41010,6212,41010
63,329,42010,6212,42010
64,331,43010,6212,43010
65,339,44010,6212,44010
66,341,45010,6212,45010
67,345,45010,6212,45010
68,353,46010,6212,46010
69,361,47010,6212,47010
70,363,47480,6212,47480
71,371,48290,6212,48290
72,373,49290,6212,49290
73,381,50290,6212,50290
74,389,51100,6212,51100
75,391,51100,6212,51100
76,393,52100,6212,52100
77,401,53100,6212,53100
78,409,53910,6212,53910
79,417,57910,6212,57910
80,419,57910,6212,57910
81,421,58720,6212,58720
82,429,58720,6212,58720
83,437,59530,6212,59530
84,439,60530,6212,60530
85,441,61530,6212,61530
86,449,61530,6212,61530
87,451,62340,6212,62340
88,459,63340,6212,63340
89,461,64340,6212,64340
90,469,65340,6212,65340
91,471,66340,6212,66340
92,473,66990,6212,66990
93,481,67800,6212,67800
94,483,68800,6212,68800
95,485,69800,6212,69800
96,487,70270,6212,70270
97,489,70590,6212,70590
97,489,70590,6212,70590
98,491,71400,6212,71400
99,493,72210,6212,72210
100,495,72760,6212,72760
101,503,73570,6212,73570
102,511,73570,6212,73570
102,511,73570,6212,73570
103,519,74570,6212,74570
104,527,75570,6212,75570
105,529,76570,6212,76570
106,531,77380,6212,77380
107,533,78380,6212,78380
107,533,78850,6212,78850
108,541,79850,6212,79850
109,549,80850,6212,80850
110,557,81660,6212,81660
111,565,82660,6212,82660
112,573,83660,6212,83660
113,575,84660,6212,84660
114,577,84660,6212,84660
115,581,84660,6212,84660
116,585,84660,6212,84660
117,587,84660,6212,84660
117,587,85660,6212,85660
118,591,86660,6212,86660
119,593,87660,6212,87660
120,595,88470,6212,88470
121,603,88470,6212,88470
122,611,88470,6212,88470
123,619,89470,6212,89470
124,627,89470,6212,89470
125,635,89470,6212,89470
126,639,89470,6212,89470
127,647,90120,6212,90120
128,655,90930,6212,90930
129,663,90930,6212,90930
130,671,91930,6212,91930
131,679,92930,6212,92930
132,681,93400,6212,93400
133,689,94400,6212,94400
134,697,95400,6212,95400
135,705,96210,6212,96210
135,705,97210,6212,97210
136,707,98210,6212,98210
137,715,98210,6212,98210
138,717,98860,6212,98860
139,725,99860,6212,99860
140,727,99860,6212,99860
141,729,100510,6212,100510
142,737,100980,6212,100980
142,737,101980,6212,101980
143,739,102790,6212,102790
144,747,103600,6212,103600
145,749,104600,6212,104600
146,751,105410,6212,105410
147,755,106410,6212,106410
148,763,106880,6212,106880
149,771,107880,6212,107880
150,779,108880,6212,108880
151,781,109690,6212,109690
152,785,110690,6212,110690
153,787,111010,6212,111010
154,788,111560,6212,111560
155,790,112560,6212,112560
156,792,113560,6212,113560
157,800,114020,6212,114020
158,802,115020,6212,115020
159,810,115830,6212,115830
160,818,116830,6212,116830
161,826,117830,6212,117830
162,834,118150,6212,118150
162,834,119150,6212,119150
163,842,119470,6212,119470
164,844,120470,6212,120470
165,852,120790,6212,120790
166,853,120790,6212,120790
167,855,121790,6212,121790
168,863,121790,6212,121790
169,871,122790,6212,122790
170,873,123790,6212,123790
171,881,124600,6212,124600
172,883,125600,6212,125600
173,891,125600,6212,125600
174,899,126600,6212,126600
175,907,127070,6212,127070
176,909,127880,6212,127880
177,911,128880,6212,128880
177,911,129530,6212,129530
178,919,129530,6212,129530
179,921,129530,6212,129530
180,929,129760,6212,129760
181,937,130080,6212,130080
182,945,130400,6212,130400
183,947,131210,6212,131210
184,955,132210,6212,132210
184,955,133020,6212,133020
185,963,133020,6212,133020
186,971,133020,6212,133020
186,971,134020,6212,134020
187,973,134830,6212,134830
188,981,134830,6212,134830
189,989,134830,6212,134830
190,991,135640,6212,135640
191,999,135960,6212,135960
192,1001,136960,6212,136960
193,1009,137960,6212,137960
194,1017,138960,6212,138960
195,1025,139610,6212,139610
196,1027,140610,6212,140610
197,1029,141420,6212,141420
198,1031,141420,6212,141420
199,1039,142420,6212,142420
200,1047,143420,6212,143420
201,1055,144420,6212,144420
202,1063,145230,6212,145230
203,1065,145600,6212,145600
204,1073,146070,6212,146070
205,1075,147070,6212,147070
206,1083,147540,6212,147540
206,1083,148540,6212,148540
207,1085,149540,6212,149540
208,1087,150010,6212,150010
209,1095,151010,6212,151010
210,1103,151820,6212,151820
211,1105,152630,6212,152630
211,1105,153630,6212,153630
212,1113,153630,6212,153630
212,1113,154630,6212,154630
213,1121,155100,6212,155100
214,1123,156100,6212,156100
214,1123,156570,6212,156570
215,1125,156940,6212,156940
216,1133,157940,6212,157940
217,1137,158750,6212,158750
218,1139,159560,6212,159560
219,1147,160020,6212,160020
219,1147,160830,6212,160830
220,1155,161480,6212,161480
221,1163,161710,6212,161710
222,1171,161710,6212,161710
223,1179,161710,6212,161710
224,1187,161710,6212,161710
225,1195,162710,6212,162710
226,1197,163520,6212,163520
227,1205,167520,6212,167520
228,1213,168520,6212,168520
229,1221,169520,6212,169520
230,1229,170520,6212,170520
231,1237,171520,6212,171520
232,1239,172520,6212,172520
233,1241,172990,6212,172990
234,1243,173990,6212,173990
235,1245,174990,6212,174990
236,1253,175460,6212,175460
237,1255,176460,6212,176460
238,1263,177460,6212,177460
239,1265,178270,6212,178270
240,1273,179270,6212,179270
241,1281,179740,6212,179740
242,1289,180740,6212,180740
243,1293,181740,6212,181740
244,1301,182740,6212,182740
245,1303,183740,6212,183740
245,1303,184740,6212,184740
246,1307,185200,6212,185200
247,1315,186200,6212,186200
248,1323,186200,6212,186200
249,1325,187200,6212,187200
249,1325,188200,6212,188200
250,1327,189200,6212,189200
251,1335,189520,6212,189520
252,1343,190330,6212,190330
253,1345,191140,6212,191140
253,1345,191690,6212,191690
253,1345,192160,6212,192160
253,1345,192160,6212,192160
254,1347,192390,6212,192390
254,1347,192860,6212,192860
255,1349,193080,6212,193080
256,1351,194080,6212,194080
257,1353,194890,6212,194890
258,1357,195890,6212,195890
258,1357,196700,6212,196700
259,1365,196700,6212,196700
260,1373,197170,6212,197170
261,1381,198170,6212,198170
262,1389,199170,6212,199170
263,1397,199980,6212,199980
264,1405,200980,6212,200980
265,1407,201980,6212,201980
266,1415,202450,6212,202450
267,1423,203450,6212,203450
268,1425,204260,6212,204260
269,1433,205260,6212,205260
270,1435,205730,6212,205730
270,1435,205730,6212,205730
271,1443,206540,6212,206540
272,1445,207350,6212,207350
273,1447,207350,6212,207350
274,1451,208350,6212,208350
275,1453,209350,6212,209350
276,1461,209580,6212,209580
277,1469,211580,6212,211580
278,1471,211580,6212,211580
279,1473,212390,6212,212390
280,1475,212390,6212,212390
281,1477,213390,6212,213390
282,1479,214390,6212,214390
283,1487,215200,6212,215200
283,1487,216200,6212,216200
284,1495,217200,6212,217200
285,1497,218200,6212,218200
286,1499,219010,6212,219010
287,1503,219330,6212,219330
287,1503,220140,6212,220140
288,1511,221140,6212,221140
289,1519,222140,6212,222140
289,1519,222140,6212,222140
290,1521,223140,6212,223140
291,1529,223790,6212,223790
291,1529,223790,6212,223790
292,1537,224790,6212,224790
292,1537,226790,6212,226790
293,1545,227020,6212,227020
294,1547,227490,6212,227490
294,1547,228490,6212,228490
295,1549,229300,6212,229300
296,1557,230300,6212,230300
296,1557,231300,6212,231300
297,1565,232300,6212,232300
298,1573,233110,6212,233110
299,1575,233110,6212,233110
300,1577,233920,6212,233920
301,1579,234510,6212,234510
302,1581,234830,6212,234830
303,1583,235830,6212,235830
304,1591,235830,6212,235830
305,1599,235830,6212,235830
305,1599,236300,6212,236300
306,1601,237110,6212,237110
306,1601,237110,6212,237110
307,1609,238110,6212,238110
308,1617,238340,6212,238340
309,1619,239340,6212,239340
309,1619,240340,6212,240340
310,1621,241340,6212,241340
311,1623,241340,6212,241340
312,1631,241660,6212,241660
312,1631,242130,6212,242130
312,1631,243130,6212,243130
313,1633,243130,6212,243130
313,1633,243780,6212,243780
313,1633,244590,6212,244590
314,1641,252590,6212,252590
315,1649,253590,6212,253590
315,1649,254590,6212,254590
316,1657,255590,6212,255590
317,1659,256240,6212,256240
318,1667,257240,6212,257240
319,1669,257710,6212,257710
319,1669,258710,6212,258710
320,1677,259710,6212,259710
321,1679,260710,6212,260710
322,1681,261710,6212,261710
323,1689,262710,6212,262710
324,1691,262940,6212,262940
325,1699,263940,6212,263940
326,1701,264940,6212,264940
327,1709,265750,6212,265750
328,1711,266560,6212,266560
329,1719,267030,6212,267030
329,1719,268030,6212,268030
329,1719,269030,6212,269030
330,1721,270030,6212,270030
331,1729,271030,6212,271030
331,1729,271030,6212,271030
331,1729,271580,6212,271580
332,1731,272050,6212,272050
332,1731,272700,6212,272700
333,1733,272700,6212,272700
334,1735,273700,6212,273700
335,1743,274700,6212,274700
335,1743,275510,6212,275510
336,1751,275980,6212,275980
337,1759,276980,6212,276980
338,1761,277980,6212,277980
338,1761,278980,6212,278980
339,1763,279790,6212,279790
340,1771,280790,6212,280790
340,1771,288790,6212,288790
341,1773,289600,6212,289600
341,1773,290600,6212,290600
342,1775,291150,6212,291150
343,1777,292150,6212,292150
344,1779,293150,6212,293150
344,1779,293620,6212,293620
344,1779,294620,6212,294620
344,1779,295430,6212,295430
345,1787,296080,6212,296080
346,1789,297080,6212,297080
347,1797,298080,6212,298080
348,1805,299080,6212,299080
349,1806,300080,6212,300080
350,1808,301080,6212,301080
351,1810,302080,6212,302080
351,1810,303080,6212,303080
352,1812,304080,6212,304080
353,1820,304550,6212,304550
354,1822,305550,6212,305550
355,1824,305550,6212,305550
355,1824,306550,6212,306550
355,1824,306550,6212,306550
355,1824,307550,6212,307550
356,1826,308550,6212,308550
357,1828,308550,6212,308550
358,1830,309550,6212,309550
359,1832,309780,6212,309780
360,1840,310780,6212,310780
360,1840,311780,6212,311780
361,1842,311780,6212,311780
361,1842,311780,6212,311780
362,1850,312240,6212,312240
363,1852,313240,6212,313240
364,1860,314050,6212,314050
365,1862,314050,6212,314050
365,1862,315050,6212,315050
365,1862,315270,6212,315270
365,1862,316270,6212,316270
366,1870,317080,6212,317080
367,1874,318080,6212,318080
367,1874,318540,6212,318540
368,1882,319350,6212,319350
369,1884,320160,6212,320160
370,1892,320810,6212,320810
370,1892,321810,6212,321810
371,1894,322040,6212,322040
372,1896,323040,6212,323040
372,1896,324040,6212,324040
373,1904,325040,6212,325040
374,1912,326040,6212,326040
375,1914,326510,6212,326510
376,1916,326980,6212,326980
376,1916,327980,6212,327980
376,1916,328980,6212,328980
377,1918,329980,6212,329980
378,1920,330980,6212,330980
378,1920,331300,6212,331300
379,1922,332300,6212,332300
380,1926,333110,6212,333110
381,1930,333920,6212,333920
382,1932,334920,6212,334920
382,1932,335920,6212,335920
383,1934,336920,6212,336920
384,1936,337730,6212,337730
385,1944,338540,6212,338540
386,1946,339540,6212,339540
387,1948,340010,6212,340010
388,1952,341010,6212,341010
389,1960,341010,6212,341010
390,1968,341010,6212,341010
391,1970,342010,6212,342010
392,1972,342010,6212,342010
393,1980,343010,6212,343010
393,1980,343010,6212,343010
394,1982,343820,6212,343820
395,1990,344820,6212,344820
396,1998,345050,6212,345050
397,2006,346050,6212,346050
397,2006,346860,6212,346860
397,2006,347670,6212,347670
397,2006,347670,6212,347670
398,2014,348670,6212,348670
398,2014,349020,6212,349020
399,2016,350020,6212,350020
