ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1605509.88,25.85,0.39,212314.96,3.42
1605491.72,25.85,0.4,212411.35,3.42
1605285.52,25.85,0.4,212340.28,3.42
1605039.3,25.85,0.4,212327.93,3.42
1604806.76,25.85,0.4,212330.54,3.42
1604762.53,25.85,0.4,212340.51,3.42
1604973.02,25.86,0.41,212345.66,3.42
1605033.27,25.86,0.41,212330.03,3.42
1605015.11,25.86,0.41,212426.42,3.42
1605402.44,25.87,0.42,212439.79,3.42
1605384.28,25.87,0.42,212536.18,3.43
1605129.28,25.87,0.42,212567.56,3.43
1605356.8,25.88,0.43,212651.96,3.43
1605575.64,25.89,0.43,212651.43,3.43
1605575.64,25.89,0.43,212589.86,3.43
1605343.11,25.89,0.43,212577.51,3.43
1605827.5,25.9,0.44,212580.28,3.43
1606046.34,25.9,0.45,212579.75,3.43
1605813.81,25.9,0.45,212580.78,3.43
1605581.27,25.9,0.45,212583.39,3.43
1605613.29,25.9,0.45,212596.12,3.43
1605840.81,25.91,0.45,212680.52,3.43
1605872.83,25.91,0.46,212693.25,3.43
1605786.38,25.91,0.46,212547.46,3.43
1606118.67,25.92,0.46,212480.78,3.43
1606135.2,25.92,0.46,212474.96,3.43
1605902.66,25.92,0.46,212475.98,3.43
1605670.12,25.92,0.46,212478.59,3.43
1605625.89,25.92,0.47,212488.56,3.43
1605359.91,25.92,0.47,212413.75,3.43
1605687.78,25.93,0.47,211897.09,3.42
1605455.24,25.93,0.47,211899.69,3.42
1605471.77,25.93,0.47,211893.87,3.42
1605358.13,25.93,0.47,211849.69,3.42
1605125.59,25.93,0.47,211855.02,3.42
1604919.4,25.93,0.47,211852.99,3.42
1604713.2,25.93,0.47,211850.82,3.42
1604480.66,25.93,0.48,211853.43,3.42
1604248.12,25.93,0.48,211856.04,3.42
1604891.56,25.94,0.49,212185.72,3.43
1604923.58,25.94,0.49,212198.46,3.43
1604717.38,25.94,0.49,212127.63,3.43
1604717.38,25.94,0.49,212067.02,3.43
1604484.85,25.94,0.49,212065.9,3.43
1604759.15,25.95,0.49,211852.24,3.43
1604552.95,25.95,0.49,211781.17,3.43
1604569.48,25.95,0.5,211775.34,3.43
1604877.78,25.96,0.5,211772.03,3.43
1604645.24,25.96,0.5,211773.06,3.43
1604627.08,25.96,0.5,211869.45,3.43
1604643.61,25.96,0.5,211856.67,3.43
1604941.82,25.97,0.51,211788.85,3.43
1604735.62,25.97,0.51,211786.82,3.43
1604480.62,25.97,0.51,211785.84,3.43
1604274.42,25.97,0.51,211732.89,3.43
1604582.72,25.98,0.52,211736.81,3.43
1604304.48,25.98,0.52,211766.8,3.43
1604071.94,25.98,0.52,211762.84,3.43
1603839.41,25.98,0.52,211760.23,3.43
1603795.18,25.98,0.52,211770.19,3.43
1603562.64,25.98,0.52,211767.02,3.43
1603330.1,25.98,0.52,211768.05,3.43
1603648.06,25.99,0.53,211852.48,3.43
1603790.99,25.99,0.54,211639.26,3.43
1603584.8,25.99,0.54,211586.31,3.43
1603329.79,25.99,0.54,211591.89,3.43
1603123.59,26.0,0.54,211589.72,3.43
1603276.47,26.0,0.54,213297.49,3.46
1603021.46,26.0,0.54,213299.35,3.46
