ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1794185.93,28.88,0.37,203782.42,3.28
1794066.22,28.88,0.37,203720.25,3.28
1793798.05,28.88,0.37,203702.24,3.28
1793582.55,28.89,0.37,203638.74,3.28
1793367.06,28.89,0.37,203631.37,3.28
1793339.53,28.89,0.38,203727.5,3.28
1793516.16,28.9,0.38,203731.79,3.28
1793558.34,28.9,0.39,203791.7,3.28
1793478.4,28.9,0.39,203800.65,3.28
1793854.95,28.91,0.39,203821.34,3.28
1793775.01,28.91,0.4,203830.29,3.29
1793506.84,28.91,0.4,203832.62,3.29
1793683.47,28.92,0.4,203837.47,3.29
1793868.49,28.92,0.41,203837.96,3.29
1794521.04,28.93,0.42,204314.72,3.29
1794252.87,28.93,0.42,204299.5,3.29
1794691.91,28.94,0.43,204229.17,3.29
1795130.95,28.95,0.44,204158.85,3.29
1794862.78,28.95,0.44,204159.29,3.29
1794647.28,28.95,0.44,204151.93,3.29
1794647.28,28.95,0.44,204096.9,3.29
1794863.73,28.96,0.44,204167.86,3.29
1794863.73,28.96,0.44,204112.84,3.29
1794757.83,28.96,0.45,203676.44,3.29
1795070.45,28.97,0.45,203671.68,3.29
1795070.45,28.97,0.45,203617.13,3.29
1794854.96,28.97,0.45,203554.07,3.29
1794586.78,28.97,0.45,203556.4,3.29
1794506.84,28.97,0.45,203565.35,3.29
1794291.35,28.97,0.45,203502.29,3.29
1794638.53,28.98,0.46,203487.74,3.29
1794715.49,28.98,0.47,203295.49,3.28
1794715.49,28.98,0.47,203240.95,3.28
1794931.93,28.99,0.47,203311.91,3.28
1794663.76,28.99,0.47,203316.43,3.28
1794448.26,28.99,0.47,203321.69,3.28
1794180.09,28.99,0.47,203324.02,3.29
1793895.0,28.99,0.47,203376.06,3.29
1793679.51,28.99,0.47,203368.69,3.29
1793895.95,29.0,0.48,203439.65,3.29
1793895.95,29.0,0.48,203384.63,3.29
1793680.46,29.0,0.48,203321.37,3.29
1793680.46,29.0,0.48,203266.82,3.29
1793412.29,29.0,0.48,203265.9,3.29
1793652.68,29.01,0.48,202984.61,3.28
1793367.59,29.01,0.48,202367.56,3.27
1793382.05,29.01,0.49,202360.67,3.27
1793632.18,29.01,0.49,202361.33,3.27
1793338.06,29.01,0.49,201662.77,3.26
1793310.53,29.01,0.49,201758.9,3.26
1793324.99,29.01,0.49,201746.37,3.26
1793611.87,29.02,0.5,201686.19,3.26
1793318.26,29.02,0.5,201693.42,3.26
1793102.76,29.02,0.5,201629.91,3.26
1792887.27,29.02,0.5,201566.85,3.26
1793194.62,29.03,0.51,201627.11,3.26
1792979.12,29.03,0.51,201564.05,3.26
1792710.95,29.03,0.51,201561.08,3.26
1792442.78,29.03,0.51,201559.15,3.26
1792415.25,29.03,0.51,201655.28,3.27
1792147.07,29.04,0.51,201652.85,3.27
1791931.58,29.04,0.51,201589.79,3.27
1792207.14,29.04,0.52,201593.64,3.27
1791938.97,29.04,0.52,201592.71,3.27
1791723.48,29.04,0.52,201529.65,3.27
1791455.3,29.04,0.52,201531.98,3.27
1791239.81,29.05,0.52,201524.61,3.27
1791269.77,29.05,0.52,201536.86,3.27
1791054.27,29.05,0.52,201473.8,3.27
1790786.1,29.05,0.52,201478.32,3.27
1790962.73,29.05,0.52,201482.61,3.27
1790882.79,29.06,0.53,201491.56,3.27
1790665.75,29.06,0.53,201485.82,3.27
1790450.25,29.06,0.53,201422.31,3.27
1790370.31,29.06,0.53,201431.26,3.27
1790370.31,29.06,0.53,201376.72,3.27
1790154.82,29.06,0.53,201381.97,3.27
1789939.32,29.06,0.53,201374.61,3.27
1789833.95,29.06,0.53,201385.88,3.27
1788671.39,29.06,0.53,201350.32,3.27
1788671.39,29.06,0.53,201295.78,3.27
1788643.86,29.07,0.53,201391.91,3.27
1788675.37,29.07,0.53,202039.95,3.28
1788595.43,29.07,0.54,202048.9,3.28
1788327.26,29.07,0.54,202047.98,3.28
1788111.76,29.07,0.54,201984.55,3.28
1788141.72,29.07,0.54,201996.79,3.28
1788114.19,29.08,0.54,202092.92,3.29
1787846.01,29.08,0.54,202089.95,3.29
1787577.84,29.08,0.54,202088.02,3.29
1787907.99,29.09,0.55,202174.23,3.29
1787609.6,29.09,0.55,202162.35,3.29
1787668.7,29.09,0.56,202163.7,3.29
1787641.17,29.09,0.56,202259.83,3.29
1787373.0,29.1,0.56,202257.4,3.29
1787729.61,29.11,0.57,203563.32,3.31
1788320.83,29.12,0.58,203873.88,3.32
1788566.44,29.12,0.59,203851.37,3.32
1788566.44,29.12,0.59,203796.83,3.32
1788538.91,29.13,0.59,203892.96,3.32
1788458.97,29.13,0.59,203901.91,3.32
1788658.44,29.13,0.6,203840.78,3.32
1788548.29,29.14,0.6,203931.94,3.32
1788562.75,29.14,0.6,203925.05,3.32
1788577.21,29.14,0.6,203912.52,3.32
1788309.04,29.14,0.6,203911.27,3.32
1788040.87,29.14,0.6,203908.29,3.32
1787772.69,29.14,0.6,203912.81,3.32
1787692.75,29.14,0.6,203921.76,3.32
1787477.26,29.14,0.6,203858.25,3.32
1787693.7,29.15,0.61,203929.21,3.33
1787478.21,29.15,0.61,203865.7,3.32
1787210.04,29.15,0.61,203868.03,3.33
1787104.15,29.15,0.61,203431.64,3.32
1786835.97,29.15,0.61,203436.16,3.32
1786530.36,29.15,0.61,203689.08,3.32
1786521.71,29.16,0.62,203348.69,3.32
1786536.17,29.16,0.62,203341.8,3.32
1786536.17,29.16,0.62,203285.75,3.32
1787188.72,29.17,0.63,203762.51,3.33
1787188.72,29.17,0.63,203705.05,3.32
1786920.54,29.17,0.63,203709.57,3.33
1786652.37,29.17,0.63,203707.64,3.33
1786439.2,29.17,0.63,203692.49,3.33
1786411.67,29.17,0.63,203788.62,3.33
1786426.13,29.17,0.63,203775.87,3.33
1786440.59,29.17,0.63,203768.99,3.33
1786225.1,29.17,0.63,203761.62,3.33
1787219.03,29.19,0.65,204654.71,3.34
1788212.96,29.21,0.67,205547.81,3.36
1788227.42,29.21,0.67,205540.92,3.36
1788336.53,29.21,0.67,205536.9,3.36
1788256.59,29.21,0.67,205545.85,3.36
1788256.59,29.21,0.67,205491.3,3.36
1788333.55,29.22,0.68,205319.42,3.35
1788735.61,29.23,0.69,205713.98,3.36
1788912.24,29.24,0.7,205718.28,3.36
1788695.2,29.24,0.7,205656.84,3.36
1788427.03,29.24,0.7,205654.42,3.36
1788347.09,29.24,0.7,205639.91,3.36
1788131.59,29.24,0.7,205630.94,3.36
1787916.1,29.24,0.7,205567.68,3.36
1787916.1,29.24,0.7,205510.22,3.36
1788338.34,29.25,0.71,205631.9,3.36
1788415.29,29.26,0.72,205439.65,3.36
1788415.29,29.26,0.72,205434.91,3.36
1788438.12,29.26,0.72,205198.29,3.36
1788614.75,29.27,0.72,205202.58,3.36
1788321.14,29.27,0.72,205203.37,3.36
1788293.61,29.27,0.73,205299.49,3.36
1788264.53,29.28,0.73,205638.49,3.37
1788049.04,29.28,0.73,205575.22,3.37
1787969.1,29.28,0.73,205584.17,3.37
1787700.92,29.28,0.73,205588.69,3.37
1787917.37,29.29,0.74,205659.66,3.37
1787649.2,29.29,0.74,205660.1,3.37
1787381.02,29.29,0.74,205657.67,3.37
1787353.49,29.29,0.74,205753.8,3.37
