name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0260,,G2,96,8,412316860416,20000,8,2492,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,1000,20000,530,10600,1530,30600
0001-openb-node-0858,,G2,96,8,412316860416,20000,12,20644,412316860416,0,0,0,0,0,0,190,3800,190,3800,190,3800,80,1600,70,1400,720,14400
0002-openb-node-0619,,G2,96,8,412316860416,20000,10,5196,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,80,1600,270,5400
0003-openb-node-0582,,G2,96,8,412316860416,20000,8,140,412316860416,0,0,770,15400,0,0,680,13600,0,0,0,0,1000,20000,190,3800,2640,52800
0004-openb-node-0882,,T4,104,2,549755813888,15109,6,37500,549755813888,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0005-openb-node-1135,,G2,96,8,412316860416,20000,10,48940,412316860416,0,0,0,0,0,0,0,0,170,3400,190,3800,190,3800,190,3800,740,14800
0006-openb-node-0431,,P100,16,2,128849018880,16280,2,940,128849018880,350,5698,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
0007-openb-node-1096,,T4,104,2,549755813888,15109,4,34390,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-1052,,P100,16,2,128849018880,16280,2,4848,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0009-openb-node-0985,,P100,16,2,128849018880,16280,3,3696,128849018880,250,4070,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,440,7163
0010-openb-node-1151,,T4,104,2,549755813888,15109,4,77196,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0011-openb-node-1171,,G2,96,8,412316860416,20000,10,536,412316860416,0,0,190,3800,0,0,530,10600,540,10800,190,3800,60,1200,0,0,1510,30200
0012-openb-node-0016,,P100,64,2,274877906944,16280,4,8292,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013-openb-node-0003,,P100,64,2,274877906944,16280,5,2348,274877906944,70,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1139
0014-openb-node-0877,,T4,104,2,549755813888,15109,4,81196,549755813888,30,453,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0015-openb-node-0256,,V100M32,96,8,824633720832,32510,9,2984,824633720832,0,0,0,0,0,0,0,0,0,0,120,3901,0,0,0,0,120,3901
0016-openb-node-0382,,G2,96,8,412316860416,20000,10,2440,412316860416,0,0,0,0,60,1200,530,10600,0,0,0,0,0,0,0,0,590,11800
0017-openb-node-0280,,G2,96,8,412316860416,20000,8,2088,412316860416,0,0,0,0,0,0,0,0,190,3800,1000,20000,350,7000,670,13400,2210,44200
0018-openb-node-0080,,G2,96,8,412316860416,20000,8,3014,412316860416,530,10600,0,0,0,0,0,0,0,0,0,0,530,10600,190,3800,1250,25000
0019-openb-node-0320,,G3,128,8,824633720832,30000,3,15500,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0020-openb-node-1170,,G3,128,8,824633720832,30000,1,7800,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021-openb-node-0764,,G2,96,8,412316860416,20000,9,1384,412316860416,0,0,0,0,70,1400,0,0,0,0,530,10600,0,0,0,0,600,12000
0022-openb-node-0717,,T4,104,2,549755813888,15109,4,56148,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023-openb-node-0074,,G2,96,8,412316860416,20000,8,7692,412316860416,0,0,680,13600,0,0,0,0,0,0,0,0,1000,20000,530,10600,2210,44200
0024-openb-node-0430,,P100,16,2,128849018880,16280,2,348,128849018880,190,3093,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1190,19373
0025-openb-node-0466,,G2,96,8,412316860416,20000,8,2132,412316860416,0,0,0,0,0,0,0,0,630,12600,0,0,530,10600,680,13600,1840,36800
0026-openb-node-0989,,P100,8,2,64424509440,16280,2,1696,64424509440,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0027-openb-node-0321,,G2,96,8,412316860416,20000,5,648,412316860416,0,0,0,0,0,0,890,17800,0,0,0,0,0,0,0,0,890,17800
0028-openb-node-0014,,P100,64,2,274877906944,16280,4,92,274877906944,70,1139,350,5698,0,0,0,0,0,0,0,0,0,0,0,0,420,6837
0029-openb-node-1026,,T4,104,2,549755813888,15109,5,19648,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0030-openb-node-0019,,P100,64,2,274877906944,16280,5,20792,274877906944,0,0,140,2279,0,0,0,0,0,0,0,0,0,0,0,0,140,2279
0031-openb-node-0780,,T4,104,2,549755813888,15109,5,56532,549755813888,60,906,30,453,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0032-openb-node-0849,,G2,96,8,412316860416,20000,10,3144,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,530,10600,720,14400
0033-openb-node-0775,,T4,104,2,549755813888,15109,8,4132,549755813888,60,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0034-openb-node-1196,,T4,104,2,549755813888,15109,6,42348,549755813888,180,2719,60,906,0,0,0,0,0,0,0,0,0,0,0,0,240,3625
0035-openb-node-1066,,G2,96,8,412316860416,20000,9,224,412316860416,0,0,60,1200,0,0,190,3800,540,10800,0,0,530,10600,350,7000,1670,33400
0036-openb-node-0853,,G2,96,8,412316860416,20000,9,2734,412316860416,0,0,0,0,530,10600,0,0,0,0,0,0,190,3800,190,3800,910,18200
0037-openb-node-1080,,V100M16,8,1,34359738368,16160,2,0,34359738368,620,10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,10019
0038-openb-node-0912,,G2,96,8,412316860416,20000,10,6868,412316860416,0,0,190,3800,130,2600,190,3800,0,0,0,0,190,3800,60,1200,760,15200
0039-openb-node-0477,,G2,96,8,412316860416,20000,10,3796,412316860416,0,0,0,0,190,3800,0,0,0,0,190,3800,0,0,350,7000,730,14600
0040-openb-node-0632,,G2,96,8,412316860416,20000,11,7428,412316860416,0,0,130,2600,0,0,190,3800,190,3800,190,3800,60,1200,0,0,760,15200
0041-openb-node-1161,,T4,104,2,549755813888,15109,5,64440,549755813888,60,906,30,453,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0042-openb-node-0333,,G3,128,8,824633720832,30000,10,2232,824633720832,0,0,0,0,0,0,70,2100,0,0,530,15900,0,0,190,5700,790,23700
0043-openb-node-1003,,P100,16,2,128849018880,16280,3,3696,128849018880,190,3093,30,488,0,0,0,0,0,0,0,0,0,0,0,0,220,3581
0044-openb-node-0169,,G3,128,8,824633720832,30000,3,0,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0045-openb-node-0141,,G2,96,8,412316860416,20000,11,384,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,30,600,210,4200,240,4800
0046-openb-node-0681,,G2,96,8,412316860416,20000,11,332,412316860416,60,1200,0,0,190,3800,410,8200,190,3800,60,1200,190,3800,190,3800,1290,25800
0047-openb-node-0561,,G2,96,8,412316860416,20000,11,2448,412316860416,0,0,0,0,0,0,0,0,190,3800,0,0,0,0,220,4400,410,8200
0048-openb-node-0153,,G2,96,8,412316860416,20000,9,548,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,2600,130,2600
0049-openb-node-0390,,T4,104,2,549755813888,15109,3,56940,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0050-openb-node-0928,,T4,104,2,549755813888,15109,6,25392,549755813888,0,0,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0051-openb-node-0384,,G2,96,8,412316860416,20000,10,3872,412316860416,0,0,0,0,190,3800,190,3800,0,0,0,0,60,1200,120,2400,560,11200
0052-openb-node-0893,,G2,96,8,412316860416,20000,2,23800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0053-openb-node-0065,,V100M32,96,8,824633720832,32510,12,6432,824633720832,90,2925,0,0,0,0,190,6176,0,0,140,4551,190,6176,0,0,610,19828
0054-openb-node-0511,,G2,96,8,412316860416,20000,11,2080,412316860416,0,0,0,0,530,10600,190,3800,190,3800,0,0,290,5800,0,0,1200,24000
0055-openb-node-0282,,G2,96,8,412316860416,20000,10,2132,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,70,1400,70,1400,330,6600
0056-openb-node-0168,,G3,128,8,824633720832,30000,11,38034,824633720832,0,0,0,0,0,0,0,0,0,0,60,1800,190,5700,180,5400,430,12900
0057-openb-node-0957,,G2,96,8,412316860416,20000,10,2026,412316860416,0,0,530,10600,0,0,0,0,0,0,190,3800,190,3800,410,8200,1320,26400
0058-openb-node-0543,,P100,16,2,128849018880,16280,2,1448,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0059-openb-node-0422,,T4,104,2,549755813888,15109,4,37300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0060-openb-node-0391,,T4,104,2,549755813888,15109,4,63940,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
