ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,2,0,6212,0
2,10,810,6212,810
3,12,1810,6212,1810
4,14,2810,6212,2810
5,22,3810,6212,3810
6,30,4620,6212,4620
7,32,5090,6212,5090
8,34,5740,6212,5740
9,36,6550,6212,6550
10,38,6780,6212,6780
11,40,7590,6212,7590
12,42,8590,6212,8590
13,44,9060,6212,9060
14,46,9520,6212,9520
15,54,9520,6212,9520
16,56,10520,6212,10520
17,64,10980,6212,10980
18,66,11440,6212,11440
19,67,12440,6212,12440
20,69,13440,6212,13440
21,71,13440,6212,13440
22,79,13910,6212,13910
23,87,13910,6212,13910
24,95,14720,6212,14720
25,97,14880,6212,14880
26,105,14880,6212,14880
27,107,15880,6212,15880
28,109,16880,6212,16880
29,117,17690,6212,17690
30,125,18690,6212,18690
31,129,18800,6212,18800
32,137,19800,6212,19800
33,139,19800,6212,19800
34,141,20270,6212,20270
35,149,21270,6212,21270
36,157,22270,6212,22270
37,165,23270,6212,23270
38,173,24270,6212,24270
38,173,25270,6212,25270
39,181,25740,6212,25740
40,189,25740,6212,25740
41,191,26740,6212,26740
42,193,26740,6212,26740
43,195,27740,6212,27740
44,203,28060,6212,28060
45,211,29060,6212,29060
46,219,29060,6212,29060
47,221,29380,6212,29380
48,229,30380,6212,30380
49,237,31190,6212,31190
50,239,31190,6212,31190
51,241,31560,6212,31560
52,243,32560,6212,32560
53,245,33560,6212,33560
54,247,34560,6212,34560
55,255,34880,6212,34880
56,263,35880,6212,35880
57,267,36880,6212,36880
58,275,37880,6212,37880
59,283,38690,6212,38690
60,291,39690,6212,39690
61,293,40690,6212,40690
62,295,41010,6212,41010
63,303,42010,6212,42010
64,305,43010,6212,43010
65,313,44010,6212,44010
66,315,45010,6212,45010
67,317,45010,6212,45010
68,325,46010,6212,46010
69,327,47010,6212,47010
70,329,47480,6212,47480
71,331,48290,6212,48290
72,339,49290,6212,49290
73,347,50290,6212,50290
74,349,51100,6212,51100
75,351,51100,6212,51100
76,353,52100,6212,52100
77,355,53100,6212,53100
78,357,53910,6212,53910
79,365,57910,6212,57910
80,369,57910,6212,57910
81,371,58720,6212,58720
82,373,58720,6212,58720
83,375,59530,6212,59530
84,377,60530,6212,60530
85,385,61530,6212,61530
85,385,61530,6212,61530
86,393,62340,6212,62340
87,395,63340,6212,63340
88,397,64340,6212,64340
89,405,65340,6212,65340
90,413,66340,6212,66340
91,415,66990,6212,66990
92,423,67800,6212,67800
92,423,68800,6212,68800
93,425,69800,6212,69800
94,427,70270,6212,70270
95,435,70590,6212,70590
96,443,70590,6212,70590
97,445,71400,6212,71400
98,453,72210,6212,72210
99,455,72760,6212,72760
100,457,73570,6212,73570
101,465,73570,6212,73570
102,467,73570,6212,73570
103,475,74570,6212,74570
104,477,75570,6212,75570
105,479,76570,6212,76570
106,487,77380,6212,77380
107,495,78380,6212,78380
107,495,78850,6212,78850
108,497,79850,6212,79850
109,499,80850,6212,80850
110,501,81660,6212,81660
111,509,82660,6212,82660
112,511,83660,6212,83660
113,515,84660,6212,84660
114,523,84660,6212,84660
115,525,84660,6212,84660
116,533,84660,6212,84660
117,535,84660,6212,84660
117,535,85660,6212,85660
118,537,86660,6212,86660
119,545,87660,6212,87660
120,547,88470,6212,88470
121,549,88470,6212,88470
122,557,88470,6212,88470
123,565,89470,6212,89470
123,565,89470,6212,89470
124,567,89470,6212,89470
125,575,89470,6212,89470
126,577,90120,6212,90120
127,579,90930,6212,90930
128,581,90930,6212,90930
129,583,91930,6212,91930
130,591,92930,6212,92930
131,599,93400,6212,93400
132,601,94400,6212,94400
133,603,95400,6212,95400
133,603,96210,6212,96210
134,605,97210,6212,97210
134,605,98210,6212,98210
135,613,98210,6212,98210
136,621,98860,6212,98860
137,623,99860,6212,99860
138,625,99860,6212,99860
139,633,100510,6212,100510
140,635,100980,6212,100980
140,635,101980,6212,101980
141,637,102790,6212,102790
142,645,103600,6212,103600
142,645,104600,6212,104600
143,647,105410,6212,105410
143,647,106410,6212,106410
144,655,106880,6212,106880
145,657,107880,6212,107880
146,659,108880,6212,108880
147,661,109690,6212,109690
148,669,110690,6212,110690
149,671,111010,6212,111010
150,673,111560,6212,111560
151,681,112560,6212,112560
152,683,113560,6212,113560
153,685,114020,6212,114020
