ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
2204453.28,35.49,0.31,189613.52,3.05
2204298.9,35.49,0.32,189621.13,3.05
2204054.07,35.49,0.32,189571.99,3.05
2203809.23,35.49,0.32,189522.85,3.05
2203466.3,35.49,0.32,189524.83,3.05
2203311.93,35.5,0.32,189532.44,3.05
2203672.93,35.5,0.33,189689.48,3.06
2203992.0,35.51,0.34,189830.65,3.06
2203935.3,35.52,0.34,189928.01,3.06
2204286.54,35.52,0.34,189960.67,3.06
2204229.84,35.53,0.35,190058.03,3.06
2203985.01,35.53,0.35,190009.25,3.06
2204474.24,35.54,0.36,190302.93,3.07
2204641.47,35.54,0.36,190453.23,3.07
2204641.47,35.54,0.36,190432.71,3.07
2204396.63,35.55,0.36,190383.57,3.07
2204483.23,35.55,0.37,190384.97,3.07
2204680.68,35.56,0.37,190337.64,3.07
2203973.15,35.55,0.37,189620.2,3.06
2203728.31,35.55,0.37,189571.42,3.06
2203728.31,35.55,0.37,189528.75,3.06
2203839.38,35.56,0.37,189533.29,3.06
2203866.23,35.56,0.37,189541.94,3.06
2203711.86,35.56,0.37,189549.55,3.06
2204010.83,35.57,0.38,189503.26,3.06
2204023.22,35.57,0.38,189497.59,3.06
2203778.38,35.57,0.38,189448.72,3.06
2203750.37,35.57,0.39,189249.55,3.05
2203596.0,35.57,0.39,189257.17,3.06
2203253.07,35.57,0.39,189257.08,3.06
2203584.42,35.58,0.39,189239.09,3.06
2203241.49,35.58,0.39,189241.08,3.06
2204126.36,35.6,0.41,190152.79,3.07
2204315.62,35.6,0.41,190209.71,3.07
2203960.69,35.6,0.41,190213.45,3.07
2203584.72,35.6,0.41,190219.43,3.07
2203241.8,35.6,0.41,190221.41,3.07
2202898.87,35.6,0.42,190223.39,3.07
2202654.03,35.6,0.42,190220.03,3.07
2202765.11,35.61,0.42,190224.57,3.07
2202791.95,35.61,0.42,190233.21,3.08
2202547.11,35.61,0.42,190184.07,3.07
2202547.11,35.61,0.42,190141.52,3.07
2202302.28,35.61,0.42,190092.66,3.07
2202517.8,35.62,0.43,190096.15,3.07
2202174.87,35.62,0.43,190084.48,3.07
2202187.26,35.62,0.43,190078.81,3.07
2202366.18,35.62,0.43,190025.34,3.07
2202023.25,35.62,0.43,190026.3,3.07
2201868.88,35.62,0.43,190033.91,3.07
2203077.96,35.64,0.45,191140.24,3.09
2203338.56,35.65,0.46,191093.21,3.09
2203093.72,35.65,0.46,191100.0,3.09
2202848.88,35.65,0.46,191050.85,3.09
2202604.05,35.66,0.46,191001.99,3.09
2202819.57,35.66,0.46,191005.48,3.09
2202476.64,35.66,0.47,191005.4,3.09
2202231.8,35.66,0.47,190988.94,3.09
2201888.87,35.66,0.47,190986.43,3.09
2201734.5,35.67,0.47,190994.04,3.09
2201391.57,35.67,0.47,190992.28,3.09
2201146.73,35.67,0.47,190943.42,3.09
2201428.31,35.67,0.47,190968.83,3.09
2201085.38,35.67,0.47,190968.75,3.1
2200840.54,35.68,0.47,190919.89,3.09
2200497.62,35.68,0.48,190921.87,3.1
2200252.78,35.68,0.48,190873.09,3.1
2200252.78,35.68,0.48,190830.43,3.09
2199909.85,35.68,0.48,190830.35,3.09
2199881.85,35.68,0.48,190656.75,3.09
2200071.1,35.69,0.49,190713.67,3.09
2199901.2,35.69,0.49,190280.11,3.09
2199558.27,35.69,0.49,190282.1,3.09
2199215.35,35.69,0.49,190267.42,3.09
2199158.64,35.7,0.49,190364.78,3.09
2199158.64,35.7,0.49,190322.24,3.09
