ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,8,810,6212,810
2,16,1810,6212,1810
3,20,1810,6212,1810
4,28,2810,6212,2810
5,36,3620,6212,3620
6,38,4620,6212,4620
7,40,5430,6212,5430
8,42,5900,6212,5900
9,46,6900,6212,6900
10,54,6900,6212,6900
11,62,6900,6212,6900
12,64,7220,6212,7220
13,66,8220,6212,8220
14,74,9030,6212,9030
15,82,10030,6212,10030
16,90,10620,6212,10620
17,98,10620,6212,10620
18,106,10620,6212,10620
19,108,11170,6212,11170
20,110,11980,6212,11980
21,118,12980,6212,12980
22,126,13980,6212,13980
23,134,14450,6212,14450
24,142,14920,6212,14920
25,144,15920,6212,15920
26,152,16920,6212,16920
27,160,16920,6212,16920
28,168,17920,6212,17920
29,170,18920,6212,18920
30,178,19920,6212,19920
31,180,20920,6212,20920
31,180,21730,6212,21730
32,182,22540,6212,22540
33,186,23540,6212,23540
34,194,27540,6212,27540
35,196,28540,6212,28540
36,204,29540,6212,29540
37,206,30010,6212,30010
38,208,30480,6212,30480
39,216,30950,6212,30950
40,224,31950,6212,31950
41,232,32410,6212,32410
42,240,33060,6212,33060
42,240,34060,6212,34060
43,244,35060,6212,35060
44,246,35060,6212,35060
45,250,35870,6212,35870
46,258,36870,6212,36870
47,260,37340,6212,37340
48,262,37340,6212,37340
49,270,38340,6212,38340
50,278,39340,6212,39340
51,280,40340,6212,40340
52,282,41340,6212,41340
53,290,41800,6212,41800
54,298,41800,6212,41800
55,300,42610,6212,42610
56,308,50610,6212,50610
57,310,51610,6212,51610
58,318,52610,6212,52610
59,326,53080,6212,53080
60,334,54080,6212,54080
61,336,54890,6212,54890
62,344,55890,6212,55890
63,346,56700,6212,56700
64,354,57700,6212,57700
65,362,57700,6212,57700
66,370,58700,6212,58700
