ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
871159.51,14.03,0.68,345277.98,5.56
871131.34,14.03,0.68,345264.6,5.56
871173.79,14.03,0.68,345898.46,5.57
871145.62,14.03,0.69,345913.42,5.57
871306.14,14.03,0.69,345951.24,5.57
871157.67,14.03,0.69,345839.37,5.57
871197.9,14.04,0.69,345919.49,5.57
871483.26,14.04,0.7,346006.77,5.58
871334.79,14.04,0.7,345945.18,5.58
871455.08,14.04,0.7,345983.5,5.58
871512.7,14.05,0.7,345928.57,5.57
871887.85,14.05,0.71,346010.24,5.58
871739.38,14.05,0.71,345967.58,5.58
871899.91,14.06,0.71,346005.4,5.58
871871.73,14.06,0.71,346004.11,5.58
872224.12,14.07,0.72,345984.95,5.58
872224.12,14.07,0.72,345900.38,5.58
872281.74,14.07,0.72,345845.45,5.58
872550.98,14.07,0.73,345739.1,5.58
872591.21,14.07,0.73,345819.22,5.58
872563.03,14.08,0.73,345808.76,5.58
872534.85,14.08,0.73,345798.31,5.58
872940.51,14.09,0.74,345820.54,5.58
873346.16,14.09,0.75,345842.78,5.58
873197.69,14.09,0.75,345799.89,5.58
873169.51,14.09,0.75,345763.23,5.58
873227.13,14.1,0.75,345702.74,5.58
873198.95,14.1,0.75,345728.31,5.58
873050.48,14.1,0.75,345685.65,5.58
873022.3,14.1,0.76,345711.21,5.58
872873.83,14.1,0.76,345598.1,5.58
872914.06,14.1,0.76,345514.43,5.58
872954.3,14.1,0.76,345404.18,5.58
872805.83,14.1,0.76,345313.38,5.58
872332.23,14.11,0.76,345883.7,5.59
872183.76,14.11,0.76,345770.59,5.59
872155.59,14.11,0.76,345741.44,5.59
872440.95,14.11,0.77,345828.73,5.59
872726.31,14.12,0.77,345916.01,5.6
873131.96,14.13,0.78,345938.25,5.6
873103.78,14.13,0.78,345924.97,5.6
873517.62,14.14,0.79,345919.64,5.6
873816.31,14.14,0.8,345922.97,5.6
873667.84,14.14,0.8,346070.65,5.6
873519.37,14.14,0.8,346000.87,5.6
873519.37,14.14,0.8,345917.14,5.6
873559.6,14.14,0.8,345361.3,5.59
873531.42,14.15,0.8,345376.26,5.59
874213.88,14.16,0.81,345545.08,5.6
874213.88,14.16,0.81,345545.12,5.6
874185.71,14.16,0.82,345493.06,5.6
874157.53,14.16,0.82,345479.78,5.6
874009.06,14.16,0.82,345366.68,5.6
873860.59,14.16,0.82,345254.26,5.6
