name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0991,,G2,96,8,412316860416,20000,8,184,412316860416,0,0,0,0,0,0,0,0,530,10600,1000,20000,530,10600,530,10600,2590,51800
0001-openb-node-0923,,G2,96,8,412316860416,20000,9,3332,412316860416,0,0,0,0,0,0,0,0,0,0,350,7000,190,3800,350,7000,890,17800
0002-openb-node-0034,,G2,96,8,412316860416,20000,9,2680,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,3200,160,3200
0003-openb-node-0061,,G2,96,8,412316860416,20000,11,1524,412316860416,0,0,0,0,0,0,0,0,60,1200,0,0,410,8200,40,800,510,10200
0004-openb-node-0882,,T4,104,2,549755813888,15109,3,72392,549755813888,310,4683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,4683
0005-openb-node-1095,,T4,104,2,549755813888,15109,5,60192,549755813888,0,0,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0006-openb-node-0095,,G2,96,8,412316860416,20000,10,3024,412316860416,0,0,0,0,0,0,60,1200,1000,20000,210,4200,530,10600,190,3800,1990,39800
0007-openb-node-0770,,G2,96,8,412316860416,20000,11,6628,412316860416,0,0,0,0,0,0,190,3800,60,1200,190,3800,190,3800,210,4200,840,16800
0008-openb-node-0263,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,410,6674,0,0,0,0,0,0,0,0,0,0,0,0,410,6674
0009-openb-node-0057,,T4,96,4,412316860416,15109,8,37496,412316860416,0,0,150,2266,0,0,190,2870,0,0,0,0,0,0,0,0,340,5136
0010-openb-node-1099,,T4,104,2,549755813888,15109,4,61500,549755813888,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0011-openb-node-0541,,G2,96,8,412316860416,20000,11,2544,412316860416,0,0,0,0,0,0,0,0,60,1200,190,3800,190,3800,180,3600,620,12400
0012-openb-node-0700,,T4,104,2,549755813888,15109,3,69640,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0013-openb-node-0964,,P100,16,2,128849018880,16280,2,948,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0014-openb-node-1098,,T4,104,2,549755813888,15109,3,57448,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0015-openb-node-0780,,T4,104,2,549755813888,15109,6,48940,549755813888,190,2870,160,2417,0,0,0,0,0,0,0,0,0,0,0,0,350,5287
0016-openb-node-0660,,G2,96,8,412316860416,20000,8,6048,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,190,3800
0017-openb-node-0129,,T4,104,2,549755813888,15109,2,84848,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0018-openb-node-1094,,T4,104,2,549755813888,15109,5,56292,549755813888,210,3172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,3172
0019-openb-node-1005,,T4,104,2,549755813888,15109,6,24000,549755813888,0,0,40,604,0,0,0,0,0,0,0,0,0,0,0,0,40,604
