ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,8,810,6212,810
2,10,1810,6212,1810
3,18,2810,6212,2810
4,26,3810,6212,3810
5,34,4280,6212,4280
6,38,5280,6212,5280
7,40,6280,6212,6280
8,48,7280,6212,7280
9,56,8090,6212,8090
10,58,9090,6212,9090
11,66,9200,6212,9200
12,68,10010,6212,10010
13,70,11010,6212,11010
14,78,11820,6212,11820
15,86,12820,6212,12820
16,94,13630,6212,13630
17,96,14440,6212,14440
18,104,15440,6212,15440
19,112,16250,6212,16250
20,120,17250,6212,17250
21,128,18250,6212,18250
22,136,18480,6212,18480
23,144,26480,6212,26480
24,152,27480,6212,27480
25,154,27850,6212,27850
26,156,27850,6212,27850
27,164,31850,6212,31850
28,166,31850,6212,31850
29,174,32440,6212,32440
30,178,32910,6212,32910
31,186,33720,6212,33720
32,194,33720,6212,33720
33,202,34720,6212,34720
34,210,35530,6212,35530
35,212,36530,6212,36530
35,212,36530,6212,36530
36,220,37530,6212,37530
37,228,37750,6212,37750
38,236,38750,6212,38750
39,238,39070,6212,39070
40,246,39620,6212,39620
41,248,40430,6212,40430
42,256,41080,6212,41080
43,258,41080,6212,41080
44,266,42080,6212,42080
45,274,50080,6212,50080
46,282,51080,6212,51080
47,290,52080,6212,52080
48,298,53080,6212,53080
49,300,53890,6212,53890
50,302,54890,6212,54890
51,310,55890,6212,55890
52,318,56540,6212,56540
53,322,58540,6212,58540
54,330,59540,6212,59540
55,338,60540,6212,60540
56,346,60910,6212,60910
57,348,61910,6212,61910
58,350,61910,6212,61910
59,358,62380,6212,62380
60,360,62540,6212,62540
61,368,63010,6212,63010
62,376,64010,6212,64010
62,376,65010,6212,65010
63,378,65820,6212,65820
64,380,66630,6212,66630
65,382,67100,6212,67100
66,390,67570,6212,67570
67,398,69570,6212,69570
68,400,70030,6212,70030
69,402,71030,6212,71030
70,404,72030,6212,72030
71,412,72840,6212,72840
72,416,73840,6212,73840
73,424,74840,6212,74840
74,426,75840,6212,75840
75,428,76300,6212,76300
76,430,76770,6212,76770
77,432,77770,6212,77770
78,436,78240,6212,78240
79,444,79240,6212,79240
80,446,80240,6212,80240
81,454,81050,6212,81050
82,456,82050,6212,82050
83,458,82280,6212,82280
84,466,83280,6212,83280
85,468,84280,6212,84280
86,476,84750,6212,84750
87,478,85750,6212,85750
88,486,86750,6212,86750
89,488,87750,6212,87750
90,490,88070,6212,88070
91,498,89070,6212,89070
92,506,97070,6212,97070
93,508,97880,6212,97880
94,516,98880,6212,98880
95,524,99690,6212,99690
96,526,100690,6212,100690
97,534,101500,6212,101500
98,536,102500,6212,102500
99,538,102500,6212,102500
100,546,103500,6212,103500
101,554,103500,6212,103500
102,562,104500,6212,104500
102,562,105500,6212,105500
102,562,106150,6212,106150
103,564,107150,6212,107150
