ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
873938.82,14.07,1.01,447217.9,7.2
873783.44,14.07,1.01,447142.83,7.2
873819.07,14.07,1.01,447124.6,7.2
873664.67,14.07,1.01,447009.73,7.2
874136.14,14.08,1.02,447050.24,7.2
875576.08,14.11,1.04,448259.22,7.22
875420.69,14.11,1.04,448200.84,7.22
875456.32,14.11,1.05,448244.05,7.22
875680.68,14.11,1.05,448307.3,7.23
875525.29,14.11,1.05,448161.21,7.23
876131.83,14.12,1.06,448355.12,7.23
876162.82,14.13,1.06,447898.2,7.22
876007.43,14.13,1.06,447751.69,7.22
876231.8,14.13,1.07,447814.93,7.22
876267.43,14.14,1.07,447729.37,7.22
876491.79,14.14,1.08,447792.61,7.22
876525.13,14.14,1.08,447837.01,7.23
876560.76,14.15,1.08,447815.49,7.23
876785.12,14.15,1.09,447878.73,7.23
876820.75,14.15,1.09,447905.52,7.23
876856.38,14.16,1.09,447874.61,7.23
877488.64,14.17,1.1,447887.66,7.23
876443.48,14.17,1.1,447554.68,7.24
876479.11,14.17,1.11,447581.46,7.24
877001.62,14.18,1.12,447222.38,7.23
877001.62,14.18,1.12,447136.35,7.23
876574.05,14.18,1.12,446946.78,7.23
876574.05,14.18,1.12,446860.75,7.23
876990.87,14.19,1.13,446838.64,7.23
877291.62,14.2,1.13,446773.18,7.23
877515.98,14.2,1.14,446836.42,7.23
877611.98,14.2,1.14,446801.98,7.23
877647.61,14.21,1.14,446788.31,7.23
877871.97,14.21,1.15,446866.8,7.23
877716.59,14.21,1.15,446740.78,7.23
877716.59,14.21,1.15,446770.53,7.23
877752.22,14.22,1.15,446787.09,7.24
878392.22,14.23,1.16,446751.95,7.24
878427.85,14.23,1.17,446795.17,7.24
878799.35,14.24,1.17,447043.75,7.24
879253.36,14.24,1.18,447033.69,7.24
879286.7,14.25,1.18,447078.09,7.24
879649.68,14.25,1.19,447088.7,7.25
879649.68,14.25,1.19,447002.66,7.24
879685.31,14.26,1.19,446988.99,7.24
878640.16,14.26,1.19,446656.0,7.25
878675.79,14.26,1.2,446618.29,7.25
878711.42,14.26,1.2,446645.07,7.25
878747.05,14.27,1.2,446688.29,7.25
878780.39,14.27,1.21,446727.98,7.25
879084.36,14.28,1.21,446466.7,7.25
879119.99,14.28,1.22,446493.48,7.25
879482.98,14.29,1.22,446504.09,7.25
879300.37,14.29,1.23,445640.81,7.24
879336.0,14.29,1.23,445657.37,7.24
879371.63,14.3,1.23,445673.93,7.25
879913.88,14.31,1.24,445632.64,7.24
879758.49,14.3,1.24,445574.26,7.25
879758.49,14.3,1.24,445488.22,7.24
880229.97,14.31,1.25,445528.73,7.24
880613.41,14.32,1.26,445413.03,7.24
881084.89,14.33,1.26,445453.54,7.24
881120.52,14.33,1.27,445457.82,7.25
880966.12,14.33,1.27,445269.39,7.24
880999.46,14.33,1.27,445313.79,7.25
881032.8,14.34,1.27,445174.05,7.24
881313.26,14.34,1.28,445243.06,7.25
881784.73,14.35,1.29,445283.57,7.25
881665.96,14.35,1.29,445095.45,7.25
881954.64,14.36,1.3,445036.07,7.25
881799.25,14.36,1.29,444961.53,7.25
881643.86,14.36,1.29,444886.99,7.25
881868.22,14.36,1.3,444950.23,7.25
881733.13,14.36,1.3,444838.78,7.25
881768.76,14.37,1.3,444843.06,7.25
882054.42,14.37,1.31,444619.22,7.25
882343.1,14.38,1.32,444559.84,7.25
882623.55,14.39,1.32,444628.85,7.25
882468.16,14.39,1.32,444570.47,7.25
882774.35,14.39,1.33,444780.94,7.25
882809.98,14.39,1.33,444767.27,7.25
882654.59,14.39,1.33,444708.89,7.25
882878.95,14.4,1.34,444772.13,7.25
882723.56,14.4,1.34,444619.38,7.25
883164.8,14.41,1.34,444636.9,7.25
883200.43,14.41,1.35,444663.68,7.26
883045.04,14.41,1.35,444605.3,7.26
883516.51,14.42,1.36,444645.8,7.26
883361.13,14.42,1.35,444587.42,7.26
883396.76,14.42,1.36,444614.2,7.26
883241.37,14.42,1.36,444539.66,7.26
883612.87,14.43,1.36,444606.88,7.26
883648.5,14.43,1.37,444623.44,7.26
882603.34,14.43,1.37,444290.46,7.27
882636.69,14.44,1.37,444334.86,7.27
882672.32,14.44,1.37,444361.64,7.27
882896.68,14.44,1.38,444424.88,7.27
882741.29,14.44,1.38,444349.81,7.27
882965.65,14.45,1.39,444413.05,7.27
882810.26,14.45,1.39,444354.67,7.27
882810.26,14.45,1.39,444245.7,7.27
882845.89,14.45,1.39,444254.8,7.27
882845.89,14.45,1.39,444102.05,7.27
882881.52,14.46,1.39,444145.27,7.27
882715.25,14.46,1.39,444260.71,7.28
882876.33,14.46,1.4,444474.44,7.28
882720.94,14.46,1.39,444330.82,7.28
882565.55,14.46,1.39,444184.3,7.28
