ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
880007.21,14.17,1.48,585362.53,9.42
880131.01,14.17,1.48,585394.73,9.43
880693.33,14.18,1.49,585458.62,9.43
880817.13,14.19,1.49,585439.54,9.43
881360.21,14.2,1.5,585414.9,9.43
881191.22,14.2,1.5,585307.71,9.43
881315.01,14.2,1.51,585293.11,9.43
881146.02,14.2,1.51,585168.74,9.43
881146.02,14.2,1.51,584947.38,9.43
881269.82,14.2,1.51,584995.09,9.43
881539.36,14.21,1.52,585020.86,9.43
881370.37,14.21,1.52,584896.49,9.43
881494.16,14.21,1.52,584969.49,9.43
881617.96,14.22,1.53,585001.68,9.43
881312.67,14.22,1.53,584589.77,9.43
881599.21,14.22,1.53,584721.16,9.43
881156.49,14.22,1.53,584170.76,9.43
881827.7,14.23,1.54,584152.12,9.43
881664.96,14.23,1.54,583765.75,9.42
881300.54,14.23,1.54,583534.09,9.42
881806.34,14.24,1.55,583505.97,9.42
881637.35,14.24,1.55,583313.62,9.42
881761.15,14.25,1.55,583299.01,9.42
882073.72,14.25,1.56,583399.24,9.43
882197.51,14.26,1.56,583472.24,9.43
885488.38,14.31,1.62,586190.71,9.47
885612.18,14.31,1.62,586263.72,9.48
885627.39,14.32,1.62,585790.86,9.47
885751.19,14.32,1.63,585863.87,9.47
885577.63,14.32,1.63,585212.55,9.46
885408.64,14.32,1.63,585105.36,9.46
885970.96,14.33,1.64,585169.26,9.46
886283.52,14.34,1.64,585269.48,9.47
886917.92,14.35,1.66,585402.56,9.47
887423.73,14.36,1.66,585374.44,9.47
887547.52,14.36,1.67,585377.39,9.47
888202.57,14.37,1.68,585455.2,9.47
888478.36,14.38,1.69,585618.09,9.48
888602.15,14.38,1.69,585650.29,9.48
888433.16,14.38,1.69,585543.1,9.48
888270.42,14.38,1.69,585324.82,9.48
888270.42,14.38,1.69,585192.33,9.47
888636.29,14.39,1.7,584598.02,9.47
887620.9,14.39,1.7,584114.55,9.47
887744.7,14.4,1.7,584146.74,9.47
887575.71,14.39,1.7,583949.14,9.47
886560.33,14.4,1.7,583465.67,9.48
886684.12,14.4,1.71,583451.06,9.48
886970.66,14.41,1.71,583582.45,9.48
887240.2,14.41,1.72,583606.75,9.48
887071.21,14.41,1.72,583482.38,9.48
887071.21,14.41,1.72,583389.7,9.48
886055.82,14.41,1.72,582906.23,9.48
885886.83,14.41,1.72,582781.86,9.48
885717.84,14.41,1.72,582584.25,9.48
885717.84,14.41,1.72,582491.57,9.48
886030.41,14.42,1.73,582591.8,9.48
885861.42,14.42,1.73,582467.42,9.48
886423.74,14.43,1.74,582540.25,9.48
886547.54,14.43,1.74,582572.44,9.48
886822.54,14.44,1.75,582290.64,9.48
886460.04,14.44,1.75,582026.45,9.48
887115.08,14.45,1.76,582079.88,9.48
887260.28,14.45,1.76,582036.11,9.48
887384.07,14.46,1.77,582021.51,9.48
887432.58,14.46,1.77,581962.34,9.48
887556.38,14.46,1.77,581994.54,9.48
887680.18,14.47,1.78,582067.54,9.49
888242.5,14.48,1.79,582131.43,9.49
888366.3,14.48,1.79,582227.21,9.49
888511.49,14.48,1.79,582109.77,9.49
888781.03,14.49,1.8,582135.54,9.49
888418.53,14.49,1.8,581871.34,9.49
887403.14,14.49,1.8,581413.38,9.49
887548.33,14.49,1.8,581295.93,9.49
887385.59,14.49,1.8,580958.02,9.49
887509.39,14.5,1.81,580943.41,9.49
887668.4,14.5,1.81,580916.47,9.49
887792.2,14.51,1.81,580854.09,9.49
887951.21,14.51,1.82,580827.14,9.49
888096.4,14.51,1.82,580783.38,9.49
888636.06,14.52,1.83,580766.24,9.49
888467.07,14.52,1.83,580565.83,9.49
889192.43,14.54,1.84,580591.09,9.49
889212.21,14.54,1.85,580586.35,9.49
889462.5,14.54,1.85,580418.7,9.49
889462.5,14.54,1.85,580197.35,9.49
889293.51,14.54,1.85,580004.99,9.49
889158.41,14.54,1.85,579416.45,9.48
889444.95,14.55,1.86,579547.84,9.48
888429.56,14.55,1.86,579064.37,9.48
888429.56,14.55,1.86,579075.82,9.48
888991.89,14.56,1.87,579172.32,9.49
889249.1,14.57,1.88,578915.6,9.48
889249.1,14.57,1.88,578655.19,9.48
888884.68,14.57,1.88,578423.54,9.48
889225.82,14.58,1.89,578267.88,9.48
889245.59,14.58,1.89,578263.14,9.48
889369.39,14.58,1.89,578295.33,9.48
889493.19,14.59,1.9,578368.34,9.49
889616.99,14.59,1.9,578441.34,9.49
889636.77,14.6,1.9,578436.6,9.49
889636.77,14.6,1.9,578436.5,9.49
889760.56,14.6,1.91,578430.01,9.49
890017.78,14.61,1.91,578173.29,9.49
890141.57,14.61,1.92,578158.69,9.49
890384.36,14.62,1.93,577844.68,9.49
890508.16,14.62,1.93,577892.38,9.49
890339.17,14.62,1.93,577768.01,9.49
890170.18,14.62,1.93,577660.82,9.49
890732.5,14.63,1.94,577733.65,9.49
890989.71,14.64,1.95,577488.22,9.49
891246.92,14.64,1.95,577242.79,9.49
891246.92,14.64,1.95,577150.12,9.48
891077.93,14.64,1.95,576952.51,9.48
890908.94,14.64,1.95,576757.46,9.48
891032.74,14.65,1.96,576830.46,9.48
890017.36,14.65,1.96,576346.99,9.49
890141.16,14.66,1.96,576420.0,9.49
889125.77,14.66,1.97,575936.52,9.49
889249.57,14.66,1.97,575930.03,9.5
889904.62,14.67,1.98,575983.47,9.5
889735.63,14.67,1.98,575902.14,9.5
890241.43,14.68,1.99,575874.02,9.5
889877.01,14.69,1.99,575572.75,9.5
889588.55,14.69,2.0,575277.18,9.5
889858.08,14.69,2.0,575301.48,9.5
890127.62,14.7,2.01,575325.78,9.5
890560.19,14.71,2.01,575316.61,9.5
890391.2,14.71,2.01,575209.42,9.5
890930.86,14.72,2.02,575192.28,9.5
890568.36,14.72,2.02,574922.36,9.5
890399.37,14.72,2.02,574724.75,9.5
890711.94,14.72,2.03,574824.97,9.5
890711.94,14.72,2.03,574642.55,9.5
890542.95,14.72,2.03,574535.37,9.5
890812.48,14.73,2.04,574559.67,9.5
890643.49,14.73,2.04,574359.26,9.5
891298.54,14.74,2.05,574412.69,9.5
891422.34,14.74,2.05,574485.69,9.5
891965.41,14.75,2.06,574461.05,9.5
891796.42,14.75,2.06,574336.68,9.5
891796.42,14.75,2.06,574217.55,9.5
891920.22,14.76,2.07,574290.55,9.5
891813.01,14.76,2.07,574164.43,9.5
892375.33,14.77,2.08,574228.32,9.5
892206.34,14.77,2.08,574030.71,9.5
891190.96,14.77,2.08,573547.24,9.51
891460.49,14.78,2.09,573573.01,9.51
891584.29,14.78,2.09,573558.41,9.51
891708.09,14.79,2.09,573519.56,9.51
891600.87,14.79,2.09,573305.36,9.51
891913.44,14.79,2.1,573405.58,9.51
892037.24,14.8,2.11,573383.91,9.51
892306.77,14.8,2.11,573409.68,9.51
892869.09,14.81,2.12,573482.5,9.52
892706.35,14.81,2.12,573189.62,9.51
892726.13,14.82,2.12,573180.59,9.51
893288.45,14.83,2.14,573253.41,9.52
893094.94,14.83,2.13,573183.9,9.52
893634.6,14.84,2.15,573166.76,9.52
893471.86,14.84,2.15,572958.13,9.52
893146.38,14.84,2.15,572997.26,9.52
893291.58,14.84,2.15,572953.5,9.52
893797.38,14.85,2.16,572925.38,9.52
894431.31,14.86,2.17,572878.12,9.52
894555.11,14.87,2.17,572839.27,9.52
895280.47,14.88,2.19,572864.53,9.52
895111.48,14.88,2.19,572741.13,9.52
895745.88,14.89,2.2,572874.2,9.52
896195.99,14.9,2.21,573112.41,9.53
896341.18,14.9,2.21,573004.25,9.52
896653.74,14.91,2.21,573104.47,9.53
896777.54,14.91,2.22,573092.94,9.53
897064.08,14.92,2.22,573224.32,9.53
897321.29,14.92,2.23,572978.9,9.53
897445.09,14.93,2.24,573026.6,9.53
898007.41,14.94,2.25,573114.45,9.53
898131.21,14.94,2.25,573075.28,9.53
898400.74,14.95,2.26,573101.05,9.54
898779.17,14.95,2.26,573281.03,9.54
898613.78,14.95,2.26,572542.85,9.53
898758.97,14.96,2.26,572434.68,9.53
897743.59,14.96,2.27,571951.21,9.53
897574.6,14.96,2.27,571826.84,9.53
897411.86,14.96,2.27,571526.08,9.53
897954.94,14.97,2.28,571501.44,9.53
897761.43,14.97,2.28,571497.56,9.53
898018.64,14.98,2.28,571252.13,9.53
897849.65,14.98,2.28,571128.73,9.53
898124.44,14.98,2.29,570977.15,9.52
897955.45,14.98,2.29,570869.96,9.52
897786.46,14.98,2.29,570677.6,9.52
897617.47,14.98,2.29,570485.25,9.52
897448.48,14.98,2.29,570356.36,9.52
897810.74,14.99,2.3,570400.65,9.52
897641.75,14.99,2.29,570293.47,9.52
897472.76,14.99,2.29,570186.28,9.52
897310.02,14.99,2.29,569863.87,9.52
897433.82,14.99,2.3,569936.88,9.52
897071.32,14.99,2.3,569672.68,9.52
897230.33,14.99,2.3,569645.73,9.52
897542.89,15.0,2.31,569745.96,9.52
898268.25,15.01,2.32,569771.21,9.52
898433.51,15.02,2.33,569832.05,9.53
898557.31,15.02,2.33,569905.05,9.53
898681.11,15.03,2.34,569898.56,9.53
899106.51,15.04,2.34,569735.97,9.53
899393.05,15.04,2.35,569867.36,9.53
899199.54,15.04,2.35,569798.22,9.53
899323.34,15.04,2.35,569830.41,9.53
899338.55,15.05,2.35,569357.56,9.53
899169.56,15.05,2.35,569165.2,9.52
