ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
1,2,650,6212,650
2,4,1020,6212,1020
3,6,2020,6212,2020
4,14,3020,6212,3020
5,16,4020,6212,4020
6,18,4020,6212,4020
7,20,4020,6212,4020
8,28,5020,6212,5020
9,36,6020,6212,6020
10,38,6830,6212,6830
11,42,7640,6212,7640
12,50,7640,6212,7640
13,58,7640,6212,7640
14,62,8640,6212,8640
15,64,9640,6212,9640
16,66,10640,6212,10640
17,68,11640,6212,11640
18,76,12640,6212,12640
19,78,13640,6212,13640
20,86,14450,6212,14450
21,94,14450,6212,14450
22,98,15450,6212,15450
23,100,16450,6212,16450
24,102,16920,6212,16920
25,110,24920,6212,24920
26,118,25920,6212,25920
27,126,26920,6212,26920
28,134,27920,6212,27920
29,136,28240,6212,28240
30,144,28240,6212,28240
31,152,28240,6212,28240
32,154,28240,6212,28240
33,162,36240,6212,36240
34,170,36710,6212,36710
35,178,36940,6212,36940
36,180,37400,6212,37400
37,188,38400,6212,38400
38,189,38990,6212,38990
39,197,39800,6212,39800
40,205,43800,6212,43800
41,207,44120,6212,44120
42,208,44770,6212,44770
43,210,45770,6212,45770
44,218,49770,6212,49770
45,220,50770,6212,50770
46,228,50770,6212,50770
47,230,51580,6212,51580
48,238,55580,6212,55580
49,246,56580,6212,56580
50,254,56580,6212,56580
51,256,57390,6212,57390
52,264,57710,6212,57710
53,272,58710,6212,58710
54,280,59710,6212,59710
55,282,60520,6212,60520
56,284,61520,6212,61520
57,292,62520,6212,62520
58,294,63520,6212,63520
59,296,64520,6212,64520
60,298,65520,6212,65520
61,306,66520,6212,66520
62,310,66520,6212,66520
63,312,67330,6212,67330
64,320,68330,6212,68330
65,322,69330,6212,69330
66,324,70140,6212,70140
67,332,71140,6212,71140
68,334,71140,6212,71140
69,342,72140,6212,72140
70,350,74140,6212,74140
71,352,75140,6212,75140
72,360,76140,6212,76140
73,368,84140,6212,84140
73,368,84950,6212,84950
73,368,85950,6212,85950
74,376,86600,6212,86600
75,378,87600,6212,87600
76,380,88600,6212,88600
77,382,89600,6212,89600
78,384,90600,6212,90600
79,392,91600,6212,91600
80,400,92250,6212,92250
81,402,92720,6212,92720
82,404,93370,6212,93370
83,412,94370,6212,94370
83,412,95370,6212,95370
