ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
915215.96,14.73,2.47,845526.96,13.61
915539.08,14.74,2.48,845331.32,13.61
915348.02,14.74,2.48,845075.98,13.61
915616.78,14.75,2.48,845181.21,13.61
915403.89,14.75,2.48,844495.52,13.6
915403.89,14.75,2.48,844384.28,13.6
915403.89,14.75,2.48,844273.05,13.6
915672.64,14.75,2.49,844250.84,13.6
915941.4,14.76,2.49,844356.07,13.61
915917.32,14.76,2.5,843850.15,13.6
915933.07,14.76,2.5,843196.61,13.59
916346.54,14.77,2.5,843349.12,13.59
916382.78,14.77,2.51,843085.3,13.59
916238.99,14.77,2.51,842915.12,13.59
916047.94,14.77,2.5,842740.23,13.59
916251.31,14.78,2.51,842446.3,13.58
916468.26,14.78,2.52,842113.63,13.58
916737.02,14.79,2.52,842091.43,13.58
916545.96,14.79,2.52,841831.76,13.58
917003.53,14.8,2.53,841981.87,13.59
917417.0,14.8,2.54,842134.39,13.59
918755.1,14.83,2.56,843066.38,13.61
918564.04,14.83,2.56,842802.55,13.6
918814.59,14.83,2.57,842789.02,13.6
917797.17,14.83,2.57,841977.62,13.61
918065.92,14.84,2.58,841977.04,13.61
918334.68,14.85,2.58,842082.27,13.61
918603.44,14.85,2.59,842187.5,13.62
918948.64,14.86,2.6,842193.29,13.62
918948.64,14.86,2.6,841843.01,13.61
919362.11,14.87,2.6,841995.53,13.62
919362.11,14.87,2.6,841884.29,13.61
918344.69,14.87,2.61,841072.89,13.62
919091.29,14.88,2.62,841245.6,13.62
919967.28,14.9,2.63,841283.88,13.62
920534.36,14.91,2.64,841211.23,13.62
920803.11,14.92,2.65,841316.46,13.63
920961.79,14.92,2.65,841429.98,13.63
921419.36,14.93,2.66,841580.09,13.64
921136.89,14.93,2.67,841196.48,13.64
921482.1,14.94,2.68,841005.92,13.64
921586.56,14.94,2.68,841072.58,13.64
921395.51,14.94,2.68,840820.66,13.64
921113.04,14.95,2.68,840437.05,13.64
920921.99,14.95,2.68,840252.35,13.64
921335.46,14.95,2.69,840404.87,13.64
921333.21,14.96,2.69,840345.43,13.64
921075.84,14.96,2.7,839936.8,13.64
921344.59,14.97,2.7,840003.71,13.65
921344.59,14.97,2.7,839653.43,13.64
921342.34,14.97,2.71,839593.99,13.64
922147.36,14.98,2.72,839674.79,13.64
922416.12,14.99,2.73,839632.53,13.65
922684.88,15.0,2.73,839737.76,13.65
922682.63,15.0,2.73,839678.32,13.65
922491.57,15.0,2.73,839493.63,13.65
922760.33,15.01,2.74,839598.86,13.65
922569.27,15.0,2.74,839414.17,13.65
922378.21,15.0,2.74,839229.47,13.65
922187.16,15.0,2.74,839042.08,13.65
922455.92,15.01,2.75,839108.99,13.65
922455.92,15.01,2.75,838959.63,13.65
922453.67,15.01,2.75,838900.19,13.65
922722.42,15.02,2.75,839005.42,13.66
922531.37,15.02,2.75,838820.73,13.66
922529.12,15.02,2.76,838761.29,13.66
922797.88,15.03,2.76,838719.03,13.66
922797.88,15.03,2.76,838561.9,13.66
923066.63,15.03,2.77,838667.14,13.66
923151.65,15.04,2.78,838464.9,13.66
922960.59,15.04,2.77,838209.0,13.66
923265.59,15.05,2.78,838382.43,13.66
922284.4,15.05,2.79,837643.14,13.67
922289.47,15.05,2.79,837371.89,13.67
922098.41,15.05,2.79,837342.43,13.67
922695.91,15.06,2.8,837380.41,13.67
922504.85,15.06,2.8,837195.72,13.67
922708.22,15.07,2.8,836901.8,13.67
922517.17,15.07,2.8,836726.91,13.67
922326.11,15.07,2.8,836467.24,13.66
922594.87,15.07,2.81,836572.48,13.67
923192.36,15.09,2.82,836610.46,13.67
923442.91,15.09,2.83,836596.92,13.67
923580.59,15.09,2.83,836491.23,13.67
923849.35,15.1,2.84,836539.19,13.67
923625.08,15.1,2.84,836423.14,13.67
923930.07,15.11,2.84,836477.74,13.68
924130.77,15.11,2.85,836259.12,13.67
924130.77,15.11,2.85,836156.92,13.67
923113.35,15.11,2.85,835345.51,13.68
922922.29,15.11,2.85,835085.85,13.68
922785.24,15.11,2.85,834789.69,13.67
922782.99,15.12,2.85,834730.25,13.67
923493.35,15.13,2.86,834835.82,13.68
923762.11,15.14,2.87,834902.72,13.68
923346.78,15.13,2.87,834541.43,13.68
923344.53,15.14,2.87,834481.99,13.68
923344.53,15.14,2.87,834324.86,13.68
923721.65,15.14,2.88,833850.7,13.67
923972.2,15.15,2.88,833837.16,13.67
924335.41,15.15,2.89,833226.71,13.66
924792.97,15.16,2.9,833376.82,13.67
924792.97,15.16,2.9,833274.61,13.66
925250.54,15.17,2.91,833424.72,13.67
925059.48,15.17,2.91,833249.83,13.67
925517.05,15.18,2.92,833399.95,13.67
925785.8,15.19,2.92,833691.47,13.68
925955.86,15.19,2.93,832967.62,13.67
925220.9,15.19,2.93,832319.62,13.67
925412.8,15.2,2.93,832101.62,13.66
925155.43,15.2,2.94,831692.99,13.67
925424.18,15.21,2.94,831675.79,13.67
925692.94,15.22,2.95,831781.02,13.67
