workload,sc_policy,tune,seed,total_gpus,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
openb_pod_list_cpu050,01-Random,1.3,42,6212,0.25,0.99,2.0,2.99,4.03,4.97,6.07,6.96,7.93,8.98,9.99,11.0,12.0,12.99,14.05,15.0,16.01,17.02,18.01,18.99,19.99,20.96,22.02,22.97,23.93,25.01,26.0,27.03,27.99,28.94,30.0,31.0,32.0,32.95,34.0,35.02,36.04,37.08,38.01,39.01,40.01,40.95,41.99,43.02,43.99,45.01,45.98,47.0,48.08,49.01,50.01,50.99,51.87,52.85,53.86,54.88,55.84,56.88,57.88,58.86,59.87,60.87,61.9,62.9,63.87,64.88,65.86,66.76,67.75,68.7,69.56,70.44,71.25,72.04,72.91,73.82,74.87,75.83,76.87,77.83,78.86,79.85,80.74,81.48,82.29,83.2,84.2,85.12,86.07,87.03,87.55,87.73,87.88,88.07,88.23,88.42,88.64,88.8,88.93,89.07,89.28,89.41,89.58,89.74,89.88,90.02,90.18,90.27,90.36,90.46,90.52,90.59,90.63,90.68,90.71,90.74,90.78,90.82,90.85,90.9,90.93,90.96,91.0,91.04,91.07,91.11,91.17,91.2,91.23,91.27,91.3
openb_pod_list_cpu050,01-Random,1.3,43,6212,0.24,1.02,1.99,3.02,3.99,5.0,5.97,7.01,7.99,9.01,10.02,10.92,12.0,13.05,14.0,14.96,15.99,17.04,18.01,19.03,20.0,21.02,21.98,22.97,24.01,24.95,25.99,27.0,28.01,28.99,30.0,31.02,32.02,32.98,33.97,34.99,36.0,37.06,37.99,38.96,40.02,41.03,42.0,42.98,44.01,45.0,45.99,46.98,48.01,48.99,49.98,50.99,51.95,52.98,53.98,55.05,56.01,56.99,58.02,58.99,59.98,61.01,62.0,62.95,63.81,64.65,65.57,66.51,67.48,68.41,69.34,70.22,71.16,72.11,73.03,73.9,74.77,75.7,76.73,77.65,78.51,79.43,80.34,81.32,82.32,83.33,84.32,85.33,86.26,86.91,87.26,87.43,87.62,87.77,87.93,88.1,88.23,88.37,88.52,88.61,88.73,88.87,89.0,89.12,89.2,89.3,89.38,89.45,89.56,89.67,89.74,89.78,89.84,89.89,89.92,89.95,89.98,90.01,90.04,90.08,90.12,90.18,90.24,90.29,90.33,90.41,90.47,90.51,90.56,90.59,90.61
openb_pod_list_cpu050,02-DotProd,1.3,42,6212,0.25,0.99,2.0,2.99,4.03,4.97,6.07,6.96,7.93,8.98,9.99,11.0,12.0,12.99,14.05,15.0,16.01,17.02,18.01,18.99,19.99,20.96,22.02,22.97,23.93,25.01,26.0,27.03,27.99,28.94,30.0,31.0,32.0,32.95,34.0,35.02,36.04,37.08,38.01,39.01,40.01,40.95,41.99,43.02,43.99,45.01,45.98,47.0,48.08,49.01,50.01,50.99,51.97,52.98,53.99,55.01,55.97,57.01,58.01,58.99,60.0,61.0,62.03,63.03,64.0,65.01,65.99,67.0,68.01,69.0,69.97,71.02,72.0,73.03,73.97,74.97,76.03,76.99,78.02,78.98,80.02,81.01,82.11,83.07,83.99,85.01,86.01,86.98,88.0,88.99,89.99,90.98,92.05,92.94,93.17,93.19,93.2,93.21,93.22,93.23,93.24,93.25,93.29,93.31,93.31,93.32,93.32,93.32,93.33,93.34,93.35,93.35,93.35,93.36,93.36,93.37,93.38,93.39,93.39,93.4,93.4,93.41,93.42,93.43,93.43,93.44,93.47,93.47,93.48,93.49,93.5
openb_pod_list_cpu050,02-DotProd,1.3,43,6212,0.24,1.02,1.99,3.02,3.99,5.0,5.97,7.01,7.99,9.01,10.02,10.92,12.0,13.05,14.0,14.96,15.99,17.04,18.01,19.03,20.0,21.02,21.98,22.97,24.01,24.95,25.99,27.0,28.01,28.99,30.0,31.02,32.02,32.98,33.97,34.99,36.0,37.06,37.99,38.96,40.02,41.03,42.0,42.98,44.01,45.0,45.99,46.98,48.01,48.99,49.98,50.99,51.95,52.98,53.98,55.05,56.01,56.99,58.02,58.99,59.98,61.01,62.0,62.97,64.02,64.94,65.96,67.02,68.0,69.04,70.06,70.99,71.95,73.01,73.96,74.93,76.02,76.99,78.02,78.99,80.02,80.98,82.01,83.0,83.99,85.01,85.99,87.01,88.04,89.04,90.02,91.01,92.0,92.59,92.6,92.6,92.61,92.62,92.63,92.63,92.64,92.64,92.66,92.68,92.69,92.69,92.71,92.72,92.72,92.73,92.74,92.76,92.76,92.76,92.77,92.77,92.77,92.77,92.78,92.78,92.79,92.79,92.79,92.8,92.8,92.81,92.83,92.84,92.85,92.85,92.85
openb_pod_list_cpu050,03-GpuClustering,1.3,42,6212,0.25,0.99,2.0,2.99,4.03,4.97,6.07,6.96,7.93,8.98,9.99,11.0,12.0,12.99,14.05,15.0,16.01,17.02,18.01,18.99,19.99,20.96,22.02,22.97,23.93,25.01,26.0,27.03,27.99,28.94,30.0,31.0,32.0,32.95,34.0,35.02,36.04,37.08,38.01,39.01,40.01,40.95,41.99,43.02,43.99,45.01,45.98,47.0,48.08,49.01,50.01,50.99,51.97,52.98,53.99,55.01,55.97,57.01,58.01,58.99,60.0,61.0,62.03,63.03,64.0,65.01,65.99,67.0,68.01,69.0,69.97,71.02,72.0,73.03,73.97,74.97,76.03,76.99,78.02,78.98,80.02,81.01,82.11,83.07,83.99,85.01,86.01,86.98,88.0,88.99,89.99,90.98,92.05,92.93,93.15,93.16,93.17,93.18,93.19,93.2,93.21,93.23,93.27,93.28,93.29,93.29,93.29,93.29,93.3,93.32,93.32,93.32,93.32,93.33,93.34,93.34,93.36,93.37,93.37,93.37,93.37,93.39,93.39,93.4,93.4,93.42,93.44,93.44,93.45,93.46,93.47
openb_pod_list_cpu050,03-GpuClustering,1.3,43,6212,0.24,1.02,1.99,3.02,3.99,5.0,5.97,7.01,7.99,9.01,10.02,10.92,12.0,13.05,14.0,14.96,15.99,17.04,18.01,19.03,20.0,21.02,21.98,22.97,24.01,24.95,25.99,27.0,28.01,28.99,30.0,31.02,32.02,32.98,33.97,34.99,36.0,37.06,37.99,38.96,40.02,41.03,42.0,42.98,44.01,45.0,45.99,46.98,48.01,48.99,49.98,50.99,51.95,52.98,53.98,55.05,56.01,56.99,58.02,58.99,59.98,61.01,62.0,62.97,64.02,64.94,65.96,67.02,68.0,69.04,70.06,70.99,71.95,73.01,73.96,74.93,76.02,76.99,78.02,78.99,80.02,80.98,82.01,83.0,83.99,85.01,85.99,87.01,88.04,89.04,90.02,91.01,92.0,92.95,93.2,93.2,93.21,93.22,93.23,93.23,93.24,93.24,93.26,93.28,93.29,93.29,93.31,93.32,93.32,93.33,93.34,93.36,93.36,93.36,93.37,93.37,93.37,93.37,93.38,93.38,93.39,93.39,93.39,93.4,93.4,93.41,93.43,93.44,93.45,93.45,93.45
openb_pod_list_cpu050,04-GpuPacking,1.3,42,6212,0.25,0.99,2.0,2.99,4.03,4.97,6.07,6.96,7.93,8.98,9.99,11.0,12.0,12.99,14.05,15.0,16.01,17.02,18.01,18.99,19.99,20.96,22.02,22.97,23.93,25.01,26.0,27.03,27.99,28.94,30.0,31.0,32.0,32.95,34.0,35.02,36.04,37.08,38.01,39.01,40.01,40.95,41.99,43.02,43.99,45.01,45.98,47.0,48.08,49.01,50.01,50.99,51.97,52.98,53.99,55.01,55.97,57.01,58.01,58.99,60.0,61.0,62.03,63.03,64.0,65.01,65.99,67.0,68.01,69.0,69.97,71.02,72.0,73.03,73.97,74.97,76.03,76.99,78.02,78.98,80.02,81.01,82.11,83.07,83.99,85.01,86.01,86.98,88.0,88.99,89.99,90.98,92.05,92.97,93.29,93.31,93.32,93.33,93.34,93.35,93.36,93.37,93.41,93.43,93.43,93.44,93.44,93.44,93.45,93.46,93.47,93.47,93.47,93.48,93.48,93.49,93.5,93.51,93.51,93.52,93.52,93.53,93.54,93.55,93.55,93.56,93.59,93.59,93.6,93.61,93.62
openb_pod_list_cpu050,04-GpuPacking,1.3,43,6212,0.24,1.02,1.99,3.02,3.99,5.0,5.97,7.01,7.99,9.01,10.02,10.92,12.0,13.05,14.0,14.96,15.99,17.04,18.01,19.03,20.0,21.02,21.98,22.97,24.01,24.95,25.99,27.0,28.01,28.99,30.0,31.02,32.02,32.98,33.97,34.99,36.0,37.06,37.99,38.96,40.02,41.03,42.0,42.98,44.01,45.0,45.99,46.98,48.01,48.99,49.98,50.99,51.95,52.98,53.98,55.05,56.01,56.99,58.02,58.99,59.98,61.01,62.0,62.97,64.02,64.94,65.96,67.02,68.0,69.04,70.06,70.99,71.95,73.01,73.96,74.93,76.02,76.99,78.02,78.99,80.02,80.98,82.01,83.0,83.99,85.01,85.99,87.01,88.04,89.04,90.02,91.01,92.0,92.9,93.08,93.09,93.1,93.11,93.12,93.12,93.13,93.13,93.15,93.17,93.18,93.18,93.2,93.21,93.21,93.22,93.23,93.25,93.25,93.25,93.26,93.26,93.26,93.26,93.27,93.27,93.28,93.28,93.28,93.29,93.29,93.3,93.32,93.33,93.34,93.34,93.34
openb_pod_list_cpu050,05-BestFit,1.3,42,6212,0.25,0.99,2.0,2.99,4.03,4.97,6.07,6.96,7.93,8.98,9.99,11.0,12.0,12.99,14.05,15.0,16.01,17.02,18.01,18.99,19.99,20.96,22.02,22.97,23.93,25.01,26.0,27.03,27.99,28.94,30.0,31.0,32.0,32.95,34.0,35.02,36.04,37.08,38.01,39.01,40.01,40.95,41.99,43.02,43.99,45.01,45.98,47.0,48.08,49.01,50.01,50.99,51.97,52.98,53.99,55.01,55.97,57.01,58.01,58.99,60.0,61.0,62.03,63.03,64.0,65.01,65.99,67.0,68.01,69.0,69.97,71.02,72.0,73.03,73.97,74.97,76.03,76.99,78.02,78.98,80.02,81.01,82.11,83.07,83.99,85.01,86.01,86.98,88.0,88.99,89.99,90.98,92.05,93.0,93.65,93.68,93.68,93.7,93.71,93.72,93.73,93.74,93.78,93.8,93.8,93.81,93.81,93.81,93.82,93.83,93.83,93.83,93.84,93.84,93.85,93.86,93.86,93.86,93.86,93.87,93.87,93.88,93.89,93.9,93.9,93.91,93.92,93.92,93.93,93.93,93.93
openb_pod_list_cpu050,05-BestFit,1.3,43,6212,0.24,1.02,1.99,3.02,3.99,5.0,5.97,7.01,7.99,9.01,10.02,10.92,12.0,13.05,14.0,14.96,15.99,17.04,18.01,19.03,20.0,21.02,21.98,22.97,24.01,24.95,25.99,27.0,28.01,28.99,30.0,31.02,32.02,32.98,33.97,34.99,36.0,37.06,37.99,38.96,40.02,41.03,42.0,42.98,44.01,45.0,45.99,46.98,48.01,48.99,49.98,50.99,51.95,52.98,53.98,55.05,56.01,56.99,58.02,58.99,59.98,61.01,62.0,62.97,64.02,64.94,65.96,67.02,68.0,69.04,70.06,70.99,71.95,73.01,73.96,74.93,76.02,76.99,78.02,78.99,80.02,80.98,82.01,83.0,83.99,85.01,85.99,87.01,88.04,89.04,90.02,91.01,92.0,93.0,93.41,93.41,93.42,93.43,93.44,93.44,93.45,93.45,93.47,93.49,93.5,93.5,93.52,93.53,93.53,93.54,93.55,93.57,93.57,93.57,93.58,93.58,93.58,93.58,93.59,93.59,93.6,93.6,93.6,93.61,93.61,93.62,93.64,93.65,93.66,93.66,93.66
